Item,FiveYr,ThreeYr
Auto Loan,1.0,0.12
Student Loan,0.5,0.08
Credit Card,0.21,0.12
HE Revolving,-1.52,-0.97
Total,-4.0,-2.71
Mortgage,-4.27,-1.95
