date,value,rgdp,pop
2008-07-01,72.22,22.0,304.9
2008-10-01,70.48,21.5,305.6
2009-01-01,69.53,21.3,306.2
2009-04-01,69.27,21.3,306.9
2009-07-01,69.35,21.3,307.6
2009-10-01,69.94,21.6,308.3
2010-01-01,70.14,21.7,308.9
2010-04-01,70.68,21.9,309.5
2010-07-01,71.08,22.0,310.1
2010-10-01,71.3,22.2,310.8
2011-01-01,71.0,22.1,311.4
2011-04-01,71.35,22.3,311.9
2011-07-01,71.18,22.3,312.6
2011-10-01,71.83,22.5,313.3
2012-01-01,72.31,22.7,313.8
2012-04-01,72.5,22.8,314.4
2012-07-01,72.45,22.8,315.0
2012-10-01,72.39,22.9,315.7
2013-01-01,72.98,23.1,316.2
2013-04-01,73.05,23.1,316.7
2013-07-01,73.52,23.3,317.4
2013-10-01,74.0,23.5,318.1
2014-01-01,73.62,23.5,318.6
2014-04-01,74.43,23.8,319.2
2014-07-01,75.17,24.0,319.9
2014-10-01,75.39,24.2,320.6
2015-01-01,75.94,24.4,321.2
2015-04-01,76.27,24.5,321.7
2015-07-01,76.41,24.6,322.4
2015-10-01,76.39,24.7,323.1
2016-01-01,76.7,24.8,323.7
2016-04-01,76.81,24.9,324.3
2016-07-01,77.19,25.1,324.9
2016-10-01,77.47,25.2,325.6
2017-01-01,77.73,25.3,326.1
2017-04-01,78.05,25.5,326.6
2017-07-01,78.52,25.7,327.1
2017-10-01,79.27,26.0,327.7
2018-01-01,79.82,26.2,328.1
2018-04-01,80.14,26.3,328.5
2018-07-01,80.51,26.5,329.0
2018-10-01,80.51,26.5,329.5
2019-01-01,80.92,26.7,329.9
2019-04-01,81.51,26.9,330.2
2019-07-01,82.34,27.2,330.7
2019-10-01,82.78,27.4,331.2
2020-01-01,81.61,27.1,331.5
2020-04-01,75.13,24.9,331.8
2020-07-01,80.92,26.9,331.9
2020-10-01,81.79,27.2,332.1
2021-01-01,82.95,27.5,332.1
2021-04-01,84.32,28.0,332.2
2021-07-01,84.91,28.2,332.6
2021-10-01,86.24,28.7,333.1
2022-01-01,85.93,28.7,333.5
2022-04-01,85.94,28.7,334.0
2022-07-01,86.39,28.9,334.6
2022-10-01,86.8,29.1,335.3
2023-01-01,87.26,29.3,336.0
2023-04-01,87.64,29.5,336.6
2023-07-01,88.44,29.8,337.4
2023-10-01,88.96,30.1,338.3
2024-01-01,88.95,30.2,339.0
2024-04-01,89.53,30.4,339.8
2024-07-01,90.09,30.7,340.5
2024-10-01,90.37,30.8,341.0
2025-01-01,90.12,30.8,341.4
2025-04-01,90.87,31.1,341.8
2025-07-01,91.74,31.4,342.2
2025-10-01,91.82,31.4,342.4
