date,PROJ_POP
2017-07-01,325.511
2018-07-01,327.892
2019-07-01,330.269
2020-07-01,332.639
2021-07-01,334.998
2022-07-01,337.342
2023-07-01,339.665
2024-07-01,341.963
2025-07-01,344.234
2026-07-01,346.481
2027-07-01,348.695
