index,Value,Text,Latest,Fed,Treas,Bank,Corp
0.5,4.33,Fed Funds Rate,4.1,4.33,,,
1.5,1.54,Three-Month CD,,,,1.54,
2.5,3.703809523809524,Two-Year Treasury,3.6,,3.703809523809524,,
4.0,4.2647619047619045,10-Year Treasury,4.14,,4.2647619047619045,,
5.0,4.97,10-Year Corp.,,,,,4.97
6.0,6.5875,30-Year Mortgage,6.3,,,6.5875,
