date,MBS
1986-01-01,4.5
1986-07-01,4.0
1986-08-01,4.0
1986-10-01,4.0
1986-11-01,5.0
1987-01-01,5.0
1987-02-01,4.5
1987-05-01,4.746348859860742
1987-06-01,4.5
1987-07-01,4.5
1987-08-01,4.0
1987-09-01,4.5
1987-10-01,4.529526027053652
1988-02-01,4.5
1988-03-01,5.0
1988-04-01,4.5
1988-06-01,4.5531762758911745
1988-08-01,4.359023159813932
1988-09-01,4.431245118137619
1988-11-01,4.354091165412883
1988-12-01,4.430281418859507
1989-02-01,4.525147942742403
1989-03-01,4.5162745300480225
1989-04-01,4.5
1989-07-01,4.0
1989-09-01,4.0
1989-11-01,5.5
1989-12-01,5.389436366528347
1990-02-01,6.0
1990-04-01,4.385832850895103
1991-03-01,4.0
1991-06-01,4.5
1991-08-01,5.929259828996376
1991-11-01,4.0
1991-12-01,6.0
1992-03-01,4.0
1992-05-01,6.0
1992-06-01,4.0
1992-07-01,6.0
1992-08-01,4.0
1992-09-01,5.5
1993-05-01,6.0
1993-06-01,5.673596153033366
1993-09-01,4.378566927527026
1993-12-01,4.5
1994-05-01,6.5
1994-07-01,4.376751536274849
1994-09-01,4.219548965047287
1995-03-01,4.758117279538702
1995-06-01,4.435402379890135
1995-07-01,6.5
1995-11-01,7.5
1995-12-01,5.86398556979791
1996-01-01,7.1006398848321375
1996-02-01,6.782161195345192
1996-03-01,6.28378637240262
1996-04-01,6.966504460766553
1996-05-01,7.188173268944506
1996-06-01,7.44562664842404
1996-07-01,7.59729297054018
1996-08-01,7.673876364352466
1996-09-01,7.5042542670728265
1996-10-01,7.51836085546127
1996-11-01,7.615453555339801
1996-12-01,7.469037496310601
1997-01-01,7.265922074786823
1997-02-01,7.235757128505161
1997-03-01,6.553621093507645
1997-04-01,7.309606551236833
1997-05-01,7.45176731244451
1997-06-01,7.0265613642947224
1997-07-01,7.370904430900454
1997-08-01,7.226102995368753
1997-09-01,7.093845623209062
1997-10-01,6.989786412762312
1997-11-01,7.020642020719519
1997-12-01,6.853437559841842
1998-01-01,6.824477606298305
1998-02-01,6.714591052615202
1998-03-01,6.500472947144583
1998-04-01,6.508296199823593
1998-05-01,6.576686318140377
1998-06-01,6.615620727560779
1998-07-01,6.5779365557725376
1998-08-01,6.5384915799482854
1998-09-01,6.452636523000433
1998-10-01,6.39499626610735
1998-11-01,6.298448389456707
1998-12-01,6.208330030683618
1999-01-01,6.2105032850510975
1999-02-01,6.186893678779601
1999-03-01,6.355137001099705
1999-04-01,6.327936788346256
1999-05-01,6.461657893631284
1999-06-01,6.614193128512002
1999-07-01,6.736378705383406
1999-08-01,6.966647434496812
1999-09-01,7.156381985427299
1999-10-01,6.9792779570849
1999-11-01,7.157272577057498
1999-12-01,7.074512948608022
2000-01-01,7.346346419255719
2000-02-01,7.515498931525346
2000-03-01,7.4727521804724475
2000-04-01,7.674052943679956
2000-05-01,7.663066304016506
2000-06-01,6.3579824493853465
2000-07-01,7.842142901040598
2000-08-01,7.605711557625321
2000-09-01,6.957838566263584
2000-10-01,7.1973613832464975
2000-11-01,7.274327120944133
2000-12-01,7.0887866632704055
2001-01-01,7.153270911686552
2001-02-01,6.770871843974357
2001-03-01,6.596810608398798
2001-04-01,6.467283925749499
2001-05-01,6.60989200828036
