date,DPI,PCE,PSAVE
1989-01-01,32.06564572789036,28.237377308566575,2.7381723770325737
1989-02-01,32.141116702878655,28.160637655788385,2.880570637491222
1989-03-01,32.280409505796854,28.123077036327174,3.050554397706257
1989-04-01,32.09038648479155,28.268351618228735,2.7108451786294685
1989-05-01,31.918066676017162,28.213260298980384,2.5909099502668607
1989-06-01,31.980255848222303,28.243542006446205,2.6202459860102887
1989-07-01,32.06257749643361,28.301036181326232,2.643547093343754
1989-08-01,32.11748474316209,28.546234085436787,2.449369397827107
1989-09-01,32.18173344082002,28.46421597226938,2.5933587710155
1989-10-01,32.31040387437573,28.4187279893783,2.75690518996287
1989-11-01,32.31417254489069,28.40868020872881,2.768441479053649
1989-12-01,32.29077723834963,28.623025389102477,2.5301055669898984
1990-01-01,32.45764834180522,28.74619723295422,2.5847025285928136
1990-02-01,32.50229600276719,28.580820174788855,2.7978552297381
1990-03-01,32.4816172615748,28.651486791180503,2.7103393985450235
1990-04-01,32.652047335070264,28.672927591319077,2.8626221790605415
1990-05-01,32.57772826420826,28.621254841884227,2.8413526077480693
1990-06-01,32.587644766843134,28.679660886887895,2.7944851696758564
1990-07-01,32.66231739913979,28.70440165662175,2.8340860278050104
1990-08-01,32.41661791939322,28.677528415187137,2.6181413892860776
1990-09-01,32.36126452484437,28.628919253223852,2.6144851377656666
1990-10-01,32.05795158309052,28.435687275087055,2.5095366383035485
1990-11-01,32.02936499719141,28.377019557658326,2.53873190952994
1990-12-01,32.17864084397953,28.24261646019476,2.8218771918289125
1991-01-01,32.05440951948698,27.959523137398953,2.9716921309062245
1991-02-01,32.0674290870945,28.105369452121035,2.837893701749783
1991-03-01,32.08657293095964,28.407634497283475,2.5527964992625294
1991-04-01,32.17743935324885,28.282712753596517,2.766618814211283
1991-05-01,32.14731032454709,28.322789265690616,2.698859657274597
1991-06-01,32.276936205648056,28.294913103046447,2.8566517327419967
1991-07-01,32.17647073172321,28.39951014002178,2.6514835784329693
1991-08-01,32.21231841214566,28.32098651606025,2.7690327868021964
1991-09-01,32.26152931750773,28.29958163833928,2.8455769845703625
1991-10-01,32.27308949917247,28.15254770575529,3.00037904256964
1991-11-01,32.29085958976777,28.255767222897376,2.9191596083280493
1991-12-01,32.554850505871116,28.27681750397715,3.1651000399684484
1992-01-01,32.847473482108036,28.661953517086342,3.1003430573584407
1992-02-01,32.966605313559306,28.66615028902966,3.218193154393942
1992-03-01,32.96718916707315,28.688173181705565,3.2009785323051037
1992-04-01,33.02817404717776,28.67922410235882,3.266703416505395
1992-05-01,33.1485122414235,28.794026931023463,3.277218159895867
1992-06-01,33.251048568013324,28.837643450072,3.342160054141052
1992-07-01,33.18751198110373,28.897546278192358,3.1808231171860526
1992-08-01,33.2643812797578,28.93228135821804,3.2287544492902795
1992-09-01,33.07039315433594,29.085108429286894,2.8875701953277733
1992-10-01,32.82069863506929,29.14949412864529,2.6147491405800234
1992-11-01,32.83593329974861,29.1680832286678,2.615076360127412
1992-12-01,33.97088081094209,29.330312443864052,3.5895830564377738
1993-01-01,33.19711323721752,29.259209014538698,2.8686677987664995
1993-02-01,33.3241335870276,29.287087563449667,2.968752612034842
1993-03-01,33.18880873633752,29.180154287153727,2.9430034404408416
1993-04-01,33.32722571357733,29.346720327380073,2.9148246134062155
1993-05-01,33.24382376813678,29.417774151096488,2.765613989076202
1993-06-01,33.1458658008644,29.491950401064614,2.596175603694197
1993-07-01,33.19132814642166,29.603027400237174,2.5353687277752166
1993-08-01,33.20029616404717,29.597962460750825,2.5529000224174974
1993-09-01,33.072074934258055,29.733905236566542,2.290408283538523
1993-10-01,32.87551573523574,29.748370452333134,2.073020174758206
1993-11-01,32.934045771313585,29.802479075247458,2.078139197154553
1993-12-01,34.02430654869887,29.879303648555908,3.0898992494266655
1994-01-01,33.35814169986062,29.93512130615019,2.365992667607877
1994-02-01,33.39436266414542,30.150010697687073,2.18605117304729
1994-03-01,33.47236673033432,30.124634026776466,2.2876992627117074
1994-04-01,33.44059770278763,30.22171359579886,2.14784000362035
1994-05-01,33.79298394615246,30.138029821223622,2.57789770743169
1994-06-01,33.70382153222543,30.28601502648317,2.3339719894662334
1994-07-01,33.69495101777119,30.233083560772645,2.363449093448634
1994-08-01,33.69755829957234,30.398858324847723,2.1937738941563265
1994-09-01,33.807241381784856,30.4108069327333,2.2859368463614786
1994-10-01,34.093927837813055,30.568878728698117,2.4134415089418595
1994-11-01,34.06058174677317,30.56243549164732,2.383135807175633
1994-12-01,34.18452164695908,30.615566863546274,2.4483233934431805
1995-01-01,34.26505050720264,30.587340201426965,2.5576828997352905
1995-02-01,34.30478637124198,30.504599208280766,2.6693551600718832
1995-03-01,34.36855598971527,30.637842321938418,2.5835538484116864
1995-04-01,34.08215581931033,30.558407241004037,2.350452994596491
1995-05-01,34.394159286663644,30.749566191348038,2.455164671707857
1995-06-01,34.46115374366911,30.963278870980677,2.298733588112373
1995-07-01,34.50159772369019,30.846214204802582,2.443225840582844
1995-08-01,34.486404827016415,30.962735360957574,2.3076071962493194
1995-09-01,34.559690760168756,30.99991548762537,2.3346823469421083
1995-10-01,34.562547244328684,30.84652151730585,2.459968476003181
1995-11-01,34.62608139575221,31.075360635798837,2.283854434800779
1995-12-01,34.645198901640235,31.247830456899063,2.124957515312942
1996-01-01,34.66506089024367,31.081956623167642,2.3225150395130307
1996-02-01,34.904364689749414,31.294634886524186,2.346669458890317
1996-03-01,34.98534272999676,31.417574908027714,2.3048010663469616
1996-04-01,34.74232694710647,31.503771814381604,1.9636832745399537
