date,Affordability Index,\hspace{2mm} Monthly Payment (\$),\hspace{4mm} Median Home Price (\$),\hspace{4mm} Mortgage Rate (\%),\hspace{2mm} Median Monthly Earnings (\$)
1989-01-01,53.543873917703856,947.8218954073811,113000.0,10.73,1689.9768669355924
1989-02-01,51.90054943330962,982.9843156139952,118000.0,10.645,1698.88028795425
1989-03-01,48.51521095422508,1056.89960007087,123000.0,11.032,1707.4810449273173
1989-04-01,51.53173134357276,1004.1954467881103,116700.0,11.05,1723.2060683447864
1989-05-01,51.092267451962556,1001.5704035382704,119000.0,10.7725,1704.0443475539275
1989-06-01,51.37896810886314,985.9373835366009,122800.0,10.196,1686.8596313558976
1989-07-01,55.86363248449335,907.132873558859,116000.0,9.8825,1687.5020575210463
1989-08-01,51.82361148180128,969.4560814808954,122900.0,9.985,1673.015820000669
1989-09-01,54.10520115356006,957.8484934995746,120000.0,10.126000000000001,1725.7586943337838
1989-10-01,54.50826443516193,967.1797937714211,123000.0,9.9475,1755.5524221094254
1989-11-01,54.449497161239165,967.9948399032683,125000.0,9.7675,1755.1375151706586
1989-12-01,54.17425952782613,967.598732015765,125200.0,9.744,1745.5508627396841
1990-01-01,53.93143714745594,978.5502023731252,125000.0,9.895,1757.3948038727194
1990-02-01,52.48053479207516,1018.9826823042656,126900.0,10.1975,1780.7759785026628
1990-03-01,55.65257424109308,964.3886646208095,119400.0,10.268,1787.2347014441045
1990-04-01,49.83784516650267,1058.890112185761,130000.0,10.370000000000001,1757.334288599838
1990-05-01,51.87398710359879,1027.1897450204742,125000.0,10.4775,1774.3714386184959
1990-06-01,52.78191595063082,1000.9289683910575,125000.0,10.164,1759.2705911162082
1990-07-01,55.0594391587007,940.2739177939642,118700.0,10.035,1723.972787157354
1990-08-01,55.14090979114145,943.0242397424288,118400.0,10.1,1731.573843998751
1990-09-01,58.52733326239462,905.6698399203484,113000.0,10.175,1765.1144702057036
1990-10-01,55.903906277723635,961.973647760226,120000.0,10.177500000000002,1790.810218712719
1990-11-01,58.05476321464391,940.1966013403919,118900.0,10.014,1817.6102724987795
1990-12-01,55.38048478565597,975.5146478390897,127000.0,9.672499999999998,1799.0149879574803
1991-01-01,61.9721348589365,902.894851385863,117900.0,9.637500000000001,1863.2789057343537
1991-02-01,61.68543715191305,896.7561596381053,119900.0,9.365,1842.0492976740431
1991-03-01,60.58772812522999,927.0417634145718,122500.0,9.5,1870.372898939112
1991-04-01,59.83421153806056,915.094382331891,121000.0,9.4925,1823.3065632962498
1991-05-01,62.444353981299194,875.7197930482963,116000.0,9.472000000000001,1820.9690996264117
1991-06-01,59.10685928925825,909.5547747551248,119000.0,9.615,1790.2388387078938
1991-07-01,59.45198399024649,914.0382621200831,120000.0,9.575,1809.5682245969958
1991-08-01,59.782492407956425,893.9400502897067,120800.0,9.244,1779.6174101780987
1991-09-01,63.453314317911314,869.5753102282206,120000.0,9.0075,1837.4086015841174
1991-10-01,63.11152772248702,876.3330001200009,122600.0,8.855,1841.7135905590815
1991-11-01,66.41759431007117,836.1231565365968,118500.0,8.712,1849.2585105166572
1991-12-01,66.57784474306021,844.0724723436941,122000.0,8.497499999999999,1871.344316319129
1992-01-01,68.39050602856338,825.2274234353075,120000.0,8.431999999999999,1879.376111877028
1992-02-01,68.27787707542932,830.753457480629,117200.0,8.7625,1888.8453455800143
