date,GSPC,IXIC,DJI,RUT
1989-01-01,0.285414,0.389333,,0.150536
1989-02-01,0.294011,0.404095,,0.155526
1989-03-01,0.292713,0.404005,,0.156923
1989-04-01,0.302251,0.41714,,0.161342
1989-05-01,0.31393,0.435991,,0.167575
1989-06-01,0.323728,0.447632,,0.171545
1989-07-01,0.331927,0.446695,,0.172131
1989-08-01,0.346608,0.461835,,0.176104
1989-09-01,0.34733,0.46928,,0.177498
1989-10-01,0.347397,0.469686,,0.17412
1989-11-01,0.340219,0.45469,,0.167434
1989-12-01,0.348572,0.449015,,0.166743
1990-01-01,0.339972,0.439345,,0.16322
1990-02-01,0.330453,0.424526,,0.157568
1990-03-01,0.338465,0.4361,,0.162475
1990-04-01,0.338178,0.429001,,0.16095
1990-05-01,0.35025,0.442595,,0.16406
1990-06-01,0.360387,0.462314,,0.169103
1990-07-01,0.360031,0.455829,,0.166627
1990-08-01,0.330747,0.396326,,0.146142
1990-09-01,0.315407,0.368568,,0.135642
1990-10-01,0.307125,0.338017,,0.122764
1990-11-01,0.315291,0.347719,,0.123325
1990-12-01,0.32875,0.37021,,0.130385
1991-01-01,0.325485,0.376668,,0.131645
1991-02-01,0.362263,0.442589,,0.154492
1991-03-01,0.372279,0.4691,,0.166295
1991-04-01,0.379679,0.496319,,0.174342
1991-05-01,0.377992,0.490934,,0.173357
1991-06-01,0.378293,0.490375,,0.173907
1991-07-01,0.380227,0.489369,,0.170144
1991-08-01,0.389403,0.513251,,0.174466
1991-09-01,0.387198,0.520559,,0.177754
1991-10-01,0.386883,0.528924,,0.180365
1991-11-01,0.385919,0.536584,,0.181916
1991-12-01,0.38851,0.544101,,0.178799
1992-01-01,0.416075,0.615734,3.22706,0.201265
1992-02-01,0.412556,0.632048,3.25727,0.209941
1992-03-01,0.407365,0.619599,3.24742,0.20738
1992-04-01,0.407407,0.58279,3.29409,0.196511
1992-05-01,0.414815,0.581473,3.37678,0.197946
1992-06-01,0.408275,0.566659,3.33779,0.192555
1992-07-01,0.415051,0.568717,3.32941,0.189867
1992-08-01,0.417927,0.568997,3.30746,0.191416
1992-09-01,0.418477,0.580681,3.29392,0.191984
1992-10-01,0.412503,0.585012,3.1987,0.192442
1992-11-01,0.422844,0.630864,3.23849,0.206437
1992-12-01,0.43564,0.66128,3.30316,0.21573
1993-01-01,0.435229,0.691135,3.27773,0.224437
1993-02-01,0.441704,0.681709,3.36726,0.225192
1993-03-01,0.450155,0.684491,3.44074,0.227419
1993-04-01,0.443078,0.66533,3.42363,0.223259
1993-05-01,0.445246,0.686451,3.47817,0.22883
1993-06-01,0.44806,0.695383,3.51381,0.230538
1993-07-01,0.447286,0.703395,3.52943,0.235281
1993-08-01,0.454128,0.725149,3.59701,0.241298
1993-09-01,0.459235,0.745943,3.59229,0.247134
1993-10-01,0.4639,0.771307,3.62581,0.255919
1993-11-01,0.46289,0.764039,3.6747,0.253805
1993-12-01,0.465945,0.762944,3.7441,0.252902
1994-01-01,0.472993,0.787769,3.86836,0.261315
1994-02-01,0.47158,0.787809,3.90562,0.264421
1994-03-01,0.463808,0.785925,3.81698,0.264955
1994-04-01,0.447232,0.732295,3.66148,0.250297
1994-05-01,0.450899,0.727764,3.70799,0.248904
1994-06-01,0.454826,0.72321,3.73758,0.24733
1994-07-01,0.451401,0.71349,3.7183,0.243043
1994-08-01,0.464243,0.738868,3.79748,0.249102
1994-09-01,0.466958,0.763938,3.8806,0.256129
1994-10-01,0.463814,0.762458,3.8681,0.253004
1994-11-01,0.461015,0.760419,3.79243,0.248667
1994-12-01,0.455187,0.734963,3.77031,0.241617
