date,Residential,Commercial,Industrial
2001-12-01,1201.60659299,1083.068516,996.6093099999999
2002-01-01,1191.43261065,1079.6718835400002,991.37222887
2002-02-01,1188.14787038,1079.15622568,987.18342652
2002-03-01,1190.66195197,1078.63688847,984.12312904
2002-04-01,1193.61577598,1081.19535526,982.62050715
2002-05-01,1199.20316207,1082.69880369,980.9838243199999
2002-06-01,1206.96586161,1082.9438150800001,980.10170755
2002-07-01,1219.95323492,1086.77306553,985.04911457
2002-08-01,1225.0803414700001,1086.97043885,986.5162762799999
2002-09-01,1234.97018088,1091.0747842800001,988.2310460900001
2002-10-01,1244.0819348799998,1098.00974814,989.07058615
2002-11-01,1252.09754397,1100.87888329,988.8624859199999
2002-12-01,1265.179869,1104.49660701,990.2376309900001
2003-01-01,1272.5608555000001,1115.62543559,992.82548111
2003-02-01,1286.90529269,1125.9131545100001,994.28262116
2003-03-01,1291.14793702,1134.9479151799999,995.5797357
2003-04-01,1289.1885746199998,1141.0136057700001,997.8869032499999
2003-05-01,1289.67440766,1147.85824462,998.04617022
2003-06-01,1283.79020562,1154.3621877199998,999.86925849
2003-07-01,1280.7692615,1163.6095821,999.47859139
2003-08-01,1280.90459246,1174.01473669,1001.75023257
2003-09-01,1278.9205432400001,1179.67864251,1003.08595625
2003-10-01,1274.17005971,1183.40225449,1006.0833826999999
2003-11-01,1272.00643801,1189.91156227,1009.54163224
2003-12-01,1275.8239099999998,1198.72760101,1012.3732469999999
2004-01-01,1278.6725055299999,1199.4512352499999,1012.36815625
2004-02-01,1280.1991910400002,1201.88977896,1012.51911207
2004-03-01,1279.5850868100001,1204.6409858,1014.08830435
2004-04-01,1281.5137077200002,1208.4881197299999,1014.39994356
2004-05-01,1284.3075472599999,1213.54857394,1016.7691325
2004-06-01,1295.3568877599998,1219.26358634,1017.29155137
2004-07-01,1293.98837822,1219.52609209,1018.0386915199999
2004-08-01,1285.94391877,1217.75412467,1016.9427326
2004-09-01,1284.4326291099999,1220.87671559,1017.2797000899999
2004-10-01,1288.1179385,1223.1662870100001,1015.64377905
2004-11-01,1291.10899787,1226.31420876,1016.6705016999999
2004-12-01,1291.9815780000001,1230.424731,1017.8495320100001
2005-01-01,1290.1480533400002,1232.0057784700002,1019.2681434799999
2005-02-01,1284.3509112699999,1231.58495578,1018.53565643
2005-03-01,1289.4689068999999,1235.17775206,1018.3928192999999
2005-04-01,1290.8412016799998,1236.08542089,1017.41286058
2005-05-01,1287.6271015900002,1234.90775962,1016.27663863
2005-06-01,1291.91940617,1240.8862308,1017.57735478
2005-07-01,1307.09039544,1247.42784016,1017.4836331500001
2005-08-01,1327.57183529,1257.4115014,1018.57927912
2005-09-01,1341.74977694,1264.33308132,1019.81636886
2005-10-01,1350.96948662,1270.48163032,1020.32663182
2005-11-01,1353.00631705,1273.52821416,1019.64828249
2005-12-01,1359.22710701,1275.07902,1019.15606499
2006-01-01,1354.35809355,1276.15021515,1018.77906363
2006-02-01,1352.20224319,1278.6067627099999,1020.05120801
2006-03-01,1353.09223212,1280.79853329,1020.1305236200001
2006-04-01,1355.7171676500002,1282.91019956,1019.4375971
2006-05-01,1362.33300691,1289.65055706,1019.76439599
2006-06-01,1364.52087709,1291.3352508799999,1018.36127428
2006-07-01,1367.38286976,1294.8394027999998,1018.85550434
