name,Jul 2025,Jul 2019
White,3.5931926639870273,3.1145078969669986
Black,6.480317797413543,6.505410014760446
Hispanic,5.085492278883436,4.35628564600623
Asian,3.5899569855656766,2.702821631346458
Native American,6.892837359187045,7.153580143022942
More than one,5.814023929901389,6.248492542458521
