date,25-49.9,50-74.9,75-89.9,90-100,Less than 25
1989-07-01,43.5941,62.2772,83.0363,155.693,20.7591
1992-07-01,43.9718,58.6291,76.9507,144.741,23.8181
1995-07-01,47.8669,59.8336,71.8003,135.053,23.9334
1998-07-01,47.8228,63.7638,89.2693,138.686,25.5055
2001-07-01,50.5019,74.2675,101.004,182.698,28.2216
2004-07-01,50.1231,71.0078,104.423,194.923,27.8462
2007-07-01,50.7767,69.818,101.553,195.49,29.1966
2010-07-01,44.3144,64.6751,87.4311,191.63,27.5468
2013-07-01,42.3487,61.2942,95.8418,201.714,25.6321
2016-07-01,44.1689,68.9466,96.9561,229.463,26.9323
2019-07-01,46.8334,70.2501,101.812,236.203,29.5254
