name;outer1;range1;rangest;range2;outer2;latest;y
ND;82.2586120628285;0.0;7.032420998539195;1.1410611090630027;0.050270166182599496;87.7508570847785;0.08
SD;82.0051853261053;0.0;7.092163426593089;1.3850155839149068;0.0;87.1001831762261;-0.92
NE;81.7512523935183;1.0281257986436003;5.6547918148175995;1.8878679018882991;0.16032642774550254;86.7086882003064;-1.92
WI;78.3537233320276;0.0;8.282053649074498;1.8047332146518045;2.0418541408593995;86.6357769811021;-2.92
MN;80.7504166641157;0.0;7.414867982792401;1.9889055515481004;0.3281741381570953;86.3888987735579;-3.92
KS;78.158849499905;2.1320711346701984;6.508971708653192;0.24541019245450002;3.437061800930408;85.2619411090851;-4.92
CO;76.4230866468217;0.0;9.487103629741796;0.820423863092401;3.7517501969574027;84.4414947399351;-5.92
NH;75.834623008148;0.0;10.953278971135305;1.7006999852526974;1.993762372077299;84.3194360048172;-6.92
DC;72.1874619377938;6.1216916450473065;9.852081561836798;0.0;2.3211291919353982;84.2776137236572;-7.92
MT;75.1027298421242;2.71722665359529;9.0984838017403;0.0;3.5639240391535054;84.0652203125798;-8.92
IA;77.8468991809738;0.0;11.4305887784286;0.8225570877830108;0.3823192894278975;83.9126940351273;-9.92
CT;76.5669007879105;0.11538636232290855;9.16915685446429;0.7859840831496001;3.844936248766004;83.6841352971514;-10.92
RI;71.8006600317375;0.0;14.979892417855112;0.0;3.701811887020696;83.4900462270033;-11.92
MD;76.8045478290089;0.0;10.318168711717703;0.0;3.3596477958867013;83.4279059427146;-12.92
HI;65.8880504476136;0.0;17.4181529127832;2.948992171700212;4.227168804516296;83.3062033603968;-13.92
MO;75.6993408636127;1.4278673643167963;8.266642719133301;2.318807720544797;2.7697056690057025;83.2562490017662;-14.92
WY;78.9481383284294;0.5812855248725128;6.1699798996221915;1.5034093513450983;3.2795512323441045;83.2386602069486;-15.92
