date,ALL,Manufacturing,Mining \& Logging,Utilities,Wholesale Trade,Information,Financial Activities,Professional \& Business Serv.,Education \& Health Services,Total Private,Construction,Leisure \& Hospitality,Transportation \& Warehousing,Retail Trade
2015-01-01,140568.0,12292.0,888.0,554.5,5768.8,2738.0,8059.0,19442.0,21741.0,118608.0,6320.0,14915.0,4769.8,15520.2
2015-02-01,140839.0,12301.0,875.0,554.3,5781.1,2742.0,8072.0,19487.0,21789.0,118861.0,6361.0,14972.0,4786.0,15535.1
2015-03-01,140910.0,12312.0,859.0,554.6,5782.9,2737.0,8081.0,19513.0,21832.0,118940.0,6334.0,14981.0,4799.0,15547.7
2015-04-01,141194.0,12318.0,843.0,554.9,5779.3,2741.0,8088.0,19557.0,21906.0,119189.0,6392.0,15023.0,4805.9,15566.9
2015-05-01,141525.0,12333.0,820.0,556.3,5786.8,2749.0,8095.0,19638.0,21958.0,119513.0,6427.0,15103.0,4828.1,15595.9
2015-06-01,141699.0,12334.0,816.0,555.3,5784.5,2750.0,8117.0,19689.0,21998.0,119684.0,6441.0,15108.0,4855.2,15618.7
2015-07-01,142001.0,12349.0,805.0,556.8,5785.0,2753.0,8137.0,19726.0,22053.0,119951.0,6472.0,15168.0,4878.6,15639.0
2015-08-01,142126.0,12345.0,794.0,557.9,5785.4,2754.0,8143.0,19755.0,22094.0,120066.0,6490.0,15201.0,4889.4,15637.7
2015-09-01,142281.0,12354.0,779.0,556.9,5775.8,2764.0,8153.0,19778.0,22131.0,120241.0,6508.0,15279.0,4898.4,15642.9
2015-10-01,142587.0,12362.0,771.0,556.6,5777.3,2763.0,8168.0,19851.0,22215.0,120531.0,6547.0,15316.0,4898.8,15675.4
2015-11-01,142824.0,12357.0,756.0,556.7,5778.2,2750.0,8180.0,19885.0,22260.0,120743.0,6598.0,15374.0,4914.7,15695.0
2015-12-01,143097.0,12362.0,746.0,556.1,5776.5,2759.0,8188.0,19955.0,22323.0,121000.0,6630.0,15406.0,4946.0,15699.0
2016-01-01,143205.0,12383.0,732.0,556.1,5778.0,2762.0,8208.0,19965.0,22335.0,121091.0,6631.0,15454.0,4914.5,15723.6
2016-02-01,143417.0,12365.0,711.0,557.2,5776.9,2776.0,8211.0,19977.0,22403.0,121279.0,6640.0,15494.0,4930.3,15772.1
2016-03-01,143654.0,12342.0,691.0,555.5,5779.9,2785.0,8227.0,19999.0,22450.0,121476.0,6678.0,15535.0,4948.9,15811.2
2016-04-01,143851.0,12353.0,677.0,555.6,5785.1,2789.0,8252.0,20031.0,22505.0,121667.0,6702.0,15562.0,4964.8,15811.8
2016-05-01,143892.0,12332.0,666.0,554.6,5783.5,2753.0,8264.0,20035.0,22565.0,121693.0,6689.0,15583.0,4979.9,15817.8
2016-06-01,144150.0,12350.0,656.0,556.1,5779.8,2798.0,8280.0,20080.0,22618.0,121970.0,6701.0,15639.0,4984.1,15846.8
2016-07-01,144521.0,12372.0,651.0,556.8,5781.3,2799.0,8302.0,20126.0,22666.0,122232.0,6735.0,15679.0,5009.2,15865.9
2016-08-01,144664.0,12348.0,647.0,556.3,5784.2,2805.0,8317.0,20127.0,22719.0,122380.0,6736.0,15725.0,5035.8,15877.3
2016-09-01,144953.0,12347.0,645.0,556.4,5796.1,2812.0,8324.0,20194.0,22775.0,122630.0,6768.0,15785.0,5030.8,15883.3
2016-10-01,145071.0,12345.0,644.0,556.6,5797.5,2814.0,8331.0,20217.0,22835.0,122776.0,6799.0,15780.0,5047.4,15890.7
2016-11-01,145201.0,12342.0,647.0,556.9,5800.3,2811.0,8342.0,20255.0,22870.0,122924.0,6823.0,15826.0,5064.8,15857.2
2016-12-01,145415.0,12355.0,649.0,557.5,5796.9,2812.0,8368.0,20287.0,22929.0,123111.0,6818.0,15845.0,5096.9,15882.7
2017-01-01,145628.0,12366.0,648.0,556.3,5802.1,2824.0,8397.0,20328.0,22946.0,123312.0,6840.0,15874.0,5081.9,15917.8
2017-02-01,145818.0,12380.0,655.0,555.7,5805.0,2815.0,8397.0,20346.0,23016.0,123492.0,6881.0,15917.0,5098.9,15882.2
2017-03-01,145960.0,12393.0,659.0,555.6,5807.1,2812.0,8409.0,20375.0,23051.0,123631.0,6902.0,15941.0,5112.9,15864.7
2017-04-01,146165.0,12400.0,670.0,555.1,5807.4,2807.0,8425.0,20407.0,23103.0,123830.0,6916.0,16006.0,5131.5,15848.3
2017-05-01,146388.0,12409.0,675.0,554.7,5807.3,2804.0,8435.0,20469.0,23147.0,124041.0,6931.0,16046.0,5161.6,15835.4
2017-06-01,146585.0,12422.0,678.0,555.3,5813.3,2808.0,8450.0,20504.0,23167.0,124225.0,6962.0,16087.0,5176.8,15834.7
2017-07-01,146768.0,12423.0,681.0,555.3,5814.7,2809.0,8463.0,20545.0,23232.0,124394.0,6968.0,16122.0,5186.3,15821.5
2017-08-01,146913.0,12467.0,685.0,555.5,5817.0,2816.0,8472.0,20584.0,23255.0,124603.0,7002.0,16150.0,5198.8,15827.1
