date,ALL,Manufacturing,Mining \& Logging,Utilities,Wholesale Trade,Information,Financial Activities,Professional \& Business Serv.,Education \& Health Services,Total Private,Construction,Leisure \& Hospitality,Transportation \& Warehousing,Retail Trade
2017-09-01,147012.0,12477.0,687.0,555.9,5816.4,2813.0,8481.0,20579.0,23287.0,124679.0,7013.0,16140.0,5229.8,15821.4
2017-10-01,147153.0,12490.0,688.0,555.2,5821.2,2812.0,8479.0,20619.0,23309.0,124792.0,7031.0,16133.0,5247.3,15816.8
2017-11-01,147353.0,12505.0,693.0,555.1,5821.2,2812.0,8489.0,20635.0,23352.0,124974.0,7068.0,16160.0,5257.7,15823.6
2017-12-01,147529.0,12533.0,692.0,555.2,5824.0,2817.0,8496.0,20673.0,23384.0,125145.0,7091.0,16183.0,5281.9,15810.1
2018-01-01,147662.0,12556.0,698.0,553.2,5821.7,2818.0,8501.0,20721.0,23442.0,125294.0,7102.0,16200.0,5287.6,15781.4
2018-02-01,148064.0,12582.0,705.0,555.9,5824.6,2813.0,8528.0,20771.0,23500.0,125654.0,7186.0,16234.0,5316.5,15820.1
2018-03-01,148289.0,12608.0,712.0,555.4,5837.3,2824.0,8537.0,20819.0,23530.0,125868.0,7195.0,16248.0,5345.1,15836.1
2018-04-01,148468.0,12632.0,721.0,556.9,5814.1,2838.0,8546.0,20869.0,23547.0,126033.0,7223.0,16251.0,5371.7,15834.8
2018-05-01,148801.0,12661.0,726.0,555.5,5820.2,2837.0,8572.0,20924.0,23590.0,126342.0,7271.0,16293.0,5405.2,15843.6
2018-06-01,148984.0,12693.0,732.0,554.5,5824.8,2840.0,8591.0,20963.0,23617.0,126507.0,7291.0,16329.0,5429.6,15798.0
2018-07-01,149050.0,12714.0,732.0,551.4,5837.7,2842.0,8600.0,20980.0,23644.0,126601.0,7316.0,16335.0,5442.2,15781.6
2018-08-01,149269.0,12724.0,740.0,551.6,5855.7,2843.0,8612.0,21016.0,23693.0,126800.0,7345.0,16337.0,5474.1,15783.9
2018-09-01,149326.0,12743.0,741.0,551.6,5852.8,2839.0,8631.0,21047.0,23707.0,126842.0,7366.0,16296.0,5497.2,15738.7
2018-10-01,149471.0,12762.0,744.0,552.0,5856.8,2851.0,8640.0,21073.0,23751.0,126988.0,7380.0,16316.0,5521.6,15705.5
2018-11-01,149573.0,12774.0,737.0,551.9,5864.2,2851.0,8650.0,21089.0,23768.0,127100.0,7379.0,16336.0,5541.1,15724.2
2018-12-01,149821.0,12793.0,741.0,551.1,5869.1,2853.0,8660.0,21118.0,23854.0,127312.0,7396.0,16398.0,5524.5,15704.1
2019-01-01,150100.0,12822.0,743.0,550.8,5877.7,2843.0,8672.0,21098.0,23906.0,127581.0,7434.0,16511.0,5584.4,15683.5
2019-02-01,150124.0,12821.0,739.0,549.6,5886.4,2836.0,8684.0,21140.0,23936.0,127595.0,7402.0,16507.0,5571.8,15661.8
2019-03-01,150348.0,12819.0,737.0,550.1,5882.7,2848.0,8704.0,21168.0,23996.0,127787.0,7427.0,16546.0,5577.1,15648.6
2019-04-01,150636.0,12824.0,738.0,547.5,5888.5,2846.0,8724.0,21215.0,24058.0,128037.0,7470.0,16565.0,5619.6,15645.3
2019-05-01,150713.0,12821.0,738.0,549.5,5889.5,2853.0,8738.0,21247.0,24082.0,128117.0,7484.0,16553.0,5648.0,15619.9
2019-06-01,150843.0,12829.0,735.0,551.6,5883.4,2873.0,8749.0,21294.0,24128.0,128246.0,7510.0,16529.0,5686.1,15585.3
2019-07-01,150921.0,12832.0,730.0,550.9,5889.9,2868.0,8771.0,21318.0,24177.0,128364.0,7522.0,16519.0,5701.7,15589.5
2019-08-01,151081.0,12827.0,723.0,549.9,5886.8,2868.0,8786.0,21337.0,24234.0,128482.0,7527.0,16558.0,5703.0,15588.4
2019-09-01,151244.0,12820.0,720.0,548.6,5888.5,2872.0,8785.0,21350.0,24279.0,128589.0,7540.0,16591.0,5718.7,15582.1
2019-10-01,151337.0,12764.0,721.0,546.7,5895.5,2873.0,8797.0,21360.0,24312.0,128657.0,7543.0,16647.0,5720.8,15591.7
2019-11-01,151589.0,12812.0,707.0,548.0,5892.1,2883.0,8814.0,21393.0,24390.0,128875.0,7536.0,16699.0,5734.1,15560.4
2019-12-01,151789.0,12795.0,693.0,548.7,5896.2,2894.0,8821.0,21396.0,24437.0,129058.0,7529.0,16771.0,5747.2,15608.6
2020-01-01,152128.0,12784.0,684.0,547.0,5897.7,2897.0,8837.0,21371.0,24531.0,129344.0,7577.0,16881.0,5802.9,15594.1
2020-02-01,152504.0,12785.0,686.0,547.1,5892.8,2903.0,8870.0,21393.0,24598.0,129625.0,7624.0,16983.0,5794.8,15597.5
2020-03-01,151006.0,12717.0,673.0,547.0,5875.4,2898.0,8851.0,21308.0,24360.0,128181.0,7549.0,16245.0,5786.9,15511.0
2020-04-01,130513.0,11423.0,615.0,543.0,5488.2,2642.0,8590.0,19091.0,21759.0,108609.0,6516.0,8780.0,5289.2,13352.5
2020-05-01,133155.0,11656.0,595.0,542.4,5502.7,2606.0,8607.0,19294.0,22149.0,111734.0,7007.0,10011.0,5318.4,13689.1
2020-06-01,137660.0,11990.0,581.0,539.4,5545.3,2624.0,8623.0,19651.0,22699.0,116244.0,7166.0,11791.0,5448.8,14496.8
2020-07-01,139048.0,12025.0,570.0,539.7,5528.1,2617.0,8623.0,19836.0,22889.0,117537.0,7198.0,12232.0,5510.1,14744.5
2020-08-01,140713.0,12050.0,563.0,541.5,5540.3,2640.0,8647.0,20026.0,23088.0,118750.0,7222.0,12513.0,5598.7,15044.5
2020-09-01,141632.0,12095.0,561.0,543.3,5565.7,2698.0,8675.0,20154.0,23184.0,119709.0,7243.0,12946.0,5666.4,15054.7
2020-10-01,142279.0,12122.0,556.0,541.9,5574.6,2698.0,8696.0,20374.0,23277.0,120508.0,7295.0,13179.0,5745.5,15113.6
2020-11-01,142612.0,12157.0,554.0,541.8,5584.3,2706.0,8709.0,20525.0,23346.0,120914.0,7313.0,13209.0,5827.2,15111.5
2020-12-01,142497.0,12190.0,554.0,541.2,5598.2,2719.0,8721.0,20689.0,23350.0,120806.0,7357.0,12749.0,5848.1,15170.1
2021-01-01,143017.0,12184.0,546.0,542.2,5611.7,2745.0,8732.0,20800.0,23378.0,121229.0,7360.0,12877.0,5881.1,15243.5
2021-02-01,143727.0,12222.0,542.0,542.1,5622.4,2758.0,8724.0,20902.0,23454.0,121922.0,7308.0,13270.0,5945.7,15292.6
2021-03-01,144431.0,12268.0,551.0,542.7,5635.5,2768.0,8733.0,21021.0,23541.0,122572.0,7408.0,13423.0,5995.8,15328.6
2021-04-01,144694.0,12240.0,554.0,543.2,5647.1,2788.0,8747.0,20943.0,23582.0,122784.0,7393.0,13631.0,5997.8,15338.8
2021-05-01,145141.0,12268.0,560.0,542.3,5655.6,2803.0,8747.0,21023.0,23620.0,123165.0,7381.0,13830.0,6026.6,15313.6
2021-06-01,145698.0,12288.0,566.0,541.5,5675.6,2820.0,8745.0,21084.0,23640.0,123673.0,7378.0,14054.0,6061.5,15381.9
2021-07-01,146387.0,12350.0,569.0,541.6,5693.8,2841.0,8772.0,21226.0,23699.0,124311.0,7395.0,14251.0,6101.4,15398.1
2021-08-01,146904.0,12391.0,574.0,539.8,5699.2,2866.0,8781.0,21309.0,23728.0,124808.0,7397.0,14453.0,6133.3,15434.7
2021-09-01,147328.0,12413.0,576.0,539.7,5703.9,2874.0,8794.0,21383.0,23737.0,125217.0,7427.0,14587.0,6169.7,15493.6
2021-10-01,148005.0,12466.0,578.0,539.5,5716.3,2886.0,8817.0,21619.0,23805.0,125911.0,7455.0,14728.0,6220.2,15537.0
2021-11-01,148652.0,12514.0,582.0,538.7,5731.2,2904.0,8849.0,21730.0,23874.0,126538.0,7502.0,14919.0,6257.4,15556.9
2021-12-01,149240.0,12555.0,590.0,538.1,5749.7,2913.0,8863.0,21821.0,23939.0,127099.0,7546.0,15105.0,6279.7,15595.1
2022-01-01,149744.0,12581.0,590.0,538.7,5762.3,2918.0,8865.0,21909.0,23972.0,127591.0,7552.0,15243.0,6333.1,15716.5
2022-02-01,150458.0,12631.0,600.0,538.8,5788.8,2918.0,8894.0,21996.0,24073.0,128295.0,7606.0,15367.0,6406.9,15827.8
2022-03-01,150856.0,12689.0,605.0,538.3,5814.7,2936.0,8905.0,22090.0,24124.0,128680.0,7628.0,15471.0,6410.6,15804.9
2022-04-01,151224.0,12750.0,613.0,539.2,5842.9,2957.0,8936.0,22130.0,24186.0,129048.0,7623.0,15530.0,6459.6,15805.3
2022-05-01,151610.0,12769.0,620.0,539.8,5856.0,2983.0,8946.0,22199.0,24264.0,129379.0,7658.0,15599.0,6497.7,15761.6
2022-06-01,151903.0,12794.0,628.0,540.0,5866.0,3009.0,8951.0,22289.0,24358.0,129725.0,7668.0,15642.0,6513.6,15783.9
2022-07-01,152440.0,12831.0,633.0,541.1,5881.8,3025.0,8958.0,22373.0,24480.0,130173.0,7689.0,15731.0,6531.2,15800.2
2022-08-01,152732.0,12867.0,631.0,542.6,5896.9,3032.0,8967.0,22402.0,24562.0,130406.0,7698.0,15744.0,6529.5,15829.5
2022-09-01,153001.0,12884.0,634.0,542.5,5903.4,3040.0,8970.0,22427.0,24644.0,130661.0,7721.0,15855.0,6511.4,15799.6
2022-10-01,153264.0,12918.0,636.0,543.7,5914.6,3044.0,8981.0,22440.0,24721.0,130880.0,7734.0,15905.0,6503.9,15797.3
2022-11-01,153520.0,12926.0,640.0,542.8,5913.3,3066.0,8992.0,22432.0,24811.0,131082.0,7749.0,15984.0,6482.2,15780.5
2022-12-01,153743.0,12934.0,644.0,544.4,5925.4,3061.0,8997.0,22426.0,24889.0,131302.0,7777.0,16051.0,6486.9,15789.5
