date,DJIA,MA
2018-01-02,24824.009766,21754.497035667984
2018-01-03,24922.679688,21774.892609102768
2018-01-04,25075.130859,21795.419767573123
2018-01-05,25295.869141,21816.580672652173
2018-01-08,25283.0,21837.86016252174
2018-01-09,25385.800781,21859.290992561266
2018-01-10,25369.130859,21880.957988608698
2018-01-11,25574.730469,21903.563526837945
2018-01-12,25803.189453,21926.68174879842
2018-01-16,25792.859375,21950.009256209487
2018-01-17,26115.650391,21974.633445624506
2018-01-18,26017.810547,21999.10396347431
2018-01-19,26071.720703,22023.874714462447
2018-01-22,26214.599609,22049.49605524506
2018-01-23,26210.810547,22074.727519857708
2018-01-24,26252.119141,22100.230561486165
2018-01-25,26392.789063,22125.84351850198
2018-01-26,26616.710938,22151.72573657312
2018-01-29,26439.480469,22176.77937417391
2018-01-30,26076.890625,22200.42803554941
2018-01-31,26149.390625,22224.84803462451
2018-02-01,26186.710938,22249.83863183399
2018-02-02,25520.960938,22272.09168118182
2018-02-05,24345.75,22289.723459221346
2018-02-06,24912.769531,22308.859066308298
2018-02-07,24893.349609,22327.993175743082
2018-02-08,23860.460938,22342.89504086166
2018-02-09,24190.900391,22359.24508254941
2018-02-12,24601.269531,22376.750494169963
2018-02-13,24640.449219,22394.027490525692
2018-02-14,24893.490234,22411.74025763241
2018-02-15,25200.369141,22430.30136033992
2018-02-16,25219.380859,22448.512907707507
2018-02-20,24964.75,22465.68674355336
2018-02-21,24797.779297,22482.18369420949
2018-02-22,24962.480469,22498.861482624507
2018-02-23,25309.990234,22516.78397521344
2018-02-26,25709.269531,22536.14741085771
2018-02-27,25410.029297,22554.282863549404
2018-02-28,25029.199219,22570.85108396838
2018-03-01,24608.980469,22585.857962367587
2018-03-02,24538.060547,22599.385668952567
2018-03-05,24874.759766,22614.689183035574
2018-03-06,24884.119141,22630.018859727275
2018-03-07,24801.359375,22645.224470521738
2018-03-08,24895.210938,22660.91795341502
2018-03-09,25335.740234,22678.62550189328
2018-03-12,25178.609375,22695.702260478265
2018-03-13,25007.029297,22711.923797347827
2018-03-14,24758.119141,22727.246479845853
2018-03-15,24873.660156,22743.200199272727
2018-03-16,24946.509766,22758.996286849804
2018-03-19,24610.910156,22773.52735157312
2018-03-20,24727.269531,22788.597115960474
2018-03-21,24682.310547,22803.52380043478
2018-03-22,23957.890625,22816.52728209091
2018-03-23,23533.199219,22827.878659316208
2018-03-26,24202.599609,22841.89454679051
2018-03-27,23857.710938,22854.78383625692
2018-03-28,23848.419922,22867.817193778654
2018-03-29,24103.109375,22881.26229012253
