date,CPS_Hires,CPS_Leavers,Hires,Separations,label
2023-05-01,6.19833,6.14633,5.97333,5.798,
2023-06-01,6.22267,6.227,5.97433,5.69667,
2023-07-01,6.30433,6.19933,5.90633,5.69467,Jul
2023-08-01,6.396,6.17267,5.81533,5.63167,
2023-09-01,6.389,6.24433,5.76367,5.574,
2023-10-01,6.226,6.31167,5.79467,5.56267,
2023-11-01,6.34267,6.27133,5.691,5.51033,
2023-12-01,6.09667,6.29,5.62767,5.48467,
2024-01-01,6.20067,6.12167,5.56967,5.43033,Jan\\2024
2024-02-01,6.06067,6.21,5.59733,5.43667,
2024-03-01,6.34567,6.09033,5.55367,5.38167,
2024-04-01,6.22367,6.17067,5.513,5.38267,
2024-05-01,6.15967,6.18733,5.471,5.353,
2024-06-01,6.10767,6.28267,5.366,5.292,
2024-07-01,6.13767,6.19067,5.353,5.29867,Jul
2024-08-01,6.247,6.16833,5.257,5.23267,
2024-09-01,6.23967,6.021,5.35367,5.25867,
2024-10-01,6.08033,6.092,5.28633,5.17433,
2024-11-01,5.86767,6.03933,5.27,5.151,
2024-12-01,5.81667,5.97533,5.225,5.114,
2025-01-01,6.03133,5.87667,5.22833,5.14867,Jan\\2025
2025-02-01,6.114,6.01633,5.25533,5.19167,
2025-03-01,6.24333,6.21333,5.269,5.27133,
2025-04-01,6.27867,6.28267,5.32,5.281,
2025-05-01,6.446,6.52167,5.35067,5.282,
2025-06-01,6.46133,6.582,5.34867,5.33,
2025-07-01,6.39767,6.66933,5.29333,5.29667,Jul
2025-08-01,6.42167,6.388,5.23233,5.26967,
2025-09-01,6.49533,6.39567,5.20467,5.17933,
2025-10-01,6.646,6.455,5.18967,5.16433,
2025-11-01,6.716,6.505,5.14767,5.107,
2025-12-01,6.716,6.505,5.157,5.121,
2026-01-01,6.47133,6.528,5.21267,5.12733,Jan\\2026
2026-02-01,6.25533,6.43467,5.17267,5.123,
2026-03-01,6.15367,6.43133,5.26667,5.18133,
2026-04-01,6.27067,6.43167,,,
