date,AHE,PNS,Goods,Serv,UWE_P50,WGT_3m,NIPA,UWE_P50_3m,NIPA_3m
1989-01-01,,3.8751345532831216,3.127962085308056,4.328018223234631,,,4.53178546227937,,
1989-02-01,,4.1980624327233595,3.6087369420702897,4.66970387243737,,,3.8977537664936612,,
1989-03-01,,4.189044038668088,3.693181818181812,4.659090909090913,,,3.96353331642878,,4.131024181733937
1989-04-01,,4.166666666666674,3.201506591337111,4.745762711864399,,,3.5722449118556376,,3.811177331592693
1989-05-01,,3.506907545164717,3.0985915492957705,3.93258426966292,,,2.7584088824134323,,3.43139570356595
1989-06-01,,3.825717321997879,2.9962546816479474,4.3820224719101075,,,2.7126447127546083,,3.0144328356745596
1989-07-01,,4.0211640211640365,3.2679738562091387,4.703247480403139,,,2.955903059072562,,2.808985551413534
1989-08-01,,3.9112050739957605,3.3582089552238736,4.241071428571419,,,2.8546755563954473,,2.8410744427408723
1989-09-01,,3.785488958990535,3.1598513011152463,4.333333333333345,,,2.8291615754375776,,2.8799133969685293
1989-10-01,,3.765690376569042,2.9602220166512483,4.189636163175292,,,2.912689707332339,,2.8655089463884544
1989-11-01,,3.653444676409179,3.1394275161588103,4.189636163175292,,,3.085787365855208,,2.9425462162083753
1989-12-01,,3.9583333333333526,3.317972350230436,4.395604395604402,,,3.139908925523005,,3.0461286662368505
1990-01-01,,3.83419689119171,3.5845588235293935,4.039301310043664,3.9892816437999463,,2.864581291943291,,3.030092527773835
1990-02-01,,4.028925619834722,4.032997250229142,4.243743199129502,4.820569975495315,,4.04109670800028,,3.3485289751555256
1990-03-01,,4.226804123711347,4.109589041095907,4.343105320303997,4.670827862293558,,4.196324148569808,4.493559827196273,3.7006673828377927
1990-04-01,,3.7948717948717903,3.8321167883211604,3.991370010787487,1.980515617978784,,4.627194821119263,3.8239711519225525,4.2882052258964505
1990-05-01,,4.312114989733051,4.007285974499086,4.540540540540539,4.127072280615818,,5.06302645399308,3.5928052536293875,4.628848474560717
1990-06-01,,4.401228249744116,4.181818181818198,4.628632938643729,4.292657882566231,,5.362581411080192,3.4667485937202778,5.0176008953975115
1990-07-01,,3.967446592065116,3.887884267631092,4.17112299465241,2.161220223952576,,5.244133837446241,3.5269834623782086,5.223247234173171
1990-08-01,,4.170905391658186,3.6101083032491044,4.7109207708779355,3.5001476553914834,,5.271854880482829,3.31800858730343,5.292856709669754
1990-09-01,,4.052684903748727,3.963963963963968,4.366347177848784,2.2804970733381724,,5.702071238177409,2.647288317560744,5.406019985368826
1990-10-01,,3.8306451612903247,3.9532794249775405,4.0211640211640365,2.0083590873879453,,4.139548381433533,2.5963346053725345,5.037824833364589
1990-11-01,,3.92749244712991,3.5810205908684,4.338624338624331,3.5594223693661275,,4.655846507977746,2.616092843364082,4.832488709196229
1990-12-01,,3.607214428857719,3.5682426404995304,3.894736842105262,3.062888039871625,,5.1067765657554,2.876889832208566,4.634057151722225
1991-01-01,,3.4930139720558806,3.4605146406388787,3.88247639034629,6.025060596987131,,4.364531741201194,4.215790335408295,4.7090516049781135
