date,Corporate Equities,Real Estate,Other,US Net Wealth
1989-01-01,56.11174083280154,133.04569759363253,190.0012755719979,379.15871399843195
1989-04-01,58.86761302479856,133.23464225955698,188.53922065945022,380.6414759438058
1989-07-01,62.590229072236816,134.95159660530976,187.40440691685257,384.94623259439913
1989-10-01,62.910403729653055,135.67425529867657,188.8357483778727,387.42040740620234
1990-01-01,58.75279534919282,132.91710236908025,187.68631333350703,379.35621105178006
1990-04-01,60.21171377047222,132.17590588500593,186.9531820991445,379.3408017546226
1990-07-01,50.05216856998269,132.28787275257866,189.47288797090528,371.81292929346665
1990-10-01,55.518038853684246,132.25364058651735,191.11204444893718,378.8837238891388
1991-01-01,63.83362677952498,131.52984054488536,189.68239213491302,385.0458594593233
1991-04-01,62.417596479241745,130.41530884815097,186.85792172240863,379.6908270498013
1991-07-01,65.22623416899012,129.5412441344474,184.96528404977363,379.7327623532111
1991-10-01,72.93108512356852,128.9858952133756,182.9311010864325,384.84808142337664
1992-01-01,70.74173885629996,127.79449394336284,180.11337866342546,378.64961146308826
1992-04-01,69.30125550881712,126.31958549555901,178.15492547014935,373.7757664745255
1992-07-01,70.11379181532843,126.05534549551285,176.5338169088275,372.7029542196688
1992-10-01,76.45342932578613,125.03252977224444,173.84501533722818,375.3309744352587
1993-01-01,78.83207253361675,124.3671742409011,173.2626203681455,376.4618671426633
1993-04-01,78.30758947906567,124.51311430459282,173.0619117016616,375.8826154853201
1993-07-01,80.40103468448139,124.92880804661601,171.81634147029,377.1461842013874
1993-10-01,82.02479191552351,124.20679244077837,170.14617597634813,376.37776033265
1994-01-01,77.42490779481628,123.64969506659405,171.31099159992647,372.3855944613368
1994-04-01,74.98970253752934,123.07046941663995,170.63303072707606,368.69320268124534
1994-07-01,77.52931186763196,123.19681629229,169.2298059970741,369.9559341569961
1994-10-01,76.33147103103192,122.2044809000001,169.48014617275683,368.0160981037889
1995-01-01,81.83498400553341,121.89398732221004,169.18634740037243,372.9153187281159
1995-04-01,88.09026042353004,122.23076991060675,167.69025235071325,378.01128268485
1995-07-01,94.07953144065728,119.50076303587407,165.60563572764988,379.18593020418126
1995-10-01,98.94661828122584,119.23621044527523,165.15529065873312,383.33811938523417
1996-01-01,102.05958771135626,119.1650776237509,164.53924703004446,385.76391236515167
1996-04-01,104.07097614293326,118.16011522699318,161.68413661917828,383.9152279891047
1996-07-01,104.66076723735912,118.03878245932316,160.83428601787045,383.53383571455277
1996-10-01,109.62699813348335,117.68872284715883,159.79175451716517,387.1074754978074
1997-01-01,109.06854342311144,117.82009421648986,160.06324546450858,386.95188310410987
1997-04-01,123.8111946189762,117.34626547675295,156.75268596314632,397.91014605887545
1997-07-01,132.8243922333401,117.1503908137105,154.13821799198715,404.1130010390377
1997-10-01,134.26762341877458,117.969754869633,154.3961280903391,406.63350637874663
1998-01-01,150.94390333029568,118.80479062717112,151.90073174472846,421.64942570219523
1998-04-01,152.1153273928144,120.5793862202065,152.16244157133926,424.8571551843601
1998-07-01,132.38374726197958,121.21968443050217,154.16995346064184,407.7733851531236
1998-10-01,154.69365098373777,121.61543948127344,148.53387527489537,424.84296573990656
1999-01-01,156.75267183910378,121.93420899686156,147.02995702574736,425.7168378617127
1999-04-01,167.91612823987714,123.47835078168548,146.36042035604925,437.75489937761193
1999-07-01,156.0256274991932,125.00639541569996,150.50155750825934,431.5335804231525
