date,DJIA
1992-01-01,3227.0590931363636
1992-02-01,3257.273707421052
1992-03-01,3247.422729499999
1992-04-01,3294.0933548095236
1992-05-01,3376.7849853
1992-06-01,3337.7890846363634
1992-07-01,3329.4091020454553
1992-08-01,3307.4552525714294
1992-09-01,3293.9247465238095
1992-10-01,3198.699995545455
1992-11-01,3238.4899902
1992-12-01,3303.155007090909
1993-01-01,3277.7274902
1993-02-01,3367.2589304736844
1993-03-01,3440.73870573913
1993-04-01,3423.6252440952385
1993-05-01,3478.1734863000006
1993-06-01,3513.8145419545453
1993-07-01,3529.4333031428578
1993-08-01,3597.013172454546
1993-09-01,3592.2885859523803
1993-10-01,3625.808570428572
1993-11-01,3674.6985793809527
1993-12-01,3744.1040704999996
1994-01-01,3868.364769380952
1994-02-01,3905.6189351052635
1994-03-01,3816.9839079565213
1994-04-01,3661.484734789474
1994-05-01,3707.992373571429
1994-06-01,3737.5822643181814
1994-07-01,3718.29998785
1994-08-01,3797.4769553043475
1994-09-01,3880.5985747142863
1994-10-01,3868.099039714286
1994-11-01,3792.4314313809523
1994-12-01,3770.306187142857
1995-01-01,3872.456647476191
1995-02-01,3953.716321526315
1995-03-01,4062.7778107826084
1995-04-01,4230.66002768421
1995-05-01,4391.570933909091
1995-06-01,4510.760009863636
1995-07-01,4684.757983399999
1995-08-01,4639.268236217392
1995-09-01,4746.760034199999
1995-10-01,4760.458163136364
1995-11-01,4935.81138395238
1995-12-01,5136.1044678
1996-01-01,5179.375
1996-02-01,5518.73251945
1996-03-01,5612.240978571428
1996-04-01,5579.864350714286
1996-05-01,5616.707741545455
1996-06-01,5671.508007699999
1996-07-01,5496.263139272728
1996-08-01,5685.498157772727
1996-09-01,5804.008496050001
1996-10-01,5996.2104279999985
1996-11-01,6318.363549849999
1996-12-01,6435.869094142855
1997-01-01,6707.030473090909
1997-02-01,6917.457365263157
1997-03-01,6901.11655275
1997-04-01,6657.49001240909
1997-05-01,7242.320521666668
1997-06-01,7599.606166428571
1997-07-01,7990.647216818182
1997-08-01,7948.421898238096
1997-09-01,7866.585704952381
1997-10-01,7875.817404000001
1997-11-01,7677.3510485789475
1997-12-01,7909.824019136362
1998-01-01,7808.34802245
1998-02-01,8323.605751421053
1998-03-01,8709.47447609091
1998-04-01,9037.439081142858
1998-05-01,9080.072168100001
1998-06-01,8872.96040481818
1998-07-01,9097.137340227275
1998-08-01,8478.51808957143
1998-09-01,7909.793387333333
1998-10-01,8164.471812772727
1998-11-01,9005.751562599999
1998-12-01,9018.679953863639
1999-01-01,9345.857319210525
1999-02-01,9322.94418168421
1999-03-01,9753.633916478262
1999-04-01,10443.499442
1999-05-01,10853.866113350003
1999-06-01,10704.017666909089
1999-07-01,11052.21716890476
1999-08-01,10935.473188954546
1999-09-01,10714.034319285716
1999-10-01,10396.882859142856
1999-11-01,10809.798967619048
1999-12-01,11246.35901990909
2000-01-01,11281.2629395
2000-02-01,10541.929492250001
2000-03-01,10483.390497652172
2000-04-01,10944.310392736841
2000-05-01,10580.267755590909
