date,DY
1989-01-01,3.4384477925718295
1989-02-01,3.3662142857142854
1989-03-01,3.419883840109327
1989-04-01,3.3366523321204102
1989-05-01,3.2473080598916857
1989-06-01,3.203583565029348
1989-07-01,3.1404941247363665
1989-08-01,3.042902481246393
1989-09-01,3.0895479412611575
1989-10-01,3.107858376511226
1989-11-01,3.210846560846561
1989-12-01,3.1726907630522083
1990-01-01,3.27675971409242
1990-02-01,3.398396126494175
1990-03-01,3.3445606570938957
1990-04-01,3.3818380743982495
1990-05-01,3.2985867237687363
1990-06-01,3.2353838896750746
1990-07-01,3.257145237896842
1990-08-01,3.56260015117158
1990-09-01,3.750673726261057
1990-10-01,3.883400625162803
1990-11-01,3.810238193409242
1990-12-01,3.677566539923954
1991-01-01,3.7195305539340686
1991-02-01,3.3438138353668636
1991-03-01,3.2529279037283767
1991-04-01,3.1947956173619887
1991-05-01,3.21172517791476
1991-06-01,3.2118216183351396
1991-07-01,3.206822186571286
1991-08-01,3.1424499229583978
1991-09-01,3.1714876033057853
1991-10-01,3.16720947063689
1991-11-01,3.168195480928689
1991-12-01,3.1402023113948156
1992-01-01,2.9417419726975584
1992-02-01,2.976536746170254
1992-03-01,3.024351924587588
1992-04-01,3.023980756486095
1992-05-01,2.970034473614426
1992-06-01,3.0176108947510225
1992-07-01,2.9739308517046137
1992-08-01,2.9590362022348238
1992-09-01,2.9631045689160773
1992-10-01,3.0028363636363635
1992-11-01,2.9286018352095358
1992-12-01,2.844091451657332
1993-01-01,2.852124164235002
1993-02-01,2.817908082408875
1993-03-01,2.7723476097387594
1993-04-01,2.8196488218831814
1993-05-01,2.808916339135317
1993-06-01,2.794268624737758
1993-07-01,2.7990788973596548
1993-08-01,2.7569198247197937
1993-09-01,2.726243358592457
1993-10-01,2.7031687863763745
1993-11-01,2.713387629890471
1993-12-01,2.6998605000536537
1994-01-01,2.668830207826804
1994-02-01,2.686012977649604
1994-03-01,2.74034626247817
1994-04-01,2.8516199718265764
1994-05-01,2.838035041029053
