name;2000;latest;2000_emp;latest_emp
No High School Diploma;16.080801;8.921929;10.038269;6.0330925
High School Diploma;32.861298;27.870625;31.296618;24.188557
Some College, No Degree;17.30268;15.299089;18.546383;14.581233
Associate Degree,\\*Vocational;4.147304;4.4318113;4.800157;4.7059326
Associate Degree,\\*Academic;3.7359147;6.003478;4.392566;6.4199486
Bachelor's Degree;17.179794;23.34266;20.353535;27.041876
Advanced Degree;8.692201;14.13041;10.572464;17.029364
