date,USA
1991-06-01,0.412679
1991-07-01,0.239195
1991-08-01,0.332408
1991-09-01,0.412254
1991-10-01,0.638423
1991-11-01,2.03216
1991-12-01,3.61614
1992-01-01,4.88259
1992-02-01,5.56501
1992-03-01,5.07662
1992-04-01,3.71609
1992-05-01,1.13797
1992-06-01,-0.453712
1992-07-01,-0.466169
1992-08-01,0.977653
1992-09-01,2.94398
1992-10-01,4.08716
1992-11-01,4.4249
1992-12-01,3.47748
1993-01-01,2.24299
1993-02-01,0.655262
1993-03-01,0.217715
1993-04-01,0.885192
1993-05-01,2.71434
1993-06-01,4.14265
1993-07-01,3.98786
1993-08-01,3.50234
1993-09-01,2.93087
1993-10-01,3.36444
1993-11-01,3.48487
1993-12-01,3.82439
1994-01-01,3.96709
1994-02-01,4.09709
1994-03-01,3.77538
1994-04-01,3.53275
1994-05-01,3.53405
1994-06-01,3.54999
1994-07-01,3.1992
1994-08-01,2.63759
1994-09-01,2.12018
1994-10-01,2.07868
1994-11-01,2.02538
1994-12-01,2.09664
1995-01-01,1.99397
1995-02-01,2.40949
1995-03-01,2.68934
1995-04-01,2.86983
1995-05-01,2.06429
1995-06-01,2.09623
1995-07-01,2.50673
1995-08-01,3.67001
1995-09-01,3.9935
1995-10-01,3.41731
1995-11-01,2.59111
1995-12-01,2.23332
1996-01-01,2.89222
1996-02-01,3.50409
1996-03-01,3.78652
1996-04-01,3.43623
1996-05-01,3.31765
1996-06-01,2.8661
1996-07-01,2.75197
1996-08-01,2.21222
1996-09-01,2.27884
1996-10-01,1.85113
1996-11-01,2.12966
1996-12-01,2.2425
1997-01-01,2.73228
1997-02-01,2.78503
1997-03-01,2.90739
1997-04-01,3.1109
1997-05-01,3.48949
1997-06-01,3.25884
1997-07-01,2.99407
1997-08-01,2.6035
1997-09-01,2.82853
1997-10-01,3.32915
1997-11-01,3.77151
1997-12-01,4.32752
1998-01-01,4.34714
1998-02-01,4.94309
1998-03-01,5.29194
1998-04-01,5.91799
1998-05-01,5.57989
1998-06-01,5.67855
1998-07-01,5.40045
1998-08-01,5.59354
1998-09-01,5.36307
1998-10-01,5.63067
1998-11-01,6.19788
1998-12-01,6.48248
1999-01-01,6.78375
1999-02-01,6.36816
1999-03-01,6.21438
1999-04-01,5.69941
1999-05-01,5.85602
1999-06-01,6.04372
1999-07-01,6.45799
1999-08-01,6.58531
1999-09-01,6.45454
1999-10-01,6.29177
1999-11-01,5.84647
1999-12-01,5.92222
2000-01-01,6.74856
2000-02-01,7.06309
2000-03-01,7.47463
2000-04-01,6.37938
2000-05-01,6.86872
2000-06-01,6.84709
2000-07-01,7.28425
2000-08-01,6.87388
2000-09-01,6.51152
2000-10-01,6.41589
2000-11-01,6.67845
2000-12-01,7.00911
2001-01-01,7.40532
2001-02-01,7.61572
2001-03-01,7.74577
2001-04-01,7.70703
2001-05-01,7.20405
2001-06-01,6.7104
2001-07-01,6.25348
2001-08-01,6.17331
2001-09-01,6.24444
2001-10-01,6.4361
2001-11-01,6.3198
2001-12-01,6.33243
2002-01-01,6.19697
2002-02-01,6.74136
2002-03-01,7.06943
2002-04-01,7.3775
2002-05-01,7.42225
2002-06-01,7.48459
2002-07-01,7.7709
2002-08-01,7.85544
2002-09-01,7.9123
2002-10-01,7.93025
2002-11-01,7.89623
2002-12-01,8.0714
2003-01-01,8.03487
2003-02-01,8.14635
2003-03-01,7.52921
2003-04-01,7.00825
2003-05-01,6.37008
2003-06-01,6.46848
2003-07-01,6.75555
2003-08-01,7.37077
2003-09-01,8.26714
2003-10-01,8.79243
2003-11-01,9.15169
