date,BEA
2017-01-01,3.503448522328001
2017-02-01,3.9551929910333516
2017-03-01,3.8884373655315496
2017-04-01,4.121893678863153
2017-05-01,4.3847566760433
2017-06-01,4.536958960828552
2017-07-01,4.551387577953725
2017-08-01,4.8484643910174485
2017-09-01,4.997323517337748
2017-10-01,5.133483815613871
2017-11-01,5.574200702858478
2017-12-01,5.6089973890185
2018-01-01,5.558186563627054
2018-02-01,5.358360877451562
2018-03-01,5.484578468911239
2018-04-01,5.360046152529985
2018-05-01,5.3747221409280455
2018-06-01,5.376634856948748
2018-07-01,5.448366318311626
2018-08-01,5.6269988645198055
2018-09-01,5.090494097497067
2018-10-01,4.526517491316473
2018-11-01,4.045256486832183
2018-12-01,4.2511594143248566
2019-01-01,4.703690838666796
2019-02-01,5.076102813148253
2019-03-01,5.419473050297752
2019-04-01,4.946863623854214
2019-05-01,4.530058738925291
2019-06-01,4.25563212085891
2019-07-01,3.6955132086050835
2019-08-01,3.7040865737251183
2019-09-01,3.8000718247274357
2019-10-01,4.439207739207873
2019-11-01,4.819138257592814
2019-12-01,4.340308007708016
2020-01-01,4.806437504348793
2020-02-01,5.258683347654292
2020-03-01,1.923951865834339
2020-04-01,-5.623452750879288
2020-05-01,-2.7018679724274297
2020-06-01,-0.5279961051825155
2020-07-01,0.40218871029518155
2020-08-01,0.9373563465489676
2020-09-01,1.4893252479068808
2020-10-01,2.586666516813718
2020-11-01,3.0580151463013294
2020-12-01,3.497127197394767
2021-01-01,2.17550357201044
2021-02-01,0.8147437408212221
2021-03-01,4.098991076664227
2021-04-01,13.99281788258091
2021-05-01,11.762473087838664
2021-06-01,10.07792899293527
2021-07-01,10.099213644401651
2021-08-01,9.452674375866078
2021-09-01,9.45786911254407
2021-10-01,8.973754796440137
2021-11-01,8.85756731011449
2021-12-01,9.028976790629862
2022-01-01,9.187770005856155
2022-02-01,10.393750232424527
2022-03-01,10.305341017309289
2022-04-01,9.08397855730454
2022-05-01,8.417105734920561
2022-06-01,7.863982844053896
2022-07-01,8.283080695532451
2022-08-01,8.580209582963082
2022-09-01,8.535708156328559
2022-10-01,6.94392652158089
2022-11-01,5.918148462966699
2022-12-01,5.1779946840385005
2023-01-01,5.877103955032026
2023-02-01,5.362374968564798
2023-03-01,5.186395010819056
2023-04-01,5.444288864897162
2023-05-01,5.552038865017561
2023-06-01,5.733006821453168
2023-07-01,4.704738545277842
