date,FDHBATN,GFDEBTN,FDHBFRBN,FDHBPIN,FDHBFIN,FOREIGN,PD,IG
1989-01-01,11.022520650022782,49.73275587239418,4.1478770798582465,34.53661082153188,6.777043260398316,0.02574732098126994,27.759567561133558,11.048267971004055
1989-04-01,11.720362343591399,49.88759836813178,4.130094042490793,34.01536901000505,6.528328115481563,0.021772972044532903,27.48704089452349,11.74213531563593
1989-07-01,11.88167922512429,50.17116550036741,3.882104132044215,34.38410005328895,6.879278149863969,0.023282089909953476,27.504821903424983,11.904961315034242
1989-10-01,12.315883267037709,51.38110713026103,3.946244082156348,35.10208470609443,7.413997369518606,0.01689507497254774,27.688087336575823,12.332778342010254
1990-01-01,12.30599003763345,51.96855756831482,3.710388116132594,36.041337708151666,7.58424445583046,-0.08915829360289033,28.457093252321204,12.216831744030559
1990-04-01,13.002992603390453,52.747302529451204,3.8825320954867992,35.90587158315364,7.5670785439263035,-0.04409375257968849,28.338793039227333,12.958898850810765
1990-07-01,13.229370805151556,53.75312795297713,3.8968492045706182,36.695884169149856,7.710574492661489,-0.06897622589490114,28.98530967648837,13.160394579256657
1990-10-01,13.793702401089272,56.036130165987394,3.9152448576814316,38.391382264623594,8.111934369105171,-0.06419935740689915,30.279447895518423,13.729503043682376
1991-01-01,14.363089207973651,57.41651696105732,3.993254217191274,39.114007904986394,8.152203630116626,-0.05383436909400603,30.96180427486977,14.309254838879648
1991-04-01,14.609844321611945,57.74551475127071,4.039588291689938,39.15381152701008,8.193427565367067,-0.057729389041245936,30.960383961643007,14.552114932570698
1991-07-01,14.817633501596939,59.06123442761343,4.16697752490881,40.258223697726876,8.15831678600669,-0.18160029661919605,32.09990691172018,14.636033204977746
1991-10-01,15.462651687115095,60.68598811724404,4.254103254189453,41.1602448064822,8.315055854061113,-0.19101163054270376,32.84518895242108,15.271640056572389
1992-01-01,15.14446884554106,60.99679055907009,4.177207908972699,41.894660811660735,8.429850723750775,-0.2195470071044006,33.46481008790996,14.924921838436656
1992-04-01,15.575937489906522,61.579384069544815,4.279248057763821,41.91777692986129,8.626494278959067,-0.19357840798681453,33.29128265090222,15.382359081919702
1992-07-01,15.477167093495748,61.898023662326,4.259407511389766,42.36869352230463,8.570591874902252,-0.20724446486414394,33.798101647402376,15.269922628631601
1992-10-01,15.682261548499485,62.5225590396843,4.415636862814246,42.61912826946103,8.632195860288054,-0.1944676410904526,33.98693240917298,15.487793907409031
1993-01-01,15.499373723801572,62.8665692145535,4.435720612905138,43.12382317805934,8.706494831159533,-0.19234830021253574,34.4173283468998,15.307025423589026
1993-04-01,16.150313580427138,63.91524435745421,4.598366940869935,43.345960361812615,8.764948547784023,-0.17939652565546768,34.58101181402859,15.970917054771672
1993-07-01,16.22605490360643,64.10093259352017,4.641026617174006,43.43588248815987,8.995803314628766,-0.2020314154201299,34.440079173531096,16.024023488186295
1993-10-01,16.446151823749332,64.6686118015814,4.733567179156108,43.622958257066344,9.271803423509688,-0.13406545839037964,34.351154833556656,16.312086365358955
1994-01-01,16.044362484281134,64.30709371397026,4.740254301362686,43.564525077954904,9.290786002463303,-0.04204814962845554,34.27373907549161,16.00231433465267
1994-04-01,16.599219724873883,64.10716481224948,4.7965131722656125,42.753270315392825,9.105923597175135,-0.041838400282837834,33.64734671821768,16.557381324591052
1994-07-01,16.5473412835089,64.01175816643536,4.815119201481365,42.694966290755445,9.30286485951924,-0.04566860931036658,33.39210143123621,16.50167267419853
1994-10-01,16.860944875637266,64.38584263947952,4.889147139587364,42.62209588683898,8.950693789428389,0.013654737415912424,33.6714020974106,16.874599613053178
1995-01-01,16.679191666260095,64.66271104447064,4.834964463609415,43.135806135605804,9.398734879768647,0.01274877899532752,33.73707125583716,16.691940445255426
1995-04-01,17.366633966482244,65.31293970964505,4.914920821100443,43.01940760562232,10.05804381666422,0.011977316440045505,32.9613637889581,17.37861128292229
1995-07-01,17.190713414138127,64.73906125437242,4.785813064345562,42.76905556007484,10.677946798991297,-0.006520784186124834,32.09110876108354,17.184192629952012
1995-10-01,16.782779888186504,64.18282152169175,4.865819432554364,42.55597815193038,10.745458461315192,-0.021755950979504165,31.810519690615198,16.761023937207003
1996-01-01,17.2049628974789,65.04170824612872,4.792546655842027,43.04141543182231,11.541001374092136,0.0027832609854936304,31.50041405773017,17.207746158464396
1996-04-01,17.707846788931437,64.24970496113454,4.779131664517157,41.75858102489281,11.573739798128683,0.0041454827931295644,30.18484122676413,17.71199227172457
1996-07-01,17.795233002697685,64.25468996267313,4.721199575768428,41.7295504050467,12.216826409399207,0.008706979160319326,29.512723995647487,17.803939981857997
