date,WS
2017-10-01,2.8
2018-01-01,2.9
2018-04-01,2.9
2018-07-01,3.1
2018-10-01,3.1
2019-01-01,3.0
2019-04-01,3.0
2019-07-01,3.0
2019-10-01,3.0
2020-01-01,3.3
2020-04-01,2.9
2020-07-01,2.7
2020-10-01,2.8
2021-01-01,3.0
2021-04-01,3.5
2021-07-01,4.6
2021-10-01,5.0
2022-01-01,5.0
2022-04-01,5.7
2022-07-01,5.2
2022-10-01,5.1
2023-01-01,5.1
2023-04-01,4.6
