date,ROW Saving,HH Saving,Gov Saving,Investment
1989-01-01,0.508363,-6.40747,2.68949,8.1477
1989-04-01,0.480624,-5.8111,3.09581,7.7492
1989-07-01,0.539787,-5.59493,3.22926,7.45876
1989-10-01,0.614638,-5.87873,3.58023,7.1551
1990-01-01,0.525582,-5.90342,3.78764,7.24575
1990-04-01,0.595045,-6.2133,4.01193,7.02321
1990-07-01,0.571989,-5.97616,3.93947,6.57611
1990-10-01,0.424493,-5.95714,4.23137,5.53792
1991-01-01,-0.89314,-6.39943,3.96467,4.88449
1991-04-01,-0.152727,-6.35503,4.95705,4.76986
1991-07-01,0.273822,-6.28443,5.3222,4.90662
1991-10-01,0.428089,-6.86507,5.66217,5.21017
1992-01-01,0.531361,-7.08719,6.11237,4.8181
1992-04-01,0.594435,-7.2724,6.1197,5.45959
1992-07-01,0.658368,-6.78466,6.37245,5.38134
1992-10-01,0.768576,-6.38176,6.15524,5.6233
1993-01-01,0.573783,-6.36016,6.20153,5.70667
1993-04-01,0.613472,-5.9857,5.62538,5.70408
1993-07-01,0.653445,-5.30601,5.69339,5.46135
1993-10-01,0.787947,-5.16751,4.92338,6.0662
1994-01-01,0.556222,-4.82416,4.69844,6.329
1994-04-01,0.570499,-4.93,4.19465,6.99156
1994-07-01,0.627471,-4.77507,4.27351,6.68552
1994-10-01,0.762128,-5.01254,4.34323,7.06698
1995-01-01,0.578818,-5.38828,4.26032,7.08946
1995-04-01,0.558498,-4.8903,4.28561,6.54917
1995-07-01,0.57384,-4.84801,4.13843,6.22702
1995-10-01,0.586513,-4.65849,3.65251,6.37628
1996-01-01,0.650136,-4.69573,3.56437,6.53441
1996-04-01,0.553719,-4.54716,2.9588,7.05274
1996-07-01,0.553559,-4.62579,2.73319,7.52081
1996-10-01,0.685778,-4.39748,2.30578,7.3351
1997-01-01,0.551339,-4.31629,2.02342,7.49385
1997-04-01,0.553857,-4.49857,1.75907,7.98837
1997-07-01,0.564501,-4.13856,1.22481,8.1616
1997-10-01,0.718246,-4.33864,1.26556,8.09845
1998-01-01,0.61859,-5.07948,0.626969,8.57208
1998-04-01,0.625376,-4.84331,0.501446,8.19384
1998-07-01,0.652012,-4.63618,0.133857,8.51016
1998-10-01,0.745308,-4.16772,0.045432,8.67901
1999-01-01,0.868228,-4.24438,-0.127553,9.02182
1999-04-01,0.893919,-3.18822,-0.244216,8.65997
1999-07-01,0.861862,-2.91055,-0.322225,8.78126
1999-10-01,0.920831,-2.76943,-0.515067,8.99743
2000-01-01,0.87615,-2.95684,-1.47249,8.5781
2000-04-01,0.899664,-3.06422,-1.16084,9.29139
2000-07-01,0.912786,-3.24976,-1.08297,8.90175
2000-10-01,1.0161,-3.04223,-0.892499,8.83287
2001-01-01,0.991066,-3.41089,-0.454783,7.66644
2001-04-01,1.01302,-3.20858,0.119325,7.49412
2001-07-01,1.05172,-4.65443,2.44749,6.93598
2001-10-01,1.08893,-2.40078,1.80574,6.03211
2002-01-01,1.09584,-4.03353,3.6202,6.55255
2002-04-01,1.04608,-4.34833,4.10278,6.6171
2002-07-01,1.05292,-4.00393,4.19322,6.49158
2002-10-01,1.1152,-4.07475,4.52449,6.44088
2003-01-01,1.11278,-3.79455,4.84908,6.43898
2003-04-01,1.1453,-3.78371,5.13748,6.34949
2003-07-01,1.11885,-4.0436,5.48421,6.77782
2003-10-01,1.14299,-3.66037,4.65978,7.22986
2004-01-01,1.20238,-3.34514,4.88758,7.10718
2004-04-01,1.16045,-3.67186,4.60477,7.73264
2004-07-01,1.1385,-3.2749,4.17806,7.85684
2004-10-01,1.21238,-3.28232,4.02941,8.0482
2005-01-01,1.24651,-1.78365,3.18505,8.37092
2005-04-01,1.14746,-1.59237,3.18707,7.98444
2005-07-01,1.18025,-1.26444,3.08917,8.00513
2005-10-01,1.18781,-1.74336,2.67253,8.48589
2006-01-01,1.07346,-2.26929,2.28606,8.6342
2006-04-01,1.13752,-2.1283,2.15443,8.36037
2006-07-01,1.13062,-1.73943,2.21204,8.04212
2006-10-01,1.10803,-1.83379,2.23268,7.52197
2007-01-01,1.23499,-1.96017,2.25847,7.18095
2007-04-01,1.14253,-2.04849,2.3216,7.24547
2007-07-01,1.19384,-1.70165,2.85725,6.92248
2007-10-01,1.24591,-1.53328,3.24553,6.45981
2008-01-01,1.31194,-2.02416,3.86319,5.75844
2008-04-01,1.31268,-3.41067,6.28494,5.46476
2008-07-01,1.30184,-2.56253,5.75871,5.04084
2008-10-01,1.38346,-4.12436,6.81212,3.78474
2009-01-01,1.36037,-4.23601,9.84336,1.83818
2009-04-01,1.44526,-5.12383,11.2852,0.973007
2009-07-01,1.43727,-3.77635,11.374,0.870592
2009-10-01,1.34473,-3.96358,10.8492,1.81565
2010-01-01,1.37931,-4.02064,11.2188,1.9827
2010-04-01,1.36097,-4.62723,10.932,2.72664
2010-07-01,1.39503,-4.54201,10.436,3.22129
2010-10-01,1.36988,-4.40889,10.1066,3.04919
2011-01-01,1.48105,-4.96785,9.79428,2.62021
2011-04-01,1.41538,-4.74831,9.71604,2.97873
2011-07-01,1.40234,-4.94489,9.4885,2.95955
2011-10-01,1.37844,-4.94463,9.17907,3.91713
2012-01-01,1.33852,-5.57555,8.53157,4.02281
2012-04-01,1.34099,-5.92672,8.37566,4.25956
2012-07-01,1.36246,-5.19622,8.31626,4.06918
2012-10-01,1.33865,-6.98278,7.72002,3.83916
2013-01-01,1.34488,-3.49864,6.13575,4.22491
2013-04-01,1.36158,-3.83786,4.58048,4.21884
2013-07-01,1.40454,-3.79294,5.71241,4.66458
2013-10-01,1.3568,-3.26949,4.62541,4.61492
2014-01-01,1.37462,-3.83056,4.66495,4.2426
2014-04-01,1.38545,-4.02946,4.53013,4.86418
2014-07-01,1.3842,-3.95955,4.76032,5.06401
2014-10-01,1.39673,-4.13605,4.68413,5.10171
2015-01-01,1.38075,-4.5297,4.39715,5.49409
2015-04-01,1.36026,-4.22544,4.20506,5.46694
2015-07-01,1.41073,-4.11526,4.37603,5.39621
2015-10-01,1.40079,-4.21354,3.74842,5.14151
2016-01-01,1.45879,-4.31215,4.71511,4.97173
2016-04-01,1.41847,-3.83838,4.83929,4.74499
2016-07-01,1.45577,-3.73207,4.80994,4.64731
2016-10-01,1.4682,-3.80523,4.74553,4.96452
2017-01-01,1.41924,-4.03517,4.85282,4.79166
2017-04-01,1.4805,-4.42618,5.00757,4.96738
2017-07-01,1.53082,-4.41487,4.85376,5.06332
2017-10-01,1.46362,-4.03906,4.61737,5.26536
2018-01-01,1.33683,-4.26382,5.08754,5.37091
2018-04-01,1.38428,-4.50075,5.31567,5.2628
2018-07-01,1.40256,-4.88209,5.18264,5.67152
2018-10-01,1.45686,-5.36964,5.53396,5.51422
2019-01-01,1.4999,-6.15141,5.7716,5.58992
2019-04-01,1.42932,-5.43134,5.594,5.57021
2019-07-01,1.4156,-5.07904,5.83045,5.5485
2019-10-01,1.41076,-4.95885,5.70879,5.11557
2020-01-01,1.447,-6.67597,6.05101,4.74485
2020-04-01,1.6289,-21.9068,24.6842,2.4147
2020-07-01,1.57574,-12.0909,16.2718,4.99684
2020-10-01,1.47712,-9.49986,9.48841,5.44072
2021-01-01,1.52387,-17.2593,19.0267,5.03477
2021-04-01,1.41033,-8.13938,11.1493,4.49646
2021-07-01,1.53949,-6.60303,8.66657,4.86902
2021-10-01,1.42296,-5.01933,5.63656,5.79671
2022-01-01,1.41706,-2.7617,2.92775,6.03582
2022-04-01,1.48517,-1.76119,2.96745,5.48057
2022-07-01,1.68368,-2.3788,3.71772,5.055
2022-10-01,1.63224,-2.75657,4.62235,5.30722
2023-01-01,1.55737,-4.05301,6.40982,4.85118
2023-04-01,1.56975,-4.41328,6.65272,5.01384
2023-07-01,1.57123,-4.03905,6.77766,5.24412
2023-10-01,1.57286,-4.11852,6.60213,5.35732
2024-01-01,1.50948,-4.63653,6.82732,5.14805
2024-04-01,1.50657,-4.3335,6.91819,5.36708
2024-07-01,1.76184,-3.82642,7.25059,5.29935
2024-10-01,1.603,-3.52402,7.03723,4.83968
2025-01-01,1.48143,-3.87185,7.00783,5.67059
2025-04-01,1.45676,-3.97884,6.76826,4.821
