date,DPCERG,DPCCRG
1988-01-01,56.941,58.781
1988-02-01,57.024,58.902
1988-03-01,57.221,59.154
1988-04-01,57.499,59.441
1988-05-01,57.666,59.644
1988-06-01,57.912,59.896
1988-07-01,58.193,60.14
1988-08-01,58.366,60.289
1988-09-01,58.65,60.613
1988-10-01,58.841,60.843
1988-11-01,58.978,61.01
1988-12-01,59.162,61.212
1989-01-01,59.465,61.522
1989-02-01,59.663,61.678
1989-03-01,59.885,61.863
1989-04-01,60.284,62.07
1989-05-01,60.504,62.256
1989-06-01,60.637,62.42
1989-07-01,60.782,62.581
1989-08-01,60.789,62.669
1989-09-01,60.924,62.886
1989-10-01,61.162,63.114
1989-11-01,61.296,63.282
1989-12-01,61.473,63.462
1990-01-01,61.939,63.706
1990-02-01,62.212,64.016
1990-03-01,62.446,64.323
1990-04-01,62.577,64.515
1990-05-01,62.718,64.712
1990-06-01,62.995,64.963
1990-07-01,63.151,65.128
1990-08-01,63.571,65.398
1990-09-01,63.961,65.627
1990-10-01,64.327,65.85
1990-11-01,64.409,65.929
1990-12-01,64.469,66.021
1991-01-01,64.714,66.35
1991-02-01,64.747,66.533
1991-03-01,64.76,66.672
1991-04-01,64.878,66.805
1991-05-01,65.147,67.072
1991-06-01,65.257,67.216
1991-07-01,65.36,67.421
1991-08-01,65.511,67.606
1991-09-01,65.737,67.877
1991-10-01,65.86,68.026
1991-11-01,66.005,68.153
1991-12-01,66.17,68.321
1992-01-01,66.26,68.507
1992-02-01,66.428,68.693
1992-03-01,66.589,68.865
1992-04-01,66.769,69.091
1992-05-01,66.857,69.188
1992-06-01,66.976,69.242
1992-07-01,67.197,69.503
1992-08-01,67.287,69.567
1992-09-01,67.397,69.68
1992-10-01,67.635,69.948
1992-11-01,67.768,70.101
1992-12-01,67.886,70.231
1993-01-01,68.052,70.435
1993-02-01,68.154,70.57
1993-03-01,68.294,70.723
1993-04-01,68.475,70.929
1993-05-01,68.687,71.169
1993-06-01,68.711,71.237
1993-07-01,68.82,71.385
1993-08-01,68.938,71.518
1993-09-01,69.01,71.625
1993-10-01,69.227,71.744
1993-11-01,69.358,71.928
1993-12-01,69.374,71.96
1994-01-01,69.397,72.018
1994-02-01,69.558,72.173
1994-03-01,69.75,72.42
1994-04-01,69.832,72.528
1994-05-01,69.933,72.69
1994-06-01,70.104,72.851
1994-07-01,70.325,73.004
1994-08-01,70.486,73.086
1994-09-01,70.565,73.197
1994-10-01,70.684,73.369
1994-11-01,70.819,73.503
