date,DPCERG,DPCCRG
1994-12-01,70.865,73.528
1995-01-01,71.008,73.711
1995-02-01,71.134,73.831
1995-03-01,71.265,74.013
1995-04-01,71.453,74.184
1995-05-01,71.563,74.311
1995-06-01,71.633,74.375
1995-07-01,71.722,74.493
1995-08-01,71.877,74.671
1995-09-01,71.926,74.77
1995-10-01,72.113,74.952
1995-11-01,72.111,75.0
1995-12-01,72.249,75.105
1996-01-01,72.41,75.19
1996-02-01,72.524,75.288
1996-03-01,72.743,75.462
1996-04-01,72.961,75.565
1996-05-01,73.087,75.696
1996-06-01,73.086,75.754
1996-07-01,73.241,75.897
1996-08-01,73.31,75.962
1996-09-01,73.517,76.192
1996-10-01,73.74,76.373
1996-11-01,73.871,76.473
1996-12-01,73.956,76.503
1997-01-01,74.052,76.584
1997-02-01,74.208,76.741
1997-03-01,74.286,76.925
1997-04-01,74.359,77.075
1997-05-01,74.324,77.131
1997-06-01,74.42,77.245
1997-07-01,74.464,77.297
1997-08-01,74.524,77.267
1997-09-01,74.704,77.427
1997-10-01,74.801,77.545
1997-11-01,74.804,77.568
1997-12-01,74.788,77.613
1998-01-01,74.825,77.732
1998-02-01,74.787,77.798
1998-03-01,74.799,77.881
1998-04-01,74.891,78.024
1998-05-01,74.994,78.1
1998-06-01,74.931,78.002
1998-07-01,75.116,78.222
1998-08-01,75.22,78.375
1998-09-01,75.176,78.361
1998-10-01,75.341,78.514
1998-11-01,75.345,78.528
1998-12-01,75.42,78.663
1999-01-01,75.527,78.776
1999-02-01,75.484,78.749
1999-03-01,75.541,78.773
1999-04-01,75.906,78.975
1999-05-01,75.955,79.051
1999-06-01,75.979,79.092
1999-07-01,76.181,79.235
1999-08-01,76.319,79.273
1999-09-01,76.593,79.483
1999-10-01,76.723,79.619
1999-11-01,76.792,79.695
1999-12-01,76.97,79.796
2000-01-01,77.18,79.987
2000-02-01,77.422,80.106
2000-03-01,77.755,80.27
2000-04-01,77.69,80.323
2000-05-01,77.755,80.409
2000-06-01,78.019,80.47
2000-07-01,78.214,80.654
2000-08-01,78.209,80.757
2000-09-01,78.545,80.953
2000-10-01,78.652,81.067
2000-11-01,78.762,81.21
2000-12-01,78.883,81.289
2001-01-01,79.265,81.592
2001-02-01,79.388,81.736
2001-03-01,79.395,81.821
2001-04-01,79.534,81.951
2001-05-01,79.743,81.97
2001-06-01,79.885,82.154
2001-07-01,79.858,82.366
2001-08-01,79.848,82.406
2001-09-01,79.577,81.939
2001-10-01,79.857,82.516
2001-11-01,79.803,82.683
2001-12-01,79.721,82.702
2002-01-01,79.793,82.75
2002-02-01,79.926,82.907
2002-03-01,80.144,83.006
2002-04-01,80.479,83.238
2002-05-01,80.531,83.331
2002-06-01,80.632,83.463
2002-07-01,80.81,83.632
2002-08-01,80.969,83.797
2002-09-01,81.115,83.934
2002-10-01,81.262,84.005
2002-11-01,81.343,84.087
2002-12-01,81.421,84.165
2003-01-01,81.664,84.223
2003-02-01,82.009,84.339
2003-03-01,82.219,84.474
2003-04-01,82.08,84.568
2003-05-01,81.986,84.69
2003-06-01,82.074,84.738
2003-07-01,82.315,84.949
2003-08-01,82.593,85.045
2003-09-01,82.852,85.164
2003-10-01,82.862,85.32
2003-11-01,82.967,85.437
2003-12-01,83.15,85.544
2004-01-01,83.471,85.763
2004-02-01,83.649,85.902
2004-03-01,83.778,86.046
2004-04-01,83.934,86.27
2004-05-01,84.206,86.388
2004-06-01,84.447,86.525
2004-07-01,84.525,86.628
2004-08-01,84.569,86.661
2004-09-01,84.735,86.823
2004-10-01,85.099,87.012
2004-11-01,85.427,87.199
2004-12-01,85.473,87.311
2005-01-01,85.585,87.625
2005-02-01,85.823,87.77
2005-03-01,86.08,87.987
2005-04-01,86.321,88.089
2005-05-01,86.37,88.269
2005-06-01,86.423,88.33
2005-07-01,86.79,88.46
2005-08-01,87.14,88.532
2005-09-01,87.981,88.728
2005-10-01,88.121,88.982
2005-11-01,87.938,89.21
2005-12-01,87.938,89.302
2006-01-01,88.364,89.503
2006-02-01,88.417,89.647
2006-03-01,88.588,89.894
2006-04-01,88.999,90.169
2006-05-01,89.239,90.395
2006-06-01,89.459,90.623
2006-07-01,89.765,90.712
2006-08-01,90.047,90.896
2006-09-01,89.812,91.04
2006-10-01,89.599,91.204
2006-11-01,89.63,91.248
2006-12-01,89.949,91.37
2007-01-01,90.249,91.741
2007-02-01,90.529,91.939
2007-03-01,90.861,92.032
2007-04-01,91.074,92.163
2007-05-01,91.339,92.272
2007-06-01,91.532,92.424
2007-07-01,91.672,92.563
2007-08-01,91.734,92.701
2007-09-01,92.088,92.954
2007-10-01,92.367,93.196
2007-11-01,92.856,93.379
2007-12-01,93.072,93.567
2008-01-01,93.307,93.753
2008-02-01,93.492,93.844
2008-03-01,93.76,94.028
2008-04-01,93.934,94.083
2008-05-01,94.337,94.255
2008-06-01,95.021,94.471
2008-07-01,95.463,94.641
2008-08-01,95.386,94.757
2008-09-01,95.465,94.854
2008-10-01,94.835,94.719
2008-11-01,93.716,94.677
2008-12-01,93.192,94.631
2009-01-01,93.203,94.602
2009-02-01,93.369,94.677
2009-03-01,93.267,94.745
2009-04-01,93.401,94.957
2009-05-01,93.498,95.03
2009-06-01,94.053,95.151
2009-07-01,94.063,95.233
2009-08-01,94.336,95.374
2009-09-01,94.489,95.541
2009-10-01,94.847,95.893
2009-11-01,95.084,95.978
2009-12-01,95.14,96.06
2010-01-01,95.348,96.201
2010-02-01,95.345,96.285
2010-03-01,95.48,96.429
2010-04-01,95.532,96.478
2010-05-01,95.562,96.585
2010-06-01,95.522,96.632
2010-07-01,95.604,96.633
2010-08-01,95.735,96.726
2010-09-01,95.83,96.781
2010-10-01,96.135,96.928
2010-11-01,96.327,97.054
2010-12-01,96.545,97.074
2011-01-01,96.835,97.283
2011-02-01,97.105,97.453
2011-03-01,97.496,97.6
2011-04-01,97.908,97.824
2011-05-01,98.206,98.057
2011-06-01,98.186,98.164
2011-07-01,98.353,98.309
2011-08-01,98.584,98.505
2011-09-01,98.723,98.572
2011-10-01,98.725,98.619
2011-11-01,98.928,98.828
2011-12-01,98.984,98.992
2012-01-01,99.323,99.288
2012-02-01,99.545,99.426
2012-03-01,99.735,99.595
2012-04-01,99.866,99.746
2012-05-01,99.754,99.847
2012-06-01,99.704,99.95
2012-07-01,99.74,100.053
2012-08-01,100.075,100.116
2012-09-01,100.379,100.24
2012-10-01,100.677,100.482
2012-11-01,100.609,100.591
2012-12-01,100.593,100.664
2013-01-01,100.787,100.871
2013-02-01,101.156,100.992
2013-03-01,101.023,101.085
2013-04-01,100.944,101.163
2013-05-01,101.01,101.272
2013-06-01,101.228,101.438
2013-07-01,101.354,101.567
2013-08-01,101.51,101.685
2013-09-01,101.55,101.799
2013-10-01,101.722,102.015
2013-11-01,101.881,102.194
2013-12-01,102.084,102.333
2014-01-01,102.278,102.426
2014-02-01,102.338,102.489
2014-03-01,102.543,102.684
2014-04-01,102.742,102.879
2014-05-01,102.919,103.061
2014-06-01,103.035,103.18
2014-07-01,103.19,103.369
2014-08-01,103.177,103.408
2014-09-01,103.203,103.536
2014-10-01,103.177,103.629
2014-11-01,103.098,103.74
2014-12-01,102.94,103.837
2015-01-01,102.465,103.816
2015-02-01,102.634,103.92
2015-03-01,102.831,104.08
2015-04-01,102.91,104.256
2015-05-01,103.156,104.385
2015-06-01,103.356,104.511
2015-07-01,103.441,104.603
2015-08-01,103.442,104.679
2015-09-01,103.289,104.814
2015-10-01,103.274,104.829
2015-11-01,103.337,104.94
2015-12-01,103.253,105.009
2016-01-01,103.306,105.204
2016-02-01,103.242,105.369
2016-03-01,103.481,105.521
2016-04-01,103.823,105.786
2016-05-01,103.977,105.948
2016-06-01,104.175,106.077
2016-07-01,104.218,106.257
2016-08-01,104.374,106.456
2016-09-01,104.555,106.579
2016-10-01,104.786,106.737
2016-11-01,104.826,106.789
2016-12-01,105.017,106.929
2017-01-01,105.408,107.205
2017-02-01,105.57,107.414
2017-03-01,105.512,107.364
2017-04-01,105.744,107.62
2017-05-01,105.714,107.719
2017-06-01,105.815,107.876
2017-07-01,105.842,107.941
2017-08-01,106.093,108.074
2017-09-01,106.491,108.215
2017-10-01,106.648,108.499
2017-11-01,106.825,108.582
2017-12-01,106.98,108.742
2018-01-01,107.362,109.08
2018-02-01,107.625,109.311
2018-03-01,107.777,109.562
2018-04-01,107.988,109.75
2018-05-01,108.193,109.956
2018-06-01,108.317,110.073
2018-07-01,108.417,110.219
2018-08-01,108.502,110.246
2018-09-01,108.738,110.476
2018-10-01,108.924,110.626
2018-11-01,108.969,110.831
2018-12-01,108.991,111.009
2019-01-01,108.977,111.134
2019-02-01,109.146,111.207
2019-03-01,109.443,111.35
2019-04-01,109.78,111.65
2019-05-01,109.856,111.773
2019-06-01,109.935,112.0
2019-07-01,110.094,112.157
2019-08-01,110.132,112.27
2019-09-01,110.207,112.339
2019-10-01,110.423,112.496
2019-11-01,110.469,112.524
2019-12-01,110.736,112.772
2020-01-01,110.944,113.008
2020-02-01,111.07,113.206
2020-03-01,110.824,113.143
2020-04-01,110.237,112.668
2020-05-01,110.353,112.819
2020-06-01,110.746,113.051
2020-07-01,111.072,113.425
2020-08-01,111.411,113.782
2020-09-01,111.613,113.979
2020-10-01,111.648,114.017
2020-11-01,111.666,114.048
2020-12-01,112.15,114.422
2021-01-01,112.583,114.782
2021-02-01,112.961,114.975
2021-03-01,113.632,115.457
2021-04-01,114.238,116.186
2021-05-01,114.819,116.787
2021-06-01,115.458,117.349
2021-07-01,115.986,117.811
2021-08-01,116.444,118.199
2021-09-01,116.808,118.446
2021-10-01,117.479,118.929
2021-11-01,118.2,119.543
2021-12-01,118.841,120.193
2022-01-01,119.469,120.761
2022-02-01,120.178,121.205
2022-03-01,121.321,121.651
2022-04-01,121.563,122.03
2022-05-01,122.3,122.488
2022-06-01,123.512,123.258
2022-07-01,123.397,123.352
2022-08-01,123.728,124.031
2022-09-01,124.154,124.607
2022-10-01,124.676,124.998
2022-11-01,124.889,125.277
2022-12-01,125.141,125.746
2023-01-01,125.898,126.449
2023-02-01,126.277,126.888
2023-03-01,126.373,127.244
