date,total
1990-02-01,59.820761762509335
1990-03-01,62.28878648233487
1990-04-01,63.6088098605779
1990-05-01,61.76237623762376
1990-06-01,60.555668221456095
1990-07-01,63.7198164039114
1990-08-01,60.41624158335034
1990-09-01,62.77695716395865
1990-10-01,59.909108871764474
1990-11-01,61.02230116439708
1990-12-01,60.142131979695435
1991-01-01,58.45012366034625
1991-02-01,58.30612244897959
1991-03-01,58.781785925487874
1991-04-01,55.93826463391681
1991-05-01,58.02757158006363
1991-06-01,57.646379044684124
1991-07-01,58.42764753435732
1991-08-01,57.17703349282297
1991-09-01,57.55572346052135
1991-10-01,57.078925956061845
1991-11-01,56.18163054695563
1991-12-01,57.885577550576464
1992-01-01,56.369197553076646
1992-02-01,56.986531986531986
1992-03-01,57.979356887653836
1992-04-01,56.527805461431136
1992-05-01,57.40193179578159
1992-06-01,55.81024516643412
1992-07-01,56.03744745892243
1992-08-01,56.55281969817315
1992-09-01,55.25159744408946
1992-10-01,55.41551792044112
1992-11-01,56.825153374233125
1992-12-01,56.173200702165005
1993-01-01,56.83168316831683
1993-02-01,60.10628202695008
1993-03-01,57.81431334622824
1993-04-01,57.305389221556894
1993-05-01,59.602769679300295
1993-06-01,57.28683733118323
1993-07-01,55.741910023677974
1993-08-01,59.504608294930875
1993-09-01,58.831908831908834
1993-10-01,58.41525756979945
1993-11-01,58.19482025512176
1993-12-01,58.30348727615458
1994-01-01,59.78884978699759
1994-02-01,59.61960497439649
1994-03-01,57.85631963119477
1994-04-01,58.51726089417091
1994-05-01,58.566691230655856
1994-06-01,58.336738863914995
1994-07-01,58.842752787389465
1994-08-01,59.92753623188406
1994-09-01,58.640443001718545
1994-10-01,60.82133125729856
1994-11-01,60.79851439182915
1994-12-01,59.341458977624164
1995-01-01,60.91736163760425
1995-02-01,58.333333333333336
1995-03-01,59.81914684489876
1995-04-01,61.05834464043419
1995-05-01,56.79405520169851
1995-06-01,60.77504725897921
1995-07-01,60.91823183456649
1995-08-01,58.207239992338636
1995-09-01,61.52267214032469
1995-10-01,59.83621812767541
1995-11-01,60.46978518369806
1995-12-01,59.38836612489307
1996-01-01,59.49442675159236
1996-02-01,61.95793783733482
1996-03-01,60.607831677381654
1996-04-01,60.41540633192176
1996-05-01,61.09268292682927
1996-06-01,61.03573476017581
1996-07-01,62.25315027271018
1996-08-01,59.0628615503278
1996-09-01,61.44390243902439
1996-10-01,60.22682831443097
1996-11-01,60.02053388090349
1996-12-01,58.618477331052176
1997-01-01,58.58738875213027
1997-02-01,59.59477888174557
1997-03-01,62.658917544496916
1997-04-01,61.93411674051242
1997-05-01,60.731380432701506
1997-06-01,60.710760118460016
1997-07-01,59.61871750433275
1997-08-01,63.43630123157682
1997-09-01,62.60692464358451
1997-10-01,61.4488748519542
1997-11-01,64.02196553683015
1997-12-01,63.01166882756066
1998-01-01,62.9832096837173
1998-02-01,62.10240496508922
1998-03-01,63.55866355866356
1998-04-01,61.480927449513835
1998-05-01,65.44204322200393
1998-06-01,62.814465408805034
1998-07-01,64.2965491088358
1998-08-01,64.81783578031539
1998-09-01,66.59212110786169
1998-10-01,64.02175951978991
1998-11-01,64.58029197080292
1998-12-01,66.18149146451033
1999-01-01,66.01640838650866
1999-02-01,64.43220660843144
1999-03-01,62.15664439495174
1999-04-01,69.26214312198739
1999-05-01,66.9323414806943
1999-06-01,66.05981794538361
1999-07-01,66.14144375229021
1999-08-01,64.75707034082669
1999-09-01,65.14530551415797
1999-10-01,66.60573935295193
1999-11-01,64.02527075812274
1999-12-01,64.6866485013624
2000-01-01,64.41249556265531
2000-02-01,67.10914454277285
2000-03-01,65.44359255202629
2000-04-01,65.05134210052242
2000-05-01,66.29441624365482
2000-06-01,66.42468239564428
2000-07-01,63.45148169668797
2000-08-01,66.52650822669104
2000-09-01,66.8141592920354
2000-10-01,66.19440459110474
2000-11-01,69.15162454873645
2000-12-01,68.92262666910554
2001-01-01,69.00625434329395
2001-02-01,67.7299964751498
2001-03-01,66.99232379623167
2001-04-01,65.90867412433523
2001-05-01,64.38452109963228
2001-06-01,65.67834681042228
2001-07-01,67.17570062090955
2001-08-01,65.68047337278107
2001-09-01,66.85038093694277
2001-10-01,63.862404187698644
2001-11-01,62.45353159851301
2001-12-01,62.43320270751692
2002-01-01,62.78454208575967
2002-02-01,61.75795342735323
2002-03-01,60.486048604860486
2002-04-01,63.561691716183155
2002-05-01,64.39317953861585
2002-06-01,65.34189517528635
2002-07-01,63.78939828080229
2002-08-01,62.99559471365639
2002-09-01,62.37692174814303
2002-10-01,63.844109831709474
2002-11-01,64.8861803190536
2002-12-01,63.53744005901881
2003-01-01,64.19874958868049
2003-02-01,64.82376095902666
2003-03-01,64.45472335883295
2003-04-01,63.56331877729258
2003-05-01,62.93883460007238
2003-06-01,64.10865874363327
2003-07-01,62.11257570359815
2003-08-01,63.48497854077253
2003-09-01,64.68663911845731
2003-10-01,64.80218281036835
2003-11-01,64.7019647019647
2003-12-01,61.46458583433373
2004-01-01,64.68165436759911
2004-02-01,64.14241821796493
2004-03-01,65.80209628708474
2004-04-01,63.00189557125625
2004-05-01,64.06196213425129
2004-06-01,64.11162133521724
2004-07-01,64.46977205153618
2004-08-01,65.0376598353477
2004-09-01,62.79150713539854
2004-10-01,64.87065414401054
2004-11-01,64.27860696517413
2004-12-01,64.17499138821908
2005-01-01,65.45300592718036
2005-02-01,64.67550352900672
2005-03-01,64.48888122737459
2005-04-01,66.19625861503118
2005-05-01,66.5822357311719
2005-06-01,65.49799406942263
2005-07-01,67.63236763236763
