date,PTECON,PTNONECON,TOTAL
1994-01-01,3.70576,13.4983,17.204
1994-04-01,3.67485,13.3115,16.9864
1994-07-01,3.35496,13.5011,16.8561
1994-10-01,3.38233,13.5131,16.8954
1995-01-01,3.38112,13.5461,16.9272
1995-04-01,3.38816,13.4369,16.825
1995-07-01,3.40529,13.5292,16.9345
1995-10-01,3.36441,13.2251,16.5895
1996-01-01,3.22763,13.2232,16.4508
1996-04-01,3.26948,13.2614,16.5309
1996-07-01,3.25951,13.41,16.6695
1996-10-01,3.15079,13.2671,16.4178
1997-01-01,3.0838,13.3747,16.4585
1997-04-01,3.04308,13.3864,16.4295
1997-07-01,2.95117,13.156,16.1071
1997-10-01,2.86872,13.3222,16.1909
1998-01-01,2.83078,13.4607,16.2914
1998-04-01,2.73511,13.4843,16.2194
1998-07-01,2.6078,13.4701,16.0779
1998-10-01,2.45416,13.4628,15.9169
1999-01-01,2.50159,13.3967,15.8983
1999-04-01,2.455,13.5285,15.9835
1999-07-01,2.36924,13.5776,15.9469
1999-10-01,2.30034,13.3303,15.6306
2000-01-01,2.24883,13.3347,15.5835
2000-04-01,2.26267,13.0358,15.2985
2000-07-01,2.24004,13.0346,15.2746
2000-10-01,2.306,13.3123,15.6183
2001-01-01,2.29658,13.2269,15.5235
2001-04-01,2.4452,12.9982,15.4434
2001-07-01,2.59138,13.0826,15.6739
2001-10-01,3.03886,13.0199,16.0587
2002-01-01,2.88711,12.9284,15.8155
2002-04-01,2.84255,13.1236,15.9661
2002-07-01,2.93424,13.0694,16.0036
2002-10-01,2.97735,12.8901,15.8674
2003-01-01,3.2194,12.9675,16.1869
2003-04-01,3.17258,13.0122,16.1848
2003-07-01,3.17409,13.0579,16.232
2003-10-01,3.27508,12.8676,16.1426
2004-01-01,3.1773,12.9749,16.1522
2004-04-01,3.08113,13.2091,16.2902
2004-07-01,3.02935,13.2597,16.289
2004-10-01,3.10676,13.2152,16.322
2005-01-01,2.92886,13.054,15.9829
2005-04-01,2.91108,12.9415,15.8526
2005-07-01,3.02017,13.0634,16.0835
2005-10-01,2.80007,13.1292,15.9293
2006-01-01,2.71643,12.9752,15.6916
2006-04-01,2.71967,12.982,15.7017
2006-07-01,2.77363,12.8548,15.6284
2006-10-01,2.78434,12.9943,15.7787
2007-01-01,2.77713,13.0568,15.834
2007-04-01,2.86547,13.0159,15.8813
2007-07-01,2.94134,12.8994,15.8407
2007-10-01,2.91501,12.6937,15.6087
2008-01-01,3.17403,12.6425,15.8165
2008-04-01,3.47018,12.7008,16.171
2008-07-01,3.86668,12.5261,16.3927
2008-10-01,4.74631,12.2718,17.0181
2009-01-01,5.61418,12.2059,17.8201
2009-04-01,5.82898,12.2303,18.0593
2009-07-01,5.78574,12.1317,17.9174
2009-10-01,5.90123,12.0303,17.9315
2010-01-01,5.78966,11.9572,17.7469
2010-04-01,5.75309,11.6326,17.3857
2010-07-01,5.74885,11.9273,17.6762
2010-10-01,5.77471,11.9227,17.6974
2011-01-01,5.56241,11.8511,17.4135
2011-04-01,5.57268,11.9765,17.5492
2011-07-01,5.68818,11.8767,17.5649
2011-10-01,5.46979,12.0249,17.4947
2012-01-01,5.24332,12.0998,17.3431
2012-04-01,5.18537,12.2568,17.4422
2012-07-01,5.31892,12.1462,17.4652
2012-10-01,5.21139,12.098,17.3094
2013-01-01,5.16008,12.0397,17.1998
2013-04-01,5.14355,12.2086,17.3522
2013-07-01,5.07165,12.32,17.3917
2013-10-01,5.04848,12.11,17.1585
2014-01-01,4.71867,12.3515,17.0702
2014-04-01,4.75303,12.3957,17.1487
2014-07-01,4.61344,12.5873,17.2008
2014-10-01,4.42819,12.668,17.0962
2015-01-01,4.27494,12.6519,16.9268
2015-04-01,4.16148,12.8787,17.0402
2015-07-01,3.97376,12.596,16.5697
2015-10-01,3.82036,12.8043,16.6246
2016-01-01,3.76639,12.9569,16.7233
2016-04-01,3.83537,12.9929,16.8283
2016-07-01,3.7338,12.8094,16.5432
2016-10-01,3.60097,13.206,16.807
2017-01-01,3.49999,12.9604,16.4604
2017-04-01,3.31083,12.975,16.2858
2017-07-01,3.26833,13.0822,16.3505
2017-10-01,3.02064,13.1395,16.1602
2018-01-01,3.12462,13.1268,16.2515
2018-04-01,3.03012,13.1368,16.1669
2018-07-01,2.80434,13.2442,16.0485
2018-10-01,2.83333,13.0507,15.884
2019-01-01,2.87236,12.922,15.7943
2019-04-01,2.75257,13.1886,15.9412
2019-07-01,2.57694,13.176,15.7529
2019-10-01,2.57798,13.1332,15.7112
2020-01-01,2.93595,13.1005,16.0365
2020-04-01,6.45911,9.28699,15.7461
2020-07-01,4.62647,11.521,16.1475
2020-10-01,4.02877,11.6655,15.6943
2021-01-01,3.70943,11.5957,15.3051
2021-04-01,3.1298,12.173,15.3028
2021-07-01,2.75692,12.5552,15.3121
2021-10-01,2.60333,12.6175,15.2209
2022-01-01,2.43912,12.5066,14.9457
2022-04-01,2.43213,12.6651,15.0972
2022-07-01,2.4134,12.9024,15.3158
2022-10-01,2.28398,13.0153,15.2993
2023-01-01,2.44361,13.0497,15.4933
2023-04-01,2.36298,12.961,15.324
2023-07-01,2.44369,13.1907,15.6344
2023-10-01,2.48903,13.1113,15.6003
2024-01-01,2.60439,13.4008,16.0052
2024-04-01,2.60089,13.3373,15.9382
2024-07-01,2.77143,13.2846,16.056
2024-10-01,2.65043,13.3085,15.9589
2025-01-01,2.77403,13.164,15.938
2025-04-01,2.691,13.2546,15.9456
2025-08-01,2.7808,13.6423,16.4231
