name,Latest,Prev
0--15,19.6764,23.4259
16--24,11.5599,13.4366
25--34,13.5056,17.6314
35--44,13.0754,14.624
45--54,12.2339,10.0779
55--64,12.9274,8.88555
65--74,10.2725,7.30547
0--17,22.4383,26.3463
25--54,38.815,42.3333
65+,17.0214,11.9188
