date,AHE
2019-09-01,3.0746705710102518
2019-10-01,3.142126415783708
2019-11-01,3.279883381924198
2019-12-01,2.9753265602322276
2020-01-01,3.0445813700616053
2020-02-01,3.069700252798846
2020-03-01,3.49297803384947
2020-04-01,8.096437567470316
2020-05-01,6.599713055954082
2020-06-01,5.078683834048636
2020-07-01,4.851944345344261
2020-08-01,4.832977967306329
2020-09-01,4.794034090909105
2020-10-01,4.675876726886297
2020-11-01,4.587155963302747
2020-12-01,5.391120507399583
2021-01-01,5.240942666197679
2021-02-01,5.3608969866853595
2021-03-01,4.523312456506612
2021-04-01,0.6324900133155786
2021-05-01,2.3216689098250365
2021-06-01,3.9823008849557473
2021-07-01,4.321197686287848
2021-08-01,4.37288135593219
2021-09-01,4.91358861402913
2021-10-01,5.414551607444995
2021-11-01,5.4318488529014886
2021-12-01,5.015045135406226
2022-01-01,5.681818181818188
2022-02-01,5.287662121715986
2022-03-01,5.925432756324911
2022-04-01,5.72279192854781
2022-05-01,5.557382439986847
2022-06-01,5.400981996726695
2022-07-01,5.512067840834978
2022-08-01,5.358882754140959
2022-09-01,5.135658914728669
2022-10-01,4.975922953451062
2022-11-01,5.088000000000004
2022-12-01,4.9347341610952
2023-01-01,4.522454142947496
2023-02-01,4.737839545167399
2023-03-01,4.588309239472044
2023-04-01,4.568210262828543
2023-05-01,4.423676012461075
2023-06-01,4.627329192546559
2023-07-01,4.605873261205562
2023-08-01,4.469790382244154
2023-09-01,4.423963133640574
2023-10-01,4.189602446483165
2023-11-01,4.110840438489638
2023-12-01,4.095873786407767
2024-01-01,4.296520423600603
2024-02-01,4.161640530759958
2024-03-01,4.176682692307687
2024-04-01,3.979652902453612
2024-05-01,4.0871121718377035
2024-06-01,3.8883941822499324
2024-07-01,3.634751773049638
2024-08-01,3.9539687223369535
2024-09-01,3.94233598117093
2024-10-01,4.1385383034928
2024-11-01,4.153261187481716
2024-12-01,3.9930049548236646
2025-01-01,3.9454598201334568
2025-02-01,3.93746381007527
2025-03-01,3.8938563599653975
2025-04-01,3.827338129496405
2025-05-01,3.840642017770124
2025-06-01,3.742857142857159
2025-07-01,3.877958368976331
2025-08-01,3.8319613965370536
2025-09-01,3.7928106425134445
