date,Owner,Renter,Vacant
2017-10-01,77185,43000,16727
2018-01-01,76977,43001,17161
2018-04-01,77911,43329,17073
2018-07-01,78093,43261,17231
2018-10-01,79361,43109,16389
2019-01-01,78564,43750,16818
2019-04-01,78515,43938,17044
2019-07-01,79492,43243,17050
2019-10-01,80676,43275,16122
2020-01-01,81258,43133,15975
2020-04-01,86029,40752,13877
2020-07-01,85440,41262,14246
2020-10-01,82808,42997,15437
2021-01-01,82578,43366,15590
2021-04-01,82511,43644,15639
2021-07-01,82948,43967,15185
2021-10-01,83478,43952,14975
2022-01-01,83422,44152,15137
2022-04-01,84214,43776,15286
2022-07-01,84732,43575,15306
2022-10-01,85224,44172,14554
2023-01-01,85240,43994,15053
2023-04-01,85781,44320,15049
2023-07-01,,,
2023-10-01,,,
