date,RESPPLLOP_N.WW
2003-10-01,0.0
2004-10-01,0.0
2005-10-01,0.0
2006-10-01,0.0
2007-10-01,0.0
2008-10-01,0.0
2009-10-01,0.0
2010-10-01,0.0
2011-10-01,1001.25
2012-10-01,1663.4
2013-10-01,1752.0
2014-10-01,1597.6
2015-10-01,1773.25
2016-10-01,1427.5
2017-10-01,1378.5
2018-10-01,900.6
2019-10-01,1092.4
2020-10-01,1747.0
2021-10-01,1703.5
2022-10-01,-4629.0
2023-10-01,-110143.25
