date,NSDQ
1989-01-01,389.3333333333333
1989-02-01,404.09473936842113
1989-03-01,404.00454709090906
1989-04-01,417.1400039
1989-05-01,435.99091127272715
1989-06-01,447.6318179090909
1989-07-01,446.6949982
1989-08-01,461.8347792173914
1989-09-01,469.27999729999993
1989-10-01,469.68636527272724
1989-11-01,454.6904790476191
1989-12-01,449.01499789999997
1990-01-01,439.34545618181824
1990-02-01,424.52631263157883
1990-03-01,436.1000005454545
1990-04-01,429.00100244999993
1990-05-01,442.5954534545455
1990-06-01,462.314283142857
1990-07-01,455.8285725714285
1990-08-01,396.3260856521738
1990-09-01,368.56842200000006
1990-10-01,338.01738973913046
1990-11-01,347.719045047619
1990-12-01,370.2099991
1991-01-01,376.66818099999995
1991-02-01,442.5894743157895
1991-03-01,469.10049745000003
1991-04-01,496.3190904090909
1991-05-01,490.9336395454546
1991-06-01,490.37500145
1991-07-01,489.36863704545453
1991-08-01,513.2509059090909
1991-09-01,520.5594955
1991-10-01,528.923915652174
1991-11-01,536.5840026
1991-12-01,544.100960857143
1992-01-01,615.7340919999999
1992-02-01,632.0484137368421
1992-03-01,619.5990933181819
1992-04-01,582.7904779047619
1992-05-01,581.4729981
1992-06-01,566.659091
1992-07-01,568.7168135000001
1992-08-01,568.9971372380953
1992-09-01,580.6809576190476
1992-10-01,585.011821409091
1992-11-01,630.8635009
1992-12-01,661.2804537727271
1993-01-01,691.13450925
1993-02-01,681.7094758947368
1993-03-01,684.4908659130434
1993-04-01,665.3295259047618
1993-05-01,686.451004
1993-06-01,695.3827264545455
1993-07-01,703.3952374761905
1993-08-01,725.1486400454546
1993-09-01,745.943336095238
1993-10-01,771.3071463809522
1993-11-01,764.0385741904763
1993-12-01,762.9440862727274
1994-01-01,787.7690546190477
1994-02-01,787.8094770000001
1994-03-01,785.9252161304348
1994-04-01,732.295259263158
1994-05-01,727.7642851428573
1994-06-01,723.2095393636363
1994-07-01,713.4900025
1994-08-01,738.8678190869565
1994-09-01,763.9380928095239
1994-10-01,762.4576241428573
1994-11-01,760.4190499523809
1994-12-01,734.963338190476
1995-01-01,758.0123814285715
1995-02-01,784.2436782105262
1995-03-01,807.1621731304348
1995-04-01,825.3384205789473
1995-05-01,859.7704550909092
1995-06-01,906.0354558636365
1995-07-01,979.3640075500001
1995-08-01,1009.5860833478259
1995-09-01,1051.00001225
1995-10-01,1022.1481794545454
1995-11-01,1046.6366547142857
1995-12-01,1047.0350067499999
1996-01-01,1024.945448409091
1996-02-01,1094.01650395
1996-03-01,1092.6471354285713
1996-04-01,1135.6280924285716
1996-05-01,1220.540471909091
1996-06-01,1205.07550665
1996-07-01,1105.6127041363636
1996-08-01,1134.2459162272728
1996-09-01,1186.44200445
1996-10-01,1234.0421726521743
1996-11-01,1259.8309874
1996-12-01,1292.1509544761905
1997-01-01,1345.4145508181819
1997-02-01,1349.1699924736843
1997-03-01,1282.8555055
1997-04-01,1225.0036399545454
1997-05-01,1352.5590413333332
1997-06-01,1422.4528575714285
1997-07-01,1531.141362909091
1997-08-01,1596.7418909047622
1997-09-01,1660.149036238095
1997-10-01,1682.17305326087
