name,Apr 2023,Apr 2019,pop
White,46.086957614398635,48.62312216192649,59.672665
Black,18.794473301858506,21.010342624047716,12.211943
Hispanic,25.648152298947053,21.898845117328957,18.938221
Asian,5.301203403764055,4.988069603546163,6.7980165
Native American,1.452588508155138,1.35160295008343,0.700039
More than one,2.716624872876614,2.128017543067244,1.6791105
