date,rpcepop
2006-04-01,1.7517529958025913
2006-05-01,2.0592457523392005
2006-06-01,1.2226915991370824
2006-07-01,1.0678319294469052
2006-08-01,1.1796496920187582
2006-09-01,2.2070675234841852
2006-10-01,2.3727910856677914
2006-11-01,2.104981909539805
2006-12-01,2.2963911583570473
2007-01-01,1.9689373454502501
2007-02-01,1.7308441418239617
2007-03-01,1.632084611580198
2007-04-01,1.5489047134530365
2007-05-01,1.528518688052416
2007-06-01,1.4788854154697662
2007-07-01,1.2150778864915335
2007-08-01,1.9801112921413955
2007-09-01,1.4395911197027322
2007-10-01,1.0831243944620983
2007-11-01,1.2584387980114187
2007-12-01,0.6117083093671427
2008-01-01,0.3972618101866221
2008-02-01,0.0745093562123822
2008-03-01,0.2132650426306837
2008-04-01,0.2821315177141015
2008-05-01,0.3218804977297207
2008-06-01,0.1366231556197084
2008-07-01,-0.6441381754501152
2008-08-01,-1.0665153490260093
2008-09-01,-1.8011223383313069
2008-10-01,-2.024846076494602
2008-11-01,-2.519582562504352
2008-12-01,-2.734265725637286
2009-01-01,-2.2719718547188905
2009-02-01,-2.3289114001731615
2009-03-01,-2.9709249828210993
2009-04-01,-3.2691400479944455
2009-05-01,-3.3550284671524433
2009-06-01,-3.1452702302171565
2009-07-01,-2.3452689732709975
2009-08-01,-1.4525555634383847
2009-09-01,-1.7077238395140526
2009-10-01,-1.4450581147032349
2009-11-01,-1.2989997166443112
2009-12-01,-0.40487239831928923
2010-01-01,-1.03787106872536
2010-02-01,-0.25756208263865155
2010-03-01,0.6390374899811757
2010-04-01,1.0037604372622022
2010-05-01,1.1757469717785796
2010-06-01,1.4079094798477243
2010-07-01,1.3583885185987743
2010-08-01,0.7094515287208836
2010-09-01,1.7556361488031635
2010-10-01,1.9126951545155313
2010-11-01,2.3446781820151585
2010-12-01,1.8658547893189992
2011-01-01,2.183660249165853
2011-02-01,1.7904543162433173
2011-03-01,1.6667929256856118
2011-04-01,1.3449684356401148
2011-05-01,0.9785427443625538
2011-06-01,0.9648644673461382
2011-07-01,0.8633581644544197
2011-08-01,0.5597094787091361
2011-09-01,0.631839654699351
2011-10-01,0.5610428013769209
2011-11-01,0.14006098061778438
2011-12-01,0.05521844611870996
2012-01-01,0.3297223689621598
2012-02-01,0.9632437151139595
2012-03-01,0.48379670770821726
2012-04-01,0.6980192328019719
2012-05-01,0.8216064195868622
2012-06-01,0.4855570045606994
2012-07-01,0.5237866873854191
2012-08-01,0.6045051592299178
2012-09-01,0.5819855810258012
2012-10-01,0.3931348465581186
2012-11-01,0.9988642889063426
2012-12-01,0.9986551319266512
2013-01-01,1.0028478291095544
2013-02-01,0.3599695465402508
2013-03-01,0.5109395845490194
2013-04-01,0.4127637807331608
2013-05-01,0.6590777372439405
2013-06-01,0.7573517157687171
2013-07-01,0.6720061076992412
2013-08-01,0.7632174289879501
2013-09-01,0.907294326890673
2013-10-01,1.1956109944705418
2013-11-01,1.1779310035960666
2013-12-01,1.169169271390147
2014-01-01,0.4551498562370915
2014-02-01,1.0534415537434727
2014-03-01,1.5254837339490068
2014-04-01,1.6965786134870653
2014-05-01,1.6190492383654664
2014-06-01,2.0225834795931874
2014-07-01,2.0926929232468305
2014-08-01,2.6733519301465503
2014-09-01,2.404277466991034
2014-10-01,2.7445737092529177
2014-11-01,2.5881200203088595
2014-12-01,2.7863433472399723
2015-01-01,3.327025218401003
2015-02-01,2.9829814768285834
2015-03-01,2.7038257050786996
2015-04-01,2.777333979523422
2015-05-01,2.882352972001234
2015-06-01,2.589664461509522
2015-07-01,2.7820296000538036
2015-08-01,2.3504554455707094
2015-09-01,2.4545714322881773
2015-10-01,1.8933856307382202
2015-11-01,1.8498721513994232
2015-12-01,1.9876654425035722
2016-01-01,1.8800488255178216
2016-02-01,2.322445512104121
2016-03-01,1.7110866260941382
2016-04-01,1.7780518186023775
2016-05-01,1.654102450590078
2016-06-01,1.9760310088184463
2016-07-01,1.698294477475959
2016-08-01,1.523636705089837
2016-09-01,1.6791128752164042
2016-10-01,1.5664556640151872
2016-11-01,1.509235468383463
2016-12-01,1.8194742572944733
2017-01-01,1.7533568815728318
2017-02-01,1.158625479648001
2017-03-01,2.0384090665316767
2017-04-01,1.7602484837396792
2017-05-01,1.643953701429579
2017-06-01,1.4840362284973985
2017-07-01,1.5241629476116847
2017-08-01,1.5608689195588887
2017-09-01,1.8154388704040514
2017-10-01,1.940663358791972
2017-11-01,2.3729165011087128
2017-12-01,2.395080675252581
2018-01-01,2.170392211255212
2018-02-01,2.181555691502979
2018-03-01,2.053041370431763
2018-04-01,2.4145872842717964
2018-05-01,2.6666879911186436
2018-06-01,2.5811566989749846
2018-07-01,2.7313072199905086
2018-08-01,2.946540032689726
2018-09-01,2.3267934681014735
2018-10-01,2.7058207003700874
2018-11-01,2.544360495493936
2018-12-01,0.9045197733644317
2019-01-01,1.5549444578522031
2019-02-01,1.4886603270934273
2019-03-01,1.7789824156049683
2019-04-01,1.6178352204588187
2019-05-01,1.5832698710515292
2019-06-01,1.711363346577932
2019-07-01,1.7205143755525398
2019-08-01,1.6917450397008427
2019-09-01,1.9112179921117578
2019-10-01,1.5371933446846509
2019-11-01,1.4504673785839417
2019-12-01,2.335640905478531
2020-01-01,2.2721330122844607
2020-02-01,2.3178209563238905
2020-03-01,-5.117035431739647
2020-04-01,-16.84028393310385
2020-05-01,-10.024521616800719
2020-06-01,-5.033552957336385
2020-07-01,-3.9396435083208448
2020-08-01,-3.555703638298069
2020-09-01,-2.3997532770056784
2020-10-01,-2.056775754819651
2020-11-01,-2.9185008659717293
2020-12-01,-3.733773348740399
2021-01-01,-1.2596493560822708
2021-02-01,-2.5983362516340813
2021-03-01,9.175406269756458
2021-04-01,24.901922446743896
2021-05-01,14.614588893879453
2021-06-01,8.933304337959559
2021-07-01,7.018091048467823
2021-08-01,7.051876360606735
2021-09-01,5.966397348838104
2021-10-01,6.288317978050739
