date,ND_NM_CO,TX,OTH,GM,USA,MCRFPNM2
1989-01-01,0.389,1.959,4.764,0.825,7.937,0.198
1989-02-01,0.377,1.911,4.679,0.821,7.788,0.191
1989-03-01,0.381,1.929,4.459,0.806,7.575,0.193
1989-04-01,0.376,1.924,4.663,0.809,7.772,0.189
1989-05-01,0.377,1.906,4.735,0.798,7.816,0.191
1989-06-01,0.369,1.879,4.593,0.783,7.624,0.186
1989-07-01,0.369,1.871,4.446,0.758,7.444,0.186
1989-08-01,0.367,1.868,4.569,0.74,7.544,0.185
1989-09-01,0.364,1.857,4.572,0.755,7.548,0.184
1989-10-01,0.372,1.854,4.549,0.678,7.453,0.187
1989-11-01,0.374,1.864,4.587,0.711,7.536,0.188
1989-12-01,0.36,1.803,4.482,0.692,7.337,0.181
1990-01-01,0.37,1.873,4.548,0.755,7.546,0.186
1990-02-01,0.371,1.882,4.483,0.761,7.497,0.186
1990-03-01,0.372,1.858,4.463,0.74,7.433,0.186
1990-04-01,0.369,1.846,4.425,0.767,7.407,0.183
1990-05-01,0.37,1.84,4.391,0.727,7.328,0.183
1990-06-01,0.364,1.822,4.193,0.727,7.106,0.18
1990-07-01,0.361,1.826,4.256,0.73,7.173,0.179
1990-08-01,0.364,1.848,4.346,0.729,7.287,0.182
1990-09-01,0.367,1.851,4.29,0.716,7.224,0.182
1990-10-01,0.373,1.897,4.527,0.745,7.542,0.188
1990-11-01,0.375,1.9,4.377,0.735,7.387,0.189
1990-12-01,0.363,1.865,4.37,0.74,7.338,0.185
1991-01-01,0.38,1.917,4.426,0.777,7.5,0.195
1991-02-01,0.386,1.931,4.544,0.776,7.637,0.198
1991-03-01,0.383,1.913,4.463,0.787,7.546,0.196
1991-04-01,0.386,1.905,4.407,0.811,7.509,0.198
1991-05-01,0.383,1.887,4.342,0.797,7.409,0.194
1991-06-01,0.378,1.844,4.305,0.793,7.32,0.19
1991-07-01,0.371,1.841,4.349,0.786,7.347,0.187
1991-08-01,0.373,1.849,4.314,0.78,7.316,0.19
1991-09-01,0.368,1.843,4.342,0.815,7.368,0.189
1991-10-01,0.372,1.844,4.389,0.832,7.437,0.193
1991-11-01,0.371,1.847,4.315,0.795,7.328,0.192
1991-12-01,0.375,1.824,4.257,0.843,7.299,0.193
1992-01-01,0.366,1.817,4.315,0.863,7.361,0.19
1992-02-01,0.374,1.812,4.345,0.858,7.389,0.197
