date,Imports EU,Exports EU,Balance EU
1997-12-01,1.8850490977285181,1.6862927338454803,-0.19875636388303758
1998-01-01,1.890232830687593,1.6973791722420792,-0.19285365844551383
1998-02-01,1.8948150304460927,1.698100309031454,-0.1967147214146388
1998-03-01,1.9128044066151564,1.700584231334211,-0.21222017528094556
1998-04-01,1.9219015377253716,1.6906074402163347,-0.2312940975090369
1998-05-01,1.9229897169761954,1.6908445321206864,-0.23214518485550878
1998-06-01,1.9411847409834155,1.692702468363294,-0.24848227262012149
1998-07-01,1.9482788990549813,1.6924668206621394,-0.2558120783928418
1998-08-01,1.9592538379221873,1.6962777361930699,-0.2629761017291174
1998-09-01,1.9696115522937947,1.698241165237694,-0.2713703870561007
1998-10-01,1.9795661871715493,1.6953184149397176,-0.28424777223183206
1998-11-01,1.9967803749224462,1.6927502947070339,-0.304030080215412
1998-12-01,2.001924921412163,1.6850006177367254,-0.3169243036754379
1999-01-01,2.001117198885427,1.6793588444640524,-0.32175835442137485
1999-02-01,2.011376444119989,1.6717173531765888,-0.3396590909434005
1999-03-01,2.014073295901227,1.6632702653726703,-0.3508030305285563
1999-04-01,2.0147734372350854,1.6639115346289666,-0.35086190260611816
1999-05-01,2.0226990235008016,1.6554130454804115,-0.3672859780203901
1999-06-01,2.031059610369564,1.644211714885601,-0.38684789548396287
1999-07-01,2.0385746290716744,1.6382360520492836,-0.4003385770223908
1999-08-01,2.053361246036152,1.6321504698947793,-0.4212107761413729
1999-09-01,2.0595812714830153,1.6215584702104153,-0.43802280127260007
1999-10-01,2.0623945176901173,1.6184373240496546,-0.4439571936404628
1999-11-01,2.0814359142337024,1.6163987761462635,-0.46503713808743924
1999-12-01,2.088091680352156,1.6160144481393992,-0.4720772322127563
2000-01-01,2.098733643016594,1.6047869791608351,-0.49394666385575886
2000-02-01,2.1131639824256894,1.603647818295835,-0.5095161641298545
2000-03-01,2.139748381772421,1.5982537115844793,-0.5414946701879417
2000-04-01,2.1502243012546387,1.5974877012347208,-0.5527366000199184
2000-05-01,2.171486913090122,1.6014518935009998,-0.5700350195891213
2000-06-01,2.1720897528762277,1.6101781238686836,-0.5619116290075447
2000-07-01,2.170659533167694,1.6084025155934274,-0.5622570175742667
2000-08-01,2.1818540304196494,1.615918932873396,-0.5659350975462534
2000-09-01,2.1946150949432806,1.6278944758918292,-0.5667206190514515
2000-10-01,2.212239619497335,1.6285357587505809,-0.5837038607467538
2000-11-01,2.221728975285065,1.635940558900171,-0.5857884163848935
