date,SS,Medicare,Medicaid
1989-01-01,15.6749,,
1989-02-01,15.6816,,
1989-03-01,15.6894,,
1989-04-01,15.705,,
1989-05-01,15.7171,,
1989-06-01,15.7179,,
1989-07-01,15.6994,13.3518,
1989-08-01,15.7153,,
1989-09-01,15.7305,,
1989-10-01,15.7403,,
1989-11-01,15.7389,,
1989-12-01,15.7466,,
1990-01-01,15.7381,,
1990-02-01,15.7513,,
1990-03-01,15.7633,,
1990-04-01,15.778,,
1990-05-01,15.7911,,
1990-06-01,15.7888,,
1990-07-01,15.7751,13.4723,9.10962
1990-08-01,15.7913,,
1990-09-01,15.8097,,
1990-10-01,15.816,,
1990-11-01,15.8148,,
1990-12-01,15.8186,,
1991-01-01,15.7994,,
1991-02-01,15.7992,,
1991-03-01,15.8182,,
1991-04-01,15.8384,,
1991-05-01,15.8509,,
1991-06-01,15.8565,,
1991-07-01,15.8481,13.5734,
1991-08-01,15.8688,,
1991-09-01,15.888,,
1991-10-01,15.898,,
1991-11-01,15.8892,,
1991-12-01,15.9109,,
1992-01-01,15.8817,,
1992-02-01,15.9028,,
1992-03-01,15.9259,,
1992-04-01,15.951,,
1992-05-01,15.9696,,
1992-06-01,15.9808,,
1992-07-01,15.9772,13.6749,
1992-08-01,16.0012,,
1992-09-01,16.0216,,
1992-10-01,16.0321,,
1992-11-01,16.0417,,
1992-12-01,16.0527,,
1993-01-01,16.0218,,
1993-02-01,16.0431,,
1993-03-01,16.0576,,
1993-04-01,16.0725,,
1993-05-01,16.0804,,
1993-06-01,16.0856,,
1993-07-01,16.0787,13.7876,
1993-08-01,16.0994,,
1993-09-01,16.1197,,
1993-10-01,16.126,,
1993-11-01,16.1412,,
1993-12-01,16.1359,,
1994-01-01,16.104,,
1994-02-01,16.1059,,
1994-03-01,16.1156,,
1994-04-01,16.1334,,
1994-05-01,16.1433,,
1994-06-01,16.1479,,
1994-07-01,16.137,13.8642,
1994-08-01,16.1557,,
1994-09-01,16.1695,,
1994-10-01,16.1768,,
1994-11-01,16.1793,,
1994-12-01,16.1865,,
1995-01-01,16.1549,,
1995-02-01,16.1696,,
1995-03-01,16.1734,,
1995-04-01,16.1811,,
1995-05-01,16.1825,,
1995-06-01,16.1807,,
1995-07-01,16.1679,13.9239,12.111
1995-08-01,16.1808,,
1995-09-01,16.1925,,
1995-10-01,16.1982,,
1995-11-01,16.1872,,
1995-12-01,16.1861,,
1996-01-01,16.1197,,
1996-02-01,16.1313,,
1996-03-01,16.1365,,
1996-04-01,16.141,,
1996-05-01,16.1422,,
1996-06-01,16.1387,,
1996-07-01,16.1459,13.958,
1996-08-01,16.1501,,
1996-09-01,16.1404,,
1996-10-01,16.1422,,
1996-11-01,16.1291,,
1996-12-01,16.1244,,
1997-01-01,16.0448,,
1997-02-01,16.0419,,
1997-03-01,16.0491,,
1997-04-01,16.0643,,
1997-05-01,16.0728,,
1997-06-01,16.0549,,
1997-07-01,16.0347,13.9348,
1997-08-01,16.031,,
1997-09-01,16.0295,,
1997-10-01,16.0345,,
1997-11-01,16.0227,,
1997-12-01,16.0185,,
1998-01-01,15.9388,,
1998-02-01,15.9587,,
1998-03-01,15.9678,,
1998-04-01,15.9814,,
1998-05-01,15.9882,,
1998-06-01,15.9708,,
1998-07-01,15.9501,13.9114,
1998-08-01,15.952,,
1998-09-01,15.9546,,
1998-10-01,15.9516,,
1998-11-01,15.9378,,
1998-12-01,15.9353,,
1999-01-01,15.8941,,
1999-02-01,15.8884,,
1999-03-01,15.8976,,
1999-04-01,15.9043,,
1999-05-01,15.9051,,
1999-06-01,15.8935,,
1999-07-01,15.8652,13.8584,
1999-08-01,15.8677,,
1999-09-01,15.8796,,
1999-10-01,15.8794,,
1999-11-01,15.8736,,
1999-12-01,15.879,,
2000-01-01,15.815,,
2000-02-01,15.8276,,
2000-03-01,15.8459,,
2000-04-01,15.8669,,
2000-05-01,16.0043,,
2000-06-01,16.0025,,
2000-07-01,15.9866,13.8757,12.0706
2000-08-01,15.9895,,
2000-09-01,16.0058,,
2000-10-01,16.009,,
2000-11-01,16.0069,,
2000-12-01,16.0053,,
2001-01-01,16.0092,,
2001-02-01,16.0209,,
2001-03-01,16.0286,,
2001-04-01,16.037,,
2001-05-01,16.0384,,
2001-06-01,16.0198,,
2001-07-01,15.9883,13.8814,12.8976
2001-08-01,15.9863,,
2001-09-01,15.9969,,
2001-10-01,16.0006,,
2001-11-01,16.0076,,
2001-12-01,16.0112,,
2002-01-01,16.0163,,
2002-02-01,16.0314,,
2002-03-01,16.0427,,
2002-04-01,16.0536,,
2002-05-01,16.0622,,
2002-06-01,16.0442,,
2002-07-01,16.0178,13.9096,14.0253
2002-08-01,16.0246,,
2002-09-01,16.0376,,
2002-10-01,16.0478,,
2002-11-01,16.0556,,
2002-12-01,16.0588,,
2003-01-01,16.0548,,
2003-02-01,16.0707,,
2003-03-01,16.0836,,
2003-04-01,16.1024,,
2003-05-01,16.114,,
2003-06-01,16.095,,
2003-07-01,16.0727,13.9846,14.7906
2003-08-01,16.0796,,
2003-09-01,16.0935,,
2003-10-01,16.1024,,
2003-11-01,16.1114,,
2003-12-01,16.1164,,
2004-01-01,16.116,,
2004-02-01,16.1296,,
2004-03-01,16.1446,,
2004-04-01,16.1629,,
2004-05-01,16.1771,,
2004-06-01,16.1611,,
2004-07-01,16.1344,14.098,15.1696
2004-08-01,16.1372,,
2004-09-01,16.1534,,
2004-10-01,16.162,,
2004-11-01,16.1781,,
2004-12-01,16.1894,,
2005-01-01,16.2233,,
2005-02-01,16.2452,,
2005-03-01,16.2625,,
2005-04-01,16.2808,,
2005-05-01,16.2621,,
2005-06-01,16.2378,,
2005-07-01,16.2494,14.1791,15.4689
2005-08-01,16.2543,,
2005-09-01,16.2701,,
2005-10-01,16.2801,,
2005-11-01,16.2901,,
2005-12-01,16.2908,,
2006-01-01,16.3148,,
2006-02-01,16.3388,,
2006-03-01,16.3553,,
2006-04-01,16.3683,,
2006-05-01,16.3796,,
2006-06-01,16.3611,,
2006-07-01,16.327,14.4334,15.2554
2006-08-01,16.3274,,
2006-09-01,16.3441,,
2006-10-01,16.3541,,
2006-11-01,16.3663,,
2006-12-01,16.3646,,
2007-01-01,16.3941,,
2007-02-01,16.4178,,
2007-03-01,16.4347,,
2007-04-01,16.4549,,
2007-05-01,16.4679,,
2007-06-01,16.4488,,
2007-07-01,16.4194,14.5978,15.1098
2007-08-01,16.4312,,
2007-09-01,16.4251,,
2007-10-01,16.4377,,
2007-11-01,16.45,,
2007-12-01,16.4537,,
2008-01-01,16.4915,,
2008-02-01,16.5196,,
2008-03-01,16.5404,,
2008-04-01,16.5597,,
2008-05-01,16.5759,,
2008-06-01,16.563,,
2008-07-01,16.5377,14.8316,15.4934
2008-08-01,16.5618,,
2008-09-01,16.5716,,
2008-10-01,16.6,,
2008-11-01,16.6296,,
2008-12-01,16.6429,,
2009-01-01,16.6981,,
2009-02-01,16.7522,,
2009-03-01,16.7991,,
2009-04-01,16.8441,,
2009-05-01,16.8806,,
2009-06-01,16.8872,,
2009-07-01,16.8811,15.0574,16.5624
2009-08-01,16.9206,,
2009-09-01,16.9485,,
2009-10-01,16.9672,,
2009-11-01,17.0051,,
2009-12-01,17.0255,,
2010-01-01,17.0774,,
2010-02-01,17.1196,,
2010-03-01,17.163,,
2010-04-01,17.2012,,
2010-05-01,17.238,,
2010-06-01,17.2422,,
2010-07-01,17.2274,15.2901,17.4242
2010-08-01,17.2653,,
2010-09-01,17.2868,,
2010-10-01,17.3213,,
2010-11-01,17.3522,,
2010-12-01,17.3725,,
2011-01-01,17.4143,,
2011-02-01,17.4579,,
2011-03-01,17.495,,
2011-04-01,17.5342,,
2011-05-01,17.5645,,
2011-06-01,17.5607,,
2011-07-01,17.5486,15.5813,17.9914
2011-08-01,17.5686,,
2011-09-01,17.6028,,
2011-10-01,17.6293,,
2011-11-01,17.6572,,
2011-12-01,17.6755,,
2012-01-01,17.7143,,
2012-02-01,17.766,,
2012-03-01,17.7994,,
2012-04-01,17.835,,
2012-05-01,17.8638,,
2012-06-01,17.8573,,
2012-07-01,17.8493,16.1182,18.4564
2012-08-01,17.8687,,
2012-09-01,17.9047,,
2012-10-01,17.9334,,
2012-11-01,17.9475,,
2012-12-01,17.9684,,
2013-01-01,18.0057,16.3676,
2013-02-01,18.0472,16.3859,
2013-03-01,18.0814,16.4202,
2013-04-01,18.1125,16.4443,
2013-05-01,18.1406,16.4705,
2013-06-01,18.1329,16.5024,
2013-07-01,18.1212,16.5427,18.6344
2013-08-01,18.1332,16.5806,
2013-09-01,18.1638,16.6172,
2013-10-01,18.1852,16.6551,
2013-11-01,18.2084,16.6859,
2013-12-01,18.2165,16.7192,
2014-01-01,18.2373,16.746,
2014-02-01,18.2654,16.7634,
2014-03-01,18.2986,16.7951,
2014-04-01,18.3286,16.8172,
