date,FL144104005.Q,FL154104005.Q,FL214104005.Q,FL314104005.Q
1989-01-01,1.6,1.55,0.06,0.86
1989-04-01,1.36,1.39,0.01,0.68
1989-07-01,1.3,1.53,0.08,0.78
1989-10-01,1.04,1.59,0.08,0.86
1990-01-01,0.78,1.69,0.14,0.96
1990-04-01,0.54,1.64,0.2,1.29
1990-07-01,0.17,1.18,0.07,1.32
1990-10-01,-0.48,0.8,-0.05,1.36
1991-01-01,-0.84,0.69,-0.03,1.47
1991-04-01,-1.03,0.71,0.07,1.6
1991-07-01,-1.33,0.69,0.28,1.99
1991-10-01,-1.56,1.02,0.54,2.12
1992-01-01,-1.34,0.93,0.43,2.35
1992-04-01,-1.43,0.7,0.34,2.45
1992-07-01,-1.18,0.91,0.21,2.25
1992-10-01,-0.88,0.81,-0.13,2.14
1993-01-01,-0.72,0.7,-0.0,1.91
1993-04-01,-0.37,0.87,0.13,1.85
1993-07-01,-0.02,1.06,0.15,1.63
1993-10-01,0.33,1.23,0.24,1.68
1994-01-01,0.75,1.5,0.09,1.66
1994-04-01,0.87,1.65,-0.19,1.25
1994-07-01,0.9,1.54,-0.42,1.06
1994-10-01,1.06,1.74,-0.53,0.85
1995-01-01,1.02,1.65,-0.62,0.89
1995-04-01,1.18,1.65,-0.59,1.01
1995-07-01,1.21,1.89,-0.65,0.96
1995-10-01,1.27,1.66,-0.59,0.69
1996-01-01,1.1,1.9,-0.52,0.79
1996-04-01,1.05,1.89,-0.44,0.42
1996-07-01,1.15,1.74,-0.39,0.53
1996-10-01,0.89,1.66,-0.31,0.63
1997-01-01,1.16,1.43,-0.21,0.39
1997-04-01,1.4,1.52,-0.11,0.19
1997-07-01,1.82,1.69,0.09,0.06
1997-10-01,2.38,1.76,0.24,0.05
1998-01-01,2.93,2.04,0.35,0.02
1998-04-01,3.46,2.32,0.42,-0.03
1998-07-01,3.49,2.23,0.38,-0.29
1998-10-01,3.64,2.53,0.36,-0.28
1999-01-01,3.59,2.6,0.34,-0.43
1999-04-01,2.95,2.5,0.23,-0.68
1999-07-01,3.18,2.63,0.2,-0.67
1999-10-01,2.81,2.57,0.09,-0.65
2000-01-01,2.5,2.4,-0.04,-0.99
2000-04-01,2.87,2.33,-0.07,-1.39
2000-07-01,2.19,2.36,-0.11,-1.58
2000-10-01,2.06,2.11,-0.06,-2.03
2001-01-01,1.41,1.84,0.06,-1.62
2001-04-01,1.13,2.11,0.21,-1.41
2001-07-01,1.17,2.66,0.31,-0.64
2001-10-01,1.11,2.81,0.47,0.01
2002-01-01,1.22,3.36,0.47,0.16
2002-04-01,0.63,3.11,0.51,0.99
2002-07-01,0.32,2.67,0.56,0.96
2002-10-01,0.18,2.99,0.56,0.97
2003-01-01,-0.18,2.97,0.54,1.08
2003-04-01,-0.01,4.12,0.6,1.37
2003-07-01,-0.0,4.14,0.52,1.39
2003-10-01,-0.17,4.07,0.42,1.49
2004-01-01,0.38,4.02,3.73,1.6
2004-04-01,0.43,3.31,3.61,1.35
2004-07-01,0.76,3.36,3.67,1.27
2004-10-01,1.15,3.54,3.61,1.1
2005-01-01,1.12,3.48,0.53,1.19
2005-04-01,1.42,3.44,0.46,0.8
2005-07-01,1.27,3.39,0.36,0.61
2005-10-01,1.38,3.05,0.33,0.62
2006-01-01,1.58,3.56,0.15,0.57
2006-04-01,1.66,3.45,0.08,0.43
2006-07-01,1.81,3.4,0.09,0.38
2006-10-01,2.26,3.6,0.23,0.37
2007-01-01,2.19,2.71,0.37,0.26
2007-04-01,2.45,2.46,0.4,0.1
2007-07-01,2.95,2.17,0.4,0.33
2007-10-01,2.61,1.38,0.26,0.23
2008-01-01,2.5,1.22,0.15,0.38
2008-04-01,2.05,0.07,0.01,0.59
2008-07-01,1.29,-0.46,-0.09,1.71
2008-10-01,1.37,-0.75,0.04,3.59
2009-01-01,1.02,-0.79,0.18,4.61
2009-04-01,0.31,-0.49,0.3,5.85
2009-07-01,-0.52,-0.74,0.39,5.39
2009-10-01,-1.89,-0.91,0.3,3.94
2010-01-01,-2.08,-1.31,0.21,3.67
2010-04-01,-1.97,-1.27,0.13,3.7
2010-07-01,-1.16,-1.22,0.14,3.83
2010-10-01,-0.75,-1.15,0.15,4.11
2011-01-01,-0.71,-1.11,-0.02,3.35
2011-04-01,-0.55,-1.38,-0.16,2.45
2011-07-01,-0.5,-1.32,-0.2,2.28
2011-10-01,-0.0,-1.21,-0.28,2.21
2012-01-01,0.23,-1.22,-0.2,2.58
2012-04-01,0.55,-0.91,-0.02,3.04
2012-07-01,0.82,-0.78,-0.0,2.68
2012-10-01,0.99,-0.88,-0.11,2.44
2013-01-01,1.0,-0.7,-0.08,2.42
2013-04-01,1.2,-0.5,-0.15,1.72
2013-07-01,1.16,-0.41,-0.21,1.42
2013-10-01,1.04,0.13,-0.07,1.7
