date,Manufacturing,Mining,Electric and gas utilities,Durable manufacturing,Nondurable manufacturing,Consumer goods,Durable consumer goods,Automotive products,Nondurable consumer goods,Foods and tobacco,Chemical products,Consumer energy products,"Equipment, total",Transit equipment,Information processing and related equipment,Industrial equipment,Oil and gas well drilling and manufactured homes,Materials,Durable goods materials,Consumer parts,Equipment parts,Basic metals,Nondurable goods materials,Textile materials,Chemical materials,Energy materials,Nonindustrial supplies,Construction supplies,Business supplies,Motor vehicles and parts,Clothing,Paper products,Paper materials,Commercial energy products,Total index,"Food, beverage, and tobacco",Chemical
1988-11-01,61.8894,86.4555,68.6157,41.3186,90.5939,79.8023,60.8663,50.3411,87.8024,84.1464,72.2103,68.4315,49.8926,57.0319,12.1773,84.0854,124.169,52.9309,34.1351,62.8821,8.9991,104.682,99.2282,201.414,88.0787,72.5691,74.884,84.8808,70.804,52.8605,671.312,153.935,127.363,59.0862,61.7128,80.8366,81.7858
1988-12-01,62.1929,86.4036,69.0255,41.4357,91.2616,80.2205,61.5597,51.6752,88.049,84.3751,72.785,68.2771,50.0857,57.1767,12.1451,84.5727,122.673,53.1989,34.1864,62.6384,8.9988,105.074,99.9672,202.667,88.3957,73.1858,75.1013,84.881,71.0891,53.706,670.234,155.333,128.681,59.5505,61.9983,81.2141,82.6735
1989-01-01,62.6793,86.1913,66.7151,41.9783,91.5099,80.2553,62.9663,53.4859,87.3005,84.2243,72.7263,65.272,50.4044,57.3224,12.2528,85.5794,116.456,53.3422,34.6615,63.8818,9.0542,108.339,100.24,207.259,88.0788,72.0426,75.4375,86.4625,71.0184,54.672,674.492,154.489,128.839,59.306,62.1789,81.0517,82.622
1989-02-01,62.0775,84.6121,70.0663,41.38,91.0737,80.2784,62.3543,52.8854,87.6853,83.6075,73.2026,68.3152,50.1995,57.6504,12.2115,84.9171,110.612,52.9719,33.8785,61.6724,8.9982,102.787,99.6277,203.642,88.1546,73.3794,75.0825,84.2997,71.2529,53.9142,663.933,154.927,127.101,60.2367,61.9074,80.4945,82.9041
1989-03-01,62.0159,85.2706,71.9268,41.1769,91.3809,80.4196,61.4204,51.5381,88.4368,83.6054,73.2945,71.461,49.9278,57.8291,12.1085,84.9239,110.559,53.1778,33.8283,60.3791,8.9922,104.789,100.564,206.307,88.9491,73.8726,75.6303,84.5103,71.9037,52.3635,661.747,156.29,129.416,62.7403,62.0592,80.4173,83.3661
1989-04-01,62.1043,86.9972,69.9656,41.3957,91.1273,80.2298,61.8547,51.879,87.8949,84.0999,72.35,68.9439,50.6551,59.3867,12.1865,85.2209,108.902,53.0635,33.8626,60.1636,9.0477,104.62,100.122,207.245,88.3489,73.5239,75.1923,84.4951,71.3337,52.1284,664.048,155.048,127.466,61.2669,62.0424,80.922,82.4261
1989-05-01,61.6284,87.2832,70.299,40.9362,90.7192,79.5265,60.599,50.1965,87.5345,83.6031,73.0841,68.0617,50.1735,59.6417,12.1212,81.1513,107.937,52.9093,33.5139,58.2961,8.9962,103.365,99.8268,208.872,87.6367,74.1809,74.854,83.7996,71.115,50.255,652.54,157.038,128.439,60.658,61.6948,80.4563,81.9118
1989-06-01,61.7136,86.1498,70.1298,40.9397,91.1056,79.5348,59.8794,48.3079,87.9616,84.2539,74.2182,67.971,50.6842,59.8471,12.1193,84.6547,111.071,52.6769,33.4134,56.7599,9.0328,102.88,99.8939,208.93,87.8984,73.302,75.079,84.0118,71.3417,48.0732,650.367,156.049,127.607,61.3648,61.6915,81.0004,82.5984
1989-07-01,60.982,85.6869,70.4976,40.4514,89.9769,77.7789,57.8646,45.1123,86.4182,81.7106,73.4171,67.3544,50.286,56.5722,12.2917,82.1601,117.219,52.4642,33.2019,55.6749,9.034,103.374,99.1082,209.462,87.8237,73.5654,74.5489,83.9624,70.6618,44.9389,649.725,154.52,126.034,60.5171,61.0978,78.6432,82.3206
1989-08-01,61.5541,86.5184,71.4063,40.9495,90.6128,79.1395,60.056,48.9859,87.2528,83.3015,74.0329,67.4056,50.8703,58.2254,12.4795,83.6971,116.532,52.8139,33.3614,56.0553,9.0901,103.414,99.2258,207.677,87.5679,74.6839,74.8568,83.9195,71.0798,48.7428,647.755,154.138,127.725,61.1011,61.6949,80.0326,82.3258
1989-09-01,61.4015,86.5007,70.4654,40.8382,90.473,78.8531,60.013,48.904,86.8368,81.8859,74.0364,68.3671,50.6195,58.4105,12.4081,83.5457,113.881,52.578,33.2936,55.747,9.1081,101.875,98.7532,205.554,87.3223,74.0941,75.0007,83.7011,71.3392,48.5927,651.874,153.148,126.847,61.1973,61.4839,78.9048,82.9781
