date,p10uwe
2001-01-01,2.1352313167259718
2001-04-01,3.2258064516129004
2001-07-01,3.9568345323740983
2001-10-01,3.5087719298245723
2002-01-01,2.7874564459930307
2002-04-01,2.777777777777768
2002-07-01,1.384083044982698
2002-10-01,1.016949152542379
2003-01-01,1.6949152542372836
2003-04-01,1.6891891891891886
2003-07-01,2.3890784982935065
2003-10-01,1.6778523489932917
2004-01-01,2.333333333333343
2004-04-01,0.9966777408637828
2004-07-01,1.0000000000000009
2004-10-01,1.650165016501659
2005-01-01,1.6286644951140072
2005-04-01,0.9868421052631637
2005-07-01,0.990099009900991
2005-10-01,2.5974025974025983
2006-01-01,1.9230769230769162
2006-04-01,2.931596091205213
2006-07-01,3.594771241830075
2006-10-01,2.215189873417711
2007-01-01,2.8301886792452935
2007-04-01,3.797468354430378
2007-07-01,3.785488958990535
2007-10-01,4.024767801857587
2008-01-01,5.198776758409784
2008-04-01,5.487804878048785
2008-07-01,4.863221884498481
2008-10-01,3.8690476190476275
2009-01-01,1.4534883720930258
2009-04-01,1.4450867052023142
2009-07-01,0.28985507246377384
2009-10-01,1.7191977077363862
2010-01-01,2.005730659025784
2010-04-01,0.5698005698005604
2010-07-01,1.4450867052023142
2010-10-01,-0.28169014084507005
2011-01-01,0.561797752808979
2011-04-01,2.2662889518413554
2011-07-01,1.7094017094017033
2011-10-01,0.8474576271186418
2012-01-01,0.5586592178770999
2012-04-01,-0.27700831024930483
2012-07-01,-0.5602240896358524
2012-10-01,1.4005602240896309
2013-01-01,2.2222222222222143
2013-04-01,3.8888888888888973
2013-07-01,4.225352112676051
2013-10-01,3.8674033149171283
2014-01-01,2.717391304347827
2014-04-01,0.8021390374331583
2014-07-01,2.972972972972965
2014-10-01,0.5319148936170137
2015-01-01,0.7936507936507908
2015-04-01,1.8567639257294433
2015-07-01,0.7874015748031482
2015-10-01,3.703703703703698
2016-01-01,3.149606299212593
2016-04-01,2.864583333333326
2016-07-01,2.864583333333326
2016-10-01,3.0612244897959107
2017-01-01,3.562340966921118
2017-04-01,3.797468354430378
2017-07-01,4.556962025316458
2017-10-01,3.2178217821782207
2018-01-01,3.9312039312039415
2018-04-01,3.9024390243902474
2018-07-01,4.358353510895885
2018-10-01,6.474820143884896
2019-01-01,4.491725768321508
2019-04-01,6.572769953051649
2019-07-01,6.960556844547572
2019-10-01,5.180180180180183
2020-01-01,5.882352941176472
2020-04-01,9.251101321585908
2020-07-01,6.290672451193058
2020-10-01,4.4967880085653
2021-01-01,3.8461538461538547
2021-04-01,1.2096774193548487
2021-07-01,4.081632653061229
2021-10-01,6.557377049180335
2022-01-01,9.259259259259256
2022-04-01,8.964143426294813
2022-07-01,9.80392156862746
2022-10-01,9.807692307692317
