date,ASSETS,NW,LIAB,DPI
1989-01-01,4.252872043769362,4.1397301262867225,4.985413604602829,4.144743358608527
1989-04-01,3.7707735789239027,3.6494449204517387,4.551424176074215,2.7806870139798656
1989-07-01,5.228252346677498,5.251463549285185,5.080423895660924,2.4741147061931867
1989-10-01,4.854869913904736,4.773678036898654,5.372704513699467,2.3770200988788126
1990-01-01,3.1105955120914297,2.716880635162,5.639328520619058,2.002944485687852
1990-04-01,2.745938763714917,2.331366526679557,5.390359434070691,3.015633515751448
1990-07-01,-0.8707722132521578,-1.6146256389960367,3.8744229460922597,2.299868817390105
1990-10-01,-1.2533688872575888,-1.8714536680627059,2.666310963952623,0.5718598358854132
1991-01-01,1.1716068312447314,0.9887646617638968,2.313454541211324,0.05195614151773942
1991-04-01,0.6456861458389973,0.371007740445517,2.346914975091008,0.08436593635170464
1991-07-01,2.9242367862137186,3.031639370446637,2.2752985550453353,0.5260312517037846
1991-10-01,3.858376832534516,3.9613852600521415,3.2340058486199474,2.2321907681315034
1992-01-01,1.814695871739147,1.6308492227558036,2.9479514070656077,4.029763156595845
1992-04-01,1.7913071918374435,1.7252810199921864,2.192347349492918,4.299578392541914
1992-07-01,2.015466835331936,1.8821198655551763,2.8271221463624263,4.356997161778731
1992-10-01,1.974185329538214,1.8912831120958318,2.4802259500548374,3.9714138678572874
1993-01-01,2.930736082070484,3.0529106132863193,2.187246325749115,2.3025131120201436
1993-04-01,3.503618172094547,3.633082845158686,2.720825036662866,1.6142649395718633
1993-07-01,3.86581663906731,3.95965273738621,3.2999048817775156,1.2337397067551326
1993-10-01,3.3954901584082986,3.3256867054596517,3.819126389698946,1.4740355997141519
1994-01-01,3.0826505602081555,2.8303519241696495,4.630987186778057,1.7635664415176944
1994-04-01,2.913044523961661,2.563710792799645,5.043967064705401,2.4698225864642875
1994-07-01,2.4498538726338337,2.084829945781519,4.6653194498814,2.9775906654182283
1994-10-01,1.8437278192075413,1.2846441685481436,5.220672233951618,3.7358484318574803
1995-01-01,2.9471703579411423,2.608667411569021,4.988775132095502,3.935516774885106
1995-04-01,4.122674347485034,3.978590454461939,4.980818467815373,3.1921957835665093
1995-07-01,5.2617307963372495,5.189036136386793,5.692084950345477,3.53389972426299
1995-10-01,6.693372362560224,6.98358041617646,5.006045911026136,2.6640670085608997
1996-01-01,6.683769750825297,6.8463197292219835,5.725599320828656,2.757512172304999
1996-04-01,6.019890640007852,6.082772835305716,5.648968375898966,3.4055767140596327
1996-07-01,4.866253866265913,4.817995354237992,5.1505505956986,3.2966820610290437
1996-10-01,4.444712811623819,4.3720834501637995,4.8749467871483265,3.243941690293317
