date,44X72,454
2006-11-01,3.99172,9.229
2006-12-01,4.10394,7.8184
2007-01-01,3.29866,7.14651
2007-02-01,3.02663,7.99966
2007-03-01,2.53739,7.89639
2007-04-01,2.76843,8.28966
2007-05-01,3.22424,6.83734
2007-06-01,3.10413,7.31166
2007-07-01,3.27174,7.7424
2007-08-01,2.92776,7.87621
2007-09-01,3.26224,8.11614
2007-10-01,3.84204,7.63133
2007-11-01,4.67421,9.28398
2007-12-01,4.35119,9.4988
2008-01-01,3.85168,9.13707
2008-02-01,2.75046,6.06039
2008-03-01,2.2892,5.21283
2008-04-01,1.80519,5.32658
2008-05-01,1.54693,7.52207
2008-06-01,1.79128,8.07116
2008-07-01,1.69923,7.89385
2008-08-01,1.32386,6.91741
2008-09-01,0.0233803,5.8393
2008-10-01,-2.44994,3.3801
2008-11-01,-6.00927,-0.97764
2008-12-01,-9.21915,-4.3656
2009-01-01,-10.6379,-5.52746
2009-02-01,-10.412,-4.26601
2009-03-01,-10.4984,-4.33746
2009-04-01,-10.7833,-5.92242
2009-05-01,-11.2366,-7.6905
2009-06-01,-10.6297,-7.68285
2009-07-01,-10.01,-6.90747
2009-08-01,-8.60009,-5.53156
2009-09-01,-7.92701,-4.66655
2009-10-01,-5.92561,-2.23328
2009-11-01,-3.13843,1.26787
2009-12-01,0.830103,5.39899
2010-01-01,2.79028,8.01609
2010-02-01,3.42103,8.66246
2010-03-01,4.50769,9.54836
2010-04-01,6.23118,10.2764
2010-05-01,7.10561,11.1171
2010-06-01,5.97687,10.7088
2010-07-01,4.74497,9.5411
2010-08-01,3.72139,9.36521
2010-09-01,4.42391,9.08591
2010-10-01,5.15474,9.42104
2010-11-01,6.41355,8.95551
2010-12-01,6.57119,9.03329
2011-01-01,6.96996,10.1981
2011-02-01,7.44543,10.8435
2011-03-01,7.50059,10.6751
2011-04-01,7.1447,10.2629
2011-05-01,6.88646,10.5395
2011-06-01,7.37794,10.5362
2011-07-01,7.87192,10.5585
2011-08-01,7.96135,10.1684
2011-09-01,7.79384,9.99493
2011-10-01,7.59491,10.4181
2011-11-01,7.23919,11.4177
2011-12-01,6.66799,11.6573
2012-01-01,6.33429,9.53254
2012-02-01,6.39209,8.246
2012-03-01,6.39481,7.71881
2012-04-01,6.00108,8.41432
2012-05-01,5.42154,8.37167
2012-06-01,4.4722,8.5338
2012-07-01,4.02374,9.0545
2012-08-01,3.93657,8.86626
2012-09-01,4.40615,9.5791
2012-10-01,4.46248,8.69366
2012-11-01,4.23625,8.34645
2012-12-01,4.16655,7.69333
2013-01-01,4.2168,8.64971
2013-02-01,4.26835,8.818
2013-03-01,3.81738,8.52255
2013-04-01,3.43436,7.20902
2013-05-01,3.28327,5.83641
2013-06-01,3.95014,4.81112
2013-07-01,4.71257,4.27477
2013-08-01,4.74554,4.24143
2013-09-01,4.05751,3.533
2013-10-01,3.43576,2.9542
2013-11-01,3.23763,2.81024
2013-12-01,3.39547,4.13417
2014-01-01,2.80271,3.9897
2014-02-01,2.34455,4.42029
2014-03-01,2.42927,4.44468
2014-04-01,3.62564,6.32419
2014-05-01,4.63444,7.40425
2014-06-01,4.99091,8.41786
2014-07-01,4.66566,8.61856
2014-08-01,4.78868,9.07257
2014-09-01,4.85388,9.17257
2014-10-01,5.06715,10.0765
2014-11-01,4.96278,10.0686
2014-12-01,4.52541,8.84801
2015-01-01,4.28687,8.39844
2015-02-01,3.48283,8.50597
2015-03-01,3.2408,8.99167
2015-04-01,2.55782,8.47021
2015-05-01,2.61927,7.76416
2015-06-01,2.50562,7.19828
2015-07-01,2.85566,7.12933
2015-08-01,2.76575,6.82927
2015-09-01,2.62796,7.29635
2015-10-01,2.10326,6.9905
2015-11-01,1.854,6.72273
2015-12-01,1.99951,6.29498
2016-01-01,2.32586,6.77447
2016-02-01,3.01477,6.92469
2016-03-01,2.7539,7.15655
2016-04-01,2.59228,6.86673
2016-05-01,1.92153,8.10505
2016-06-01,2.16552,9.34134
2016-07-01,2.03393,9.80174
2016-08-01,2.05356,9.63823
2016-09-01,2.12386,9.18894
2016-10-01,2.70896,9.56875
2016-11-01,3.08463,9.88215
2016-12-01,3.41879,10.9512
2017-01-01,4.17535,11.4301
2017-02-01,4.71121,11.7426
2017-03-01,4.99946,11.8054
2017-04-01,4.70306,12.2595
2017-05-01,4.46966,12.3165
2017-06-01,3.97306,11.7246
2017-07-01,3.5141,11.406
