date,POP_CONTR,INFL_CONTR,REAL_PC,SPENDING,label
2024-03-01,0.9084681781196702,3.6543317741749126,0.8209056143130056,5.383705566607588,
2024-04-01,0.9158458622163357,4.095001948725341,1.5731180996377603,6.583965910579437,Apr\\2024
2024-05-01,0.9475029986727446,3.6969430840391393,2.2268558321634213,6.871301914875305,
2024-06-01,0.986285137336318,2.6911965570515672,2.902727864786736,6.580209559174621,
2024-07-01,0.9954103140997095,1.8693730049568202,3.1131503621119716,5.977933681168501,Jul
2024-08-01,0.9502142225081833,1.6238237484385687,2.889065782849176,5.463103753795928,
2024-09-01,0.8605225281141937,1.765246476403215,3.0958814864368245,5.721650490954233,
2024-10-01,0.7572071232379463,2.166160185000665,2.7191330596431085,5.64250036788172,Oct
2024-11-01,0.6866803935564825,2.40218060485593,3.0121564931659073,6.10101749157832,
2024-12-01,0.6406386073345649,2.620025875857146,3.2516490327931358,6.512313515984847,
2025-01-01,0.595851726888319,2.7862252259017284,2.8203572621485318,6.202434214938579,Jan\\2025
2025-02-01,0.5428526635697262,3.3416315425491616,1.5555810066040454,5.440065212722933,
2025-03-01,0.5014834618766173,3.450830968562779,0.11171297867238472,4.064027409111781,
2025-04-01,0.49192235660535655,3.2520711288972493,0.6269570862596385,4.370950571762244,Apr
2025-05-01,0.5067627018586984,2.363537944477301,1.6810661780953806,4.55136682443138,
2025-06-01,0.5307233870128769,2.182871138978504,1.9373618122166647,4.650956338208045,
2025-07-01,0.5585871312667745,2.2503577984986256,1.4909728489765017,4.299917778741902,Jul
2025-08-01,0.5908989598376824,2.739731647392185,1.5971801557990384,4.927810763028906,
2025-09-01,0.6236843496243871,2.835633107935287,2.1092320919697816,5.568549549529456,
