date,Manufacturing,Mining,Electric and gas utilities,Durable manufacturing,Nondurable manufacturing,Consumer goods,Durable consumer goods,Automotive products,Nondurable consumer goods,Foods and tobacco,Chemical products,Consumer energy products,"Equipment, total",Transit equipment,Information processing and related equipment,Industrial equipment,Oil and gas well drilling and manufactured homes,Materials,Durable goods materials,Consumer parts,Equipment parts,Basic metals,Nondurable goods materials,Textile materials,Chemical materials,Energy materials,Nonindustrial supplies,Construction supplies,Business supplies,Motor vehicles and parts,Clothing,Paper products,Paper materials,Commercial energy products,Total index,"Food, beverage, and tobacco",Chemical,ENS
1973-01-01,10.469931109575569,0.4517871914571092,9.000896209826559,14.197817358092092,5.48344223285131,6.736246629559628,12.969540739232354,17.638342315137635,3.8826194182027374,4.010074053013168,7.339995768320451,6.191068987995996,13.379414017344482,16.560944093541874,13.348187158193237,14.365181420475025,9.698243110203709,10.63924205711797,16.316285207479698,19.33558867452987,16.01960784313725,18.81108054002345,6.227569420587509,0.7679763767381331,10.370252532352708,3.925151787884995,9.187975892259237,10.07359948346882,8.654875986471255,21.62616242361981,0.4244291031212599,1.145169208127883,6.25148752653748,6.9725013731372965,9.745944276147966,1.0876429839937085,9.733946789357862,
1973-02-01,11.301024911475487,1.6399116493944765,4.937211827977972,14.819456476941074,6.743397769008208,7.427734964795163,14.574411690137602,19.52413742285146,4.160841202191512,4.873609346230645,7.978331960601803,-0.6014473949773835,14.048095627413959,18.582247736807233,13.424630147940842,15.22793430507965,5.56466792148429,11.024273060484703,16.7577164709096,20.144323874457836,16.808840635905398,17.88331670631571,7.325480178292576,2.484843120768243,11.040669308997053,3.210805565056929,9.211159996408425,11.627174196777057,7.919287296480149,22.166403785488953,4.196794113548985,2.3105304850758124,6.410597098477755,4.892424487587244,10.202757862077295,2.774405901302579,10.23410616796836,
1973-03-01,10.741108375336772,-0.10541028748682901,3.7755348620448714,14.362310731018834,6.106266749938749,7.743416057397812,15.508223653678366,18.70370182452865,4.213381610547473,3.1875526190270342,10.528723644985782,-0.7659716289778129,13.717999487525901,17.262431101271613,13.436101442068615,14.977021389311984,8.433886726952021,9.601967227105913,15.625174538752272,18.98467292096808,18.318660260504906,12.477145548229828,5.879521068199511,1.0103123434290984,9.454565308388085,1.145401878345309,8.451968265197852,11.490489888798239,6.867257850710784,19.880918524161984,6.397238563408281,2.6851078515257143,5.284228126815105,2.5503185587888,9.499268853655618,1.059203188828528,9.771860111104536,
1973-04-01,9.348797356019345,-1.4515584173842355,4.380716624219105,12.511670183144762,5.2567805853195315,5.449509933730146,10.504308702835875,13.387000741810805,3.1139459650911805,1.2530745565125123,10.535180376883435,-1.5377503196392972,12.425115365914085,15.140989095995504,14.1248518372185,15.53258293916462,-1.5009919773414926,8.75917616654247,14.254130949371469,15.863075867649389,18.717637986118763,11.693943080877855,5.34515361331005,-0.47624782404012134,10.461915683127687,1.0198684435627214,7.983678171568509,10.05270541842036,6.899760185267723,15.891185829792697,5.214142988480397,4.094060923292209,7.487108077507165,3.660582354323627,8.254920601045711,-0.8371497030259634,10.191964857331403,
1973-05-01,9.872187475339889,-0.11552789992989032,6.856427997099224,13.232056905360356,5.5451039413037195,6.581612949123605,11.238421502793393,14.054149146780514,4.430379746835444,3.3934191974098304,9.840936432784853,1.2058647809521927,13.850795771241664,20.22528774243737,15.708849643867694,15.35516906552543,-4.593116891196014,9.231916952025454,14.298343951366665,18.24510598404676,17.725131242428315,12.56521266574886,5.3051647899892584,-2.6184287247897897,9.916646303385734,2.962403384331558,8.025215638984484,9.981375665208713,7.017105131539458,17.878859710598995,4.80534076604926,6.626491563332659,7.480856835645278,3.8897551181691137,8.97758271601945,1.734958336067205,9.963988177324467,
1973-06-01,9.51307118251965,0.16497160751807183,8.918905804038157,13.729353739267204,4.176402963999659,5.8305020474978875,11.108003892359886,13.725052683773399,3.3956853885870997,1.0026439367033513,6.063980300715399,4.620357880220105,14.82383541121921,23.94869995358997,17.73193879527406,14.73948325093708,-3.499904893888761,9.33602149830104,15.09568037607103,21.286457544072345,19.12242541421627,12.103354895592489,3.8758000079786914,-2.374827593756157,8.260540059048749,3.575260173756911,7.190163271295269,9.33899813749617,6.100674054198718,20.7348167539267,5.312027932809293,5.49422667376549,5.918044797019717,4.1642470898484385,8.83633980415821,-0.17654120471718437,8.02424453002093,
1973-07-01,9.985790408525762,1.9888285006641304,8.759148481101487,14.267432066661767,4.652285469327233,4.789683293518765,8.6091919495344,9.895496647353074,3.006797085522228,1.7451550756048873,5.654659912965521,3.335628124158152,16.22890426186736,29.405827855701048,17.245337159253936,16.16553143717365,-6.617978720581608,10.640883450167937,16.918381863656172,23.882795739083164,20.445786055035974,16.529506222400634,4.683700566999183,-3.3978755094358215,11.628114983316173,4.38032624480742,7.353103840592867,8.706543672953625,6.673901492295364,22.207196303974897,2.4448732290735853,7.138836723636377,8.298197266582786,5.175003573152548,9.345697095887772,0.06518259377217284,9.32805511882766,
1973-08-01,8.256490246790872,0.980229121532572,7.4931808759028495,12.039019364808535,3.5404657919487548,2.7241210166194074,4.513307934433763,2.081052514595272,1.8700730940742982,-0.5626319647634381,6.881771221854049,3.16036450248256,14.652377399443806,18.508334422727945,20.147559591373444,16.101072388103322,-4.115563941643774,9.035759147400402,14.266456370229585,15.779871759571984,20.350005287088923,13.279546835352551,4.002216015984961,-4.616653821521222,10.836774323953623,3.829102638273585,6.201772995612442,8.028627806266808,5.290864204114909,8.434585830452823,1.191724453921461,6.459953686877595,6.5319834390808795,4.490983687303141,7.695742496239166,-1.3787647252893387,9.525992852808308,
1973-09-01,8.20988006924146,-0.08886537468320022,9.038647728424397,12.183573917371815,3.59075874899204,3.775098276258415,6.8846075775863325,8.667484456550634,2.3161768027004204,1.9172693379206907,4.078997516890914,4.662353298160782,15.164554694846188,21.63519621786596,20.496193966732434,15.825028367359506,-6.501340482573714,8.368475452196368,13.384707632858817,14.265156023320857,18.478232652319516,14.299183750437772,3.5337277604597483,-4.231378763866878,10.078194752455282,3.3858451384442434,5.798140542562558,6.898360979778584,5.260969894758372,13.13338100322261,-0.7725503739410722,5.459115576941609,8.209797676883323,7.016304906624238,7.6971184368870516,0.5536683829946654,8.569570373770997,
1973-10-01,7.7852552799655195,0.6765780014378109,7.1585891342957675,11.20463964122611,3.771334611215571,2.731089354278593,3.7459617017826297,3.3987240146920783,2.2429497076162708,1.9234100730877168,8.76531902627713,0.29330764692243605,15.075332673485086,19.026019266157988,21.711861280206612,16.13552727768348,-12.330080970913182,8.269425701618772,12.516391866137466,12.651514289291299,17.871081294798863,14.396696715403156,3.464116115998639,-6.51845467990253,11.082630907222878,4.929194846054474,4.9932225648272155,5.326772487984832,4.855813260535191,9.378893463008842,-0.9656357937131266,5.9765000205060925,7.05181105996191,5.233145755193713,7.2459496507553345,0.853784676321645,10.702153153204463,
