date,ALL,CORE
2011-01-01,1.7007834915029774,0.9835337415527112
2011-02-01,2.124898173333145,1.124445592146106
2011-03-01,2.619241510354109,1.2097851736773357
2011-04-01,3.0772344447868694,1.3155392125784537
2011-05-01,3.4589718808964998,1.4540961794335727
2011-06-01,3.5023181506360412,1.5836776766096738
2011-07-01,3.5798809769996165,1.741483445742964
2011-08-01,3.75499603070808,1.9651571719433658
2011-09-01,3.812621692818685,1.9877227562006272
2011-10-01,3.5222681306640524,2.1079204796465634
2011-11-01,3.451432214581729,2.138204538395394
2011-12-01,3.062066838419386,2.276662633858506
2012-01-01,3.0087663379855023,2.2773481506083826
2012-02-01,2.8981784423473878,2.1598204405657295
2012-03-01,2.5828752813320977,2.2483374654291177
2012-04-01,2.2731633741348567,2.314427851801515
2012-05-01,1.7379429374660749,2.252258280361308
2012-06-01,1.653870448297634,2.192285611289857
2012-07-01,1.4175114798464783,2.109955687378462
2012-08-01,1.6859349154821235,1.9352524993137443
2012-09-01,1.9497168982819613,2.0082434834909124
2012-10-01,2.1556780595369363,1.9946491483669337
2012-11-01,1.7960197033926262,1.9528512686261434
2012-12-01,1.7595049796895523,1.8996943778720743
2013-01-01,1.684061762098299,1.9098022178631435
2013-02-01,2.0181404902574807,1.9887385214485631
2013-03-01,1.5187472411246183,1.8890221377988237
2013-04-01,1.138808047576867,1.715558856294086
2013-05-01,1.3903888279197085,1.6455519491850756
2013-06-01,1.7157935271568725,1.6230952474272975
2013-07-01,1.885471805415806,1.7002217680567089
2013-08-01,1.538809488600279,1.782107690904433
2013-09-01,1.0947341081747997,1.7519368418314363
2013-10-01,0.8767991434911471,1.686837731144819
2013-11-01,1.2328701961954458,1.7416677473738762
2013-12-01,1.5128383667573297,1.7408566188369834
2014-01-01,1.557758795574915,1.6070344358370292
2014-02-01,1.1204746347724948,1.5548073904948723
2014-03-01,1.6126949139408042,1.6456609706435588
2014-04-01,2.015125303606169,1.8210555250137483
2014-05-01,2.166947687079812,1.9455269618362525
2014-06-01,2.0589816945944195,1.9228626526676562
2014-07-01,1.9742378703305974,1.8449632290063356
2014-08-01,1.7150983482969062,1.73639560289498
2014-09-01,1.6840509711232077,1.7409458883681284
2014-10-01,1.6095417021513292,1.817632310436279
2014-11-01,1.231524989320798,1.7415947552462452
2014-12-01,0.6531213919623191,1.6224195046636636
2015-01-01,-0.22993097820542818,1.631625565241701
2015-02-01,-0.08703146293520536,1.6880834938713285
2015-03-01,-0.022031284423873476,1.7453777073428434
2015-04-01,-0.10403098939391064,1.802827832894649
2015-05-01,0.03503321824429584,1.7509440952473199
2015-06-01,0.1795718097550525,1.7772676244655061
2015-07-01,0.22568611104094582,1.8346312894897077
2015-08-01,0.2413037985344868,1.8506323273421277
2015-09-01,0.008842961634170088,1.8970961446650891
2015-10-01,0.12761656067050708,1.9135335359607986
2015-11-01,0.4363182169185187,1.9974275238246353
2015-12-01,0.6387247515364791,2.0715072792840905
2016-01-01,1.3120508462301839,2.195061944614718
2016-02-01,0.922912187369862,2.278367170194695
2016-03-01,0.8534766247415115,2.1636103092355308
2016-04-01,1.1061628468135964,2.1218499581513672
2016-05-01,1.0291095818161011,2.212770183045909
2016-06-01,1.0464661255506824,2.2188346883468935
2016-07-01,0.8725644235697327,2.154474058499778
2016-08-01,1.0763213504010105,2.287319256888942
2016-09-01,1.5031705530151873,2.2164592546318307
2016-10-01,1.643860970079869,2.174198418168105
2016-11-01,1.670468916085821,2.154020004831292
2016-12-01,2.082343193374858,2.2130715159049297
2017-01-01,2.47659012643644,2.221360807915951
2017-02-01,2.7425751745160154,2.175098923645602
2017-03-01,2.4080843732929846,2.004358361386216
2017-04-01,2.1868654091736994,1.891531117756129
2017-05-01,1.873538255930507,1.755209766997523
2017-06-01,1.6802418548870657,1.7293430597934867
2017-07-01,1.7562710579690277,1.7022410014891465
2017-08-01,1.9572310314013297,1.6873950662517068
2017-09-01,2.2304909817976615,1.6802769501706782
2017-10-01,2.0398028480266284,1.7930846194613492
2017-11-01,2.206675399701652,1.74467539338361
2017-12-01,2.1156761923596834,1.768690065170686
2018-01-01,2.092180684974787,1.8309988463948823
2018-02-01,2.232120904158541,1.8259909875810276
2018-03-01,2.3354573467202266,2.0650155045557117
2018-04-01,2.417048406526323,2.1335648212671643
