date,MJH
1994-01-01,
1994-02-01,
1994-03-01,5.80525
1994-04-01,5.86851
1994-05-01,5.90939
1994-06-01,5.88617
1994-07-01,5.83889
1994-08-01,5.87839
1994-09-01,5.99071
1994-10-01,6.00261
1994-11-01,5.9893
1994-12-01,5.9143
1995-01-01,5.95264
1995-02-01,6.03421
1995-03-01,6.0876
1995-04-01,6.15029
1995-05-01,6.18328
1995-06-01,6.26582
1995-07-01,6.28185
1995-08-01,6.29656
1995-09-01,6.25003
1995-10-01,6.19823
1995-11-01,6.09222
1995-12-01,6.03833
1996-01-01,5.98721
1996-02-01,6.06815
1996-03-01,6.14715
1996-04-01,6.16123
1996-05-01,6.11328
1996-06-01,6.06263
1996-07-01,6.07885
1996-08-01,6.11232
1996-09-01,6.13816
1996-10-01,6.22442
1996-11-01,6.33609
1996-12-01,6.36787
1997-01-01,6.30922
1997-02-01,6.17327
1997-03-01,6.10141
1997-04-01,6.10765
1997-05-01,6.13647
1997-06-01,6.25067
1997-07-01,6.27768
1997-08-01,6.25518
1997-09-01,6.14931
1997-10-01,6.08754
1997-11-01,6.08057
1997-12-01,6.06469
1998-01-01,6.07665
1998-02-01,6.04037
1998-03-01,6.04389
1998-04-01,6.05269
1998-05-01,6.07451
1998-06-01,6.04072
1998-07-01,5.94926
1998-08-01,5.92568
1998-09-01,5.95719
1998-10-01,6.03242
1998-11-01,6.08478
1998-12-01,6.07666
1999-01-01,6.08886
1999-02-01,6.04612
1999-03-01,6.02636
1999-04-01,5.93269
1999-05-01,5.8681
1999-06-01,5.78044
1999-07-01,5.75128
1999-08-01,5.73474
1999-09-01,5.73654
1999-10-01,5.77356
1999-11-01,5.81467
1999-12-01,5.84251
2000-01-01,5.82252
2000-02-01,5.7357
2000-03-01,5.6698
2000-04-01,5.65739
2000-05-01,5.64841
2000-06-01,5.59452
2000-07-01,5.53237
2000-08-01,5.49852
2000-09-01,5.52398
2000-10-01,5.48168
2000-11-01,5.4486
2000-12-01,5.44042
2001-01-01,5.41224
2001-02-01,5.43315
2001-03-01,5.43067
2001-04-01,5.45461
2001-05-01,5.45641
2001-06-01,5.44762
2001-07-01,5.46497
2001-08-01,5.45017
2001-09-01,5.41399
2001-10-01,5.31016
2001-11-01,5.24243
2001-12-01,5.20047
2002-01-01,5.24607
2002-02-01,5.2958
2002-03-01,5.3568
2002-04-01,5.41422
2002-05-01,5.39483
2002-06-01,5.39487
2002-07-01,5.3424
2002-08-01,5.33001
2002-09-01,5.2924
2002-10-01,5.26354
2002-11-01,5.27397
2002-12-01,5.3217
2003-01-01,5.36358
2003-02-01,5.41159
2003-03-01,5.36653
2003-04-01,5.34629
2003-05-01,5.32051
2003-06-01,5.33844
2003-07-01,5.34703
2003-08-01,5.38574
2003-09-01,5.31856
2003-10-01,5.31612
2003-11-01,5.2405
2003-12-01,5.21923
2004-01-01,5.20361
2004-02-01,5.16867
2004-03-01,5.22763
2004-04-01,5.23701
2004-05-01,5.27759
2004-06-01,5.30059
2004-07-01,5.33443
2004-08-01,5.41108
2004-09-01,5.44293
2004-10-01,5.50627
2004-11-01,5.47697
2004-12-01,5.48515
2005-01-01,5.37804
2005-02-01,5.3782
2005-03-01,5.34553
2005-04-01,5.36297
2005-05-01,5.30381
2005-06-01,5.3422
2005-07-01,5.35487
2005-08-01,5.37049
2005-09-01,5.32658
2005-10-01,5.31421
2005-11-01,5.30709
2005-12-01,5.28309
2006-01-01,5.28147
2006-02-01,5.24465
2006-03-01,5.23488
2006-04-01,5.17914
2006-05-01,5.24007
2006-06-01,5.19202
2006-07-01,5.20042
2006-08-01,5.16064
2006-09-01,5.23394
2006-10-01,5.26114
2006-11-01,5.29974
2006-12-01,5.32454
2007-01-01,5.33699
2007-02-01,5.31761
2007-03-01,5.2862
2007-04-01,5.31811
2007-05-01,5.31585
2007-06-01,5.28838
2007-07-01,5.2358
2007-08-01,5.20574
2007-09-01,5.18901
2007-10-01,5.1924
2007-11-01,5.21393
2007-12-01,5.21085
2008-01-01,5.19796
2008-02-01,5.16764
2008-03-01,5.15067
2008-04-01,5.14765
2008-05-01,5.15766
2008-06-01,5.23675
2008-07-01,5.28762
2008-08-01,5.41172
2008-09-01,5.39777
2008-10-01,5.37635
2008-11-01,5.24226
2008-12-01,5.20028
2009-01-01,5.19341
2009-02-01,5.25692
2009-03-01,5.34947
2009-04-01,5.42354
2009-05-01,5.33856
2009-06-01,5.21643
2009-07-01,5.13883
2009-08-01,5.13489
2009-09-01,5.14583
2009-10-01,5.10682
2009-11-01,5.1254
2009-12-01,5.08342
2010-01-01,5.04819
2010-02-01,5.02823
2010-03-01,5.04917
2010-04-01,5.058
2010-05-01,5.05597
2010-06-01,5.03807
2010-07-01,4.95064
2010-08-01,4.88897
2010-09-01,4.82733
2010-10-01,4.84551
2010-11-01,4.82543
2010-12-01,4.87151
2011-01-01,4.89058
2011-02-01,4.89444
2011-03-01,4.85129
2011-04-01,4.84904
2011-05-01,4.87957
2011-06-01,4.93297
2011-07-01,4.94014
2011-08-01,4.9507
2011-09-01,4.95288
2011-10-01,4.95895
2011-11-01,4.95
2011-12-01,4.93725
2012-01-01,4.94787
2012-02-01,4.9406
2012-03-01,4.92203
2012-04-01,4.8904
2012-05-01,4.88968
2012-06-01,4.8505
2012-07-01,4.84906
2012-08-01,4.83427
2012-09-01,4.84121
2012-10-01,4.82184
2012-11-01,4.84237
2012-12-01,4.87128
2013-01-01,4.87539
2013-02-01,4.92644
2013-03-01,4.94172
2013-04-01,4.96179
2013-05-01,4.88269
2013-06-01,4.88416
2013-07-01,4.90318
2013-08-01,4.92385
2013-09-01,4.893
2013-10-01,4.84605
2013-11-01,4.77488
2013-12-01,4.73771
2014-01-01,4.70618
2014-02-01,4.75333
2014-03-01,4.77709
2014-04-01,4.84957
2014-05-01,4.88377
2014-06-01,4.90205
2014-07-01,4.86153
2014-08-01,4.84202
2014-09-01,4.84184
2014-10-01,4.965
2014-11-01,4.99471
2014-12-01,5.00586
2015-01-01,4.95297
2015-02-01,4.88951
2015-03-01,4.85686
2015-04-01,4.76409
2015-05-01,4.74665
2015-06-01,4.76099
2015-07-01,4.80398
