date,ECI_EPOP
2017-02-15,3.285464131283209
2017-05-16,3.2990279322357443
2017-08-15,3.5831802771469
2017-11-15,3.781647460520718
2018-02-15,3.92133320611942
2018-05-16,3.833426254571786
2018-08-15,3.9898389079978163
2018-11-15,3.9878978686364484
2019-02-15,3.884960198991247
2019-05-16,3.5045201678764917
2019-08-15,3.6300935028688226
2019-11-15,3.9636231471824575
2020-02-15,3.675678453538941
2020-05-16,-7.388582183186957
2020-08-15,-3.8485114683976818
2020-11-15,-2.34529882757239
2021-02-15,-1.4039484891008582
2021-05-16,11.289886069370278
2021-08-15,8.890665902829618
2021-11-15,8.499345263075819
2022-02-15,8.872496305308356
2022-05-16,9.421488257977616
2022-08-15,8.024081607176413
2022-11-15,6.496183265532272
2023-02-15,6.273916841369671
2023-05-16,5.684899226581267
2023-08-15,5.415941269063462
2023-11-15,5.09265983522534
2024-02-15,4.50734873623498
2024-05-16,4.100204228656434
2024-08-15,3.8825082508250897
2024-11-15,3.5760842627013627
2025-02-15,3.2348302641383335
2025-05-16,3.3349834983498385
