date,ZWC,Overall,Hourly,ZWC_Real,Overall_Real,Hourly_Real
1997-01-01,,,,,,
1997-02-01,,,,,,
1997-03-01,11.6,4.5,4.2,8.83472668810289,1.7347266881028904,1.4347266881028906
1997-04-01,11.8,4.6,4.3,9.365663036515038,2.1656630365150376,1.8656630365150377
1997-05-01,11.5,4.5,4.1,9.26214833759591,2.262148337595911,1.8621483375959107
1997-06-01,11.3,4.6,4.4,9.066432673899174,2.3664326738991726,2.1664326738991733
1997-07-01,11.3,4.8,4.5,9.134394904458599,2.634394904458599,2.334394904458599
1997-08-01,11.6,4.9,4.7,9.309923664122122,2.609923664122123,2.4099236641221227
1997-09-01,11.4,4.8,4.5,9.18059606848446,2.5805960684844598,2.28059606848446
1997-10-01,11.2,4.8,4.5,9.114032869785083,2.7140328697850835,2.4140328697850837
1997-11-01,10.8,4.8,4.7,8.90964083175804,2.909640831758038,2.8096408317580384
1997-12-01,11.3,4.9,4.7,9.602954116907593,3.202954116907593,3.002954116907593
1998-01-01,11.4,4.9,4.7,9.768883312421597,3.268883312421596,3.0688833124215957
1998-02-01,11.6,4.8,4.6,10.159799624295552,3.359799624295552,3.1597996242955517
1998-03-01,11.2,4.6,4.7,9.823279098873606,3.223279098873606,3.3232790988736065
1998-04-01,10.9,4.9,4.7,9.46160100062541,3.46160100062541,3.2616010006254097
1998-05-01,10.7,5.2,4.9,9.011444652908065,3.5114446529080645,3.2114446529080647
1998-06-01,10.9,5.4,5.0,9.277028714107363,3.777028714107362,3.377028714107362
1998-07-01,10.9,5.4,5.2,9.15436408977557,3.6543640897755703,3.45436408977557
1998-08-01,10.9,5.3,5.2,9.283084577114423,3.683084577114421,3.5830845771144215
1998-09-01,11.0,5.1,4.9,9.57320099255582,3.67320099255582,3.473200992555821
1998-10-01,11.0,5.0,4.7,9.513931888544892,3.5139318885448922,3.2139318885448924
1998-11-01,11.4,4.9,4.6,9.91576994434137,3.4157699443413696,3.115769944341369
1998-12-01,11.3,5.0,4.8,9.693077873918423,3.393077873918422,3.193077873918422
1999-01-01,11.4,5.0,4.7,9.73333333333334,3.3333333333333393,3.0333333333333394
1999-02-01,10.8,5.0,4.7,9.13333333333334,3.3333333333333393,3.0333333333333394
1999-03-01,10.2,5.2,4.8,8.471604938271605,3.4716049382716063,3.071604938271606
1999-04-01,10.5,5.2,4.9,8.218865598027115,2.918865598027116,2.6188655980271163
1999-05-01,10.6,5.2,4.9,8.508979089790904,3.108979089790904,2.8089790897909044
1999-06-01,10.6,4.9,4.7,8.634398034398039,2.9343980343980407,2.7343980343980405
1999-07-01,10.5,5.0,4.7,8.355392156862742,2.8553921568627416,2.555392156862742
1999-08-01,10.6,4.8,4.6,8.33561811505509,2.5356181150550894,2.335618115055089
1999-09-01,11.2,5.0,4.6,8.570030581039745,2.370030581039746,1.9700305810397456
