date,ICC,ICE
1989-01-01,110.3,89.9
1989-02-01,105.7,88.8
1989-03-01,104.8,87.6
1989-04-01,104.4,83.2
1989-05-01,107.1,80.1
1989-06-01,104.1,82.0
1989-07-01,102.1,85.5
1989-08-01,103.9,80.3
1989-09-01,107.1,88.6
1989-10-01,104.4,87.2
1989-11-01,101.2,84.3
1989-12-01,98.2,85.5
1990-01-01,108.0,83.4
1990-02-01,102.3,81.3
1990-03-01,106.9,81.3
1990-04-01,109.4,83.9
1990-05-01,108.1,79.3
1990-06-01,106.5,76.6
1990-07-01,105.1,77.3
1990-08-01,97.5,62.9
1990-09-01,94.7,58.8
1990-10-01,84.2,50.9
1990-11-01,86.7,52.8
1990-12-01,84.0,53.7
1991-01-01,84.9,55.2
1991-02-01,83.7,62.0
1991-03-01,92.7,84.5
1991-04-01,92.8,74.7
1991-05-01,89.0,71.5
1991-06-01,91.9,75.9
1991-07-01,96.1,74.4
1991-08-01,92.3,75.3
1991-09-01,93.2,76.4
1991-10-01,90.4,70.5
1991-11-01,80.3,61.9
1991-12-01,78.7,61.5
1992-01-01,80.5,59.1
1992-02-01,79.7,61.8
1992-03-01,84.9,70.3
1992-04-01,87.7,70.5
1992-05-01,91.5,71.2
1992-06-01,95.4,70.7
1992-07-01,90.6,67.6
1992-08-01,86.2,69.5
1992-09-01,88.3,67.4
1992-10-01,82.5,67.5
1992-11-01,96.4,78.2
1992-12-01,93.4,89.5
1993-01-01,98.6,83.4
1993-02-01,96.0,80.6
1993-03-01,101.6,75.8
1993-04-01,99.9,76.4
1993-05-01,98.7,68.5
1993-06-01,98.7,70.4
1993-07-01,96.2,64.7
1993-08-01,95.1,65.8
1993-09-01,95.2,66.8
1993-10-01,98.7,72.5
1993-11-01,98.2,70.3
1993-12-01,102.9,78.8
1994-01-01,106.6,86.4
1994-02-01,108.3,83.5
1994-03-01,101.4,85.1
1994-04-01,108.1,82.6
1994-05-01,106.3,84.2
1994-06-01,104.5,82.7
1994-07-01,105.4,78.5
1994-08-01,108.7,80.8
1994-09-01,104.0,83.5
1994-10-01,104.6,85.1
1994-11-01,102.1,84.8
1994-12-01,104.9,88.8
1995-01-01,112.0,88.4
1995-02-01,109.3,85.9
1995-03-01,106.5,79.8
1995-04-01,105.9,83.8
1995-05-01,105.0,80.1
1995-06-01,106.1,84.1
1995-07-01,105.2,87.4
1995-08-01,111.8,86.1
1995-09-01,104.6,78.8
1995-10-01,104.8,80.8
1995-11-01,101.3,79.7
1995-12-01,102.4,83.7
1996-01-01,105.8,78.7
1996-02-01,105.2,77.8
1996-03-01,105.4,86.2
1996-04-01,107.8,83.0
1996-05-01,105.1,79.2
1996-06-01,105.4,84.0
1996-07-01,107.5,86.5
1996-08-01,107.8,87.3
1996-09-01,102.0,90.1
1996-10-01,106.6,89.9
1996-11-01,107.5,93.9
1996-12-01,104.9,91.8
1997-01-01,106.8,91.3
1997-02-01,107.2,94.9
1997-03-01,109.8,93.6
1997-04-01,115.2,92.5
1997-05-01,113.5,96.6
1997-06-01,113.2,98.9
1997-07-01,114.0,102.6
1997-08-01,110.7,100.3
1997-09-01,114.1,100.7
1997-10-01,109.8,102.8
1997-11-01,114.9,102.3
1997-12-01,111.4,96.1
1998-01-01,113.5,102.2
1998-02-01,120.0,104.2
1998-03-01,113.7,101.9
1998-04-01,115.5,104.3
1998-05-01,113.9,101.7
1998-06-01,115.4,99.3
1998-07-01,113.3,100.0
1998-08-01,113.9,98.3
1998-09-01,111.7,93.9
1998-10-01,112.8,87.5
1998-11-01,115.9,94.3
1998-12-01,113.9,91.9
1999-01-01,116.8,95.7
1999-02-01,115.0,103.6
1999-03-01,116.3,99.0
1999-04-01,115.9,97.4
1999-05-01,121.1,97.6
1999-06-01,118.9,99.8
1999-07-01,116.5,99.2
1999-08-01,114.1,98.4
1999-09-01,115.9,101.5
1999-10-01,112.7,97.1
1999-11-01,116.8,101.0
1999-12-01,112.2,101.1
2000-01-01,117.3,108.6
2000-02-01,116.8,107.8
2000-03-01,115.4,101.7
2000-04-01,117.8,103.7
2000-05-01,119.9,104.8
2000-06-01,115.1,100.8
2000-07-01,114.2,104.5
2000-08-01,112.4,104.0
2000-09-01,112.0,103.4
2000-10-01,113.6,100.7
2000-11-01,116.9,101.6
2000-12-01,110.5,90.7
2001-01-01,107.7,86.4
2001-02-01,105.8,80.8
2001-03-01,103.4,83.9
2001-04-01,98.0,82.2
2001-05-01,102.2,85.4
2001-06-01,101.6,86.9
2001-07-01,98.6,88.4
2001-08-01,101.2,85.2
2001-09-01,94.6,73.5
2001-10-01,94.0,75.5
2001-11-01,95.3,76.6
2001-12-01,99.0,82.3
2002-01-01,95.7,91.3
2002-02-01,96.2,87.2
2002-03-01,100.4,92.7
2002-04-01,99.2,89.1
2002-05-01,103.5,92.7
2002-06-01,99.5,87.9
2002-07-01,99.3,81.0
2002-08-01,98.5,80.6
2002-09-01,95.8,79.9
2002-10-01,92.4,73.1
2002-11-01,93.1,78.5
2002-12-01,96.0,80.8
2003-01-01,97.2,72.8
2003-02-01,95.4,69.9
2003-03-01,90.0,69.6
2003-04-01,96.4,79.3
2003-05-01,93.2,91.4
2003-06-01,94.7,86.4
2003-07-01,102.1,83.7
2003-08-01,99.7,82.5
2003-09-01,98.4,80.8
