date,ZHVI,HPI,Case-Shiller
2019-01-01,74.43002226232446,71.13986977548429,72.4238597586498
2019-02-01,74.79059799083929,71.33439602301893,72.50367133239214
2019-03-01,75.17161140617765,71.56134331180937,72.98147662052968
2019-04-01,75.51143705031353,71.89636073811904,73.66076179260342
2019-05-01,75.76478685394524,72.22057115067679,74.25101272019127
2019-06-01,75.9874209915062,72.48804474103694,74.68873486240484
2019-07-01,76.19239800730406,72.76902709858697,74.95441872344048
2019-08-01,76.41769404565562,73.05271120957502,75.08176252332271
2019-09-01,76.61613791942521,73.47688649933806,75.1456117823166
2019-10-01,76.89254055347955,73.86593899440737,75.17966472044667
2019-11-01,77.26870387051206,74.31713181855024,75.2296799733252
2019-12-01,77.71102312623438,74.93042984897198,75.27685748135957
2020-01-01,78.1980633023648,75.40864020749467,75.33290294203196
2020-02-01,78.6740332960027,75.92737686758706,75.6230623523486
2020-03-01,79.16918948033825,76.04625401885825,76.32327589264811
2020-04-01,79.59316767244921,76.14892064950153,77.04831970033416
2020-05-01,79.83181766342977,75.87604355226541,77.49065317791951
2020-06-01,79.9661688419365,76.69197309053575,77.96065466773557
2020-07-01,80.1816640676407,77.7807797260422,78.58353966103138
2020-08-01,80.69808853195978,79.14246345878475,79.4632405627248
2020-09-01,81.58504868307722,80.42309458838787,80.4394247891201
2020-10-01,82.66847254858656,81.66590116985924,81.50783572295099
2020-11-01,83.89378586209021,82.63312890065654,82.39640457728244
2020-12-01,85.08800441304653,83.74895307054278,83.12286725739055
2021-01-01,86.23656764591746,84.75670710290977,83.85748845392567
2021-02-01,87.41064177334775,85.49158403804068,84.84325006917004
2021-03-01,88.63615242611128,86.73439061951206,86.61577644246118
2021-04-01,89.9764688708016,88.02582876286709,88.605035578226
2021-05-01,91.46336046290499,89.49288087969093,90.60032492178466
2021-06-01,93.06247254855248,91.09502066841381,92.63002192157893
2021-07-01,94.49785413626837,92.48372193553617,94.1673701909093
2021-08-01,95.51790126907457,93.58873909167049,95.32800783217577
2021-09-01,96.14047470474041,94.5397563018399,96.26730137559683
2021-10-01,96.75067148441622,95.76094885580741,97.04945479827181
2021-11-01,97.5778983497949,97.11182557479805,97.88871783593578
2021-12-01,98.59740007048596,98.51403560911032,98.80176223954824
2022-01-01,100.0,100.0,100.0
2022-02-01,101.67988919705925,101.43192932213006,101.85162851082245
2022-03-01,103.65499968371724,102.62880609515577,104.61736557957391
2022-04-01,105.62902369317804,103.88512144381703,106.96630887433756
2022-05-01,107.39301621272558,104.8577526814903,108.65618592904221
2022-06-01,108.86750897964244,105.04147191527302,109.2932596465589
2022-07-01,109.64237997860104,104.57677032394024,108.88107720794287
2022-08-01,109.76032900897057,104.18501607543296,107.6682960051647
2022-09-01,109.3576202131282,104.43627914516523,106.54632263740007
2022-10-01,108.97037439435952,104.55785804987437,105.91527912767722
2022-11-01,108.65242565963374,104.62270013238593,105.27217520236667
2022-12-01,108.36365346263037,104.77399832491288,104.38218747561312
2023-01-01,107.98521038199802,105.13333153216438,103.8465631362756
2023-02-01,107.70863345483477,105.78985761759382,104.12749987584866
2023-03-01,107.6890850397413,106.30589252424825,105.5194137219152
2023-04-01,107.99565143683118,106.85975197903439,106.98120703476948
2023-05-01,108.51247943961646,107.7216113257504,108.35432082124336
2023-06-01,109.12843924253302,108.3295058492962,109.40393169548162
2023-07-01,109.6840807671635,109.25350552508577,110.085699894294
2023-08-01,110.19969232062749,110.08294383054601,110.56953539022541
2023-09-01,110.58923919965832,110.73406640909951,110.87175521612976
2023-10-01,110.88073915499538,111.11771539729283,110.99838957980094
2023-11-01,111.08724402742274,111.5851187420636,110.72844910149904
2023-12-01,111.22428719963074,111.9741712371329,110.30881758266706
2024-01-01,111.36066281954989,111.95525896306704,110.26305894705477
2024-02-01,111.61058183086969,113.38448653175912,110.94766489071135
2024-03-01,112.09662161946228,113.40880231270094,112.4300318536859
2024-04-01,112.68184685393217,113.91673195904141,113.82265513596346
2024-05-01,113.13389783043641,114.05722313781645,114.8641074937747
2024-06-01,113.31096740820854,114.21392483721935,115.41533942975519
2024-07-01,113.35764287108279,114.53002998946317,115.52849450541653
2024-08-01,113.43437572166077,115.12981925269501,115.33056180253551
2024-09-01,113.5764463838528,115.8809067084538,115.20002553970359
2024-10-01,113.76200782016986,116.2969767379029,114.95739835552688
2024-11-01,113.91746040299155,116.85353794612703,114.85665841355876
2024-12-01,114.14446962916121,117.41009915435117,114.71015983597836
2025-01-01,114.342996432213,117.79104638910654,114.81657526763482
2025-02-01,114.48782379008684,117.92073055412962,115.32807877579687
2025-03-01,114.40109329899484,117.94774808850946,116.24112317940933
2025-04-01,114.2347566969965,117.5532920865642,116.94736692750271
2025-05-01,114.01882491879611,117.41280090778916,117.53300651971878
2025-06-01,113.82441983225553,117.2047658930646,117.59437275197399
2025-07-01,113.69005066337776,,
