date,1 year,2 year,3 year,4 year,5 year,6 year,7 year,8 year,9 year,10 year,11 year,12 year,13 year,14 year,15 year,16 year,17 year,18 year,19 year,20 year,21 year,22 year,23 year,24 year,25 year,26 year,27 year,28 year,29 year,30 year
1982-01-01,0.063945071,0.064520483,0.064968184,0.065031205,0.064809404,0.064401299,0.063875828,0.063278409,0.062638686,0.061976115,0.061303597,0.06062978,0.059960508,0.059299753,0.058650207,0.058013683,0.057391372,0.056784024,0.056192074,0.055615722,0.055055003,0.054509827,0.053980013,0.053465314,0.052965435,0.052480047,0.052008797,0.051551317,0.051107229,0.05067615
1982-02-01,0.064321077,0.064728648,0.064764185,0.064501521,0.06404901,0.063481562,0.062847014,0.062175607,0.061486585,0.060792322,0.060100852,0.059417431,0.058745499,0.058087289,0.057444222,0.056817159,0.056206575,0.055612669,0.055035448,0.054474781,0.053930441,0.053402128,0.052889496,0.052392166,0.051909734,0.051441786,0.0509879,0.050547651,0.050120618,0.049706381
1982-03-01,0.063877317,0.062955332,0.062025953,0.061132595,0.06027709,0.059456898,0.058669328,0.057912091,0.057183285,0.056481299,0.055804737,0.055152361,0.054523049,0.053915773,0.053329578,0.052763571,0.052216913,0.05168881,0.051178509,0.050685297,0.050208494,0.049747452,0.049301552,0.048870205,0.048452848,0.04804894,0.047657966,0.047279433,0.046912869,0.046557822
1982-04-01,0.061406276,0.062227328,0.061915833,0.061328495,0.060649134,0.059938471,0.059221902,0.05851158,0.057813786,0.057131884,0.056467663,0.055822012,0.055195279,0.054587479,0.053998416,0.053427759,0.052875093,0.052339947,0.051821822,0.051320199,0.050834553,0.050364359,0.049909098,0.049468257,0.049041338,0.048627851,0.048227323,0.047839294,0.047463319,0.047098966
1982-05-01,0.054881669,0.058522017,0.059483896,0.059638286,0.059439188,0.05905877,0.058578927,0.058043748,0.057478828,0.056899798,0.056316546,0.055735483,0.055160834,0.054595399,0.054041033,0.053498941,0.052969878,0.052454285,0.051952374,0.051464192,0.050989671,0.050528656,0.050080929,0.049646228,0.049224262,0.048814715,0.04841726,0.048031558,0.04765727,0.047294054
1982-06-01,0.054452325,0.058388713,0.059178433,0.059152775,0.058816985,0.058340013,0.057793914,0.057214289,0.0566205,0.056023786,0.055430962,0.054846278,0.054272412,0.053711051,0.053163225,0.052629529,0.052110257,0.051605493,0.051115177,0.050639143,0.050177154,0.049728924,0.049294129,0.048872423,0.048463447,0.048066832,0.047682208,0.047309202,0.046947447,0.046596581
1982-07-01,0.063748846,0.06412069,0.063841982,0.063324733,0.0626947,0.062009165,0.061298669,0.060580716,0.05986573,0.059160055,0.058467578,0.057790662,0.0571307,0.056488453,0.055864264,0.055258196,0.054670121,0.054099783,0.053546839,0.053010887,0.052491487,0.051988175,0.051500477,0.05102791,0.050569993,0.050126249,0.049696207,0.049279408,0.048875399,0.048483743
1982-08-01,0.06367801,0.062152739,0.061477238,0.060876831,0.060254417,0.059607169,0.058945918,0.058280893,0.057619606,0.056967159,0.056326883,0.055700891,0.055090461,0.054496313,0.053918781,0.053357942,0.052813692,0.052285808,0.051773982,0.051277849,0.05079701,0.050331041,0.049879506,0.049441963,0.049017968,0.048607084,0.048208876,0.04782292,0.0474488,0.04708611
1982-09-01,0.06339422,0.061069701,0.060656523,0.060382389,0.060024505,0.059575903,0.059061399,0.058504868,0.057924253,0.05733214,0.05673716,0.056145183,0.05556019,0.054984866,0.054421002,0.053869767,0.053331894,0.052807802,0.052297687,0.051801584,0.051319412,0.050851003,0.05039613,0.04995452,0.049525872,0.049109861,0.04870615,0.048314395,0.047934247,0.047565356
1982-10-01,0.051327583,0.053481248,0.05451329,0.054945677,0.055024134,0.054886429,0.054614441,0.054258503,0.053850393,0.053410651,0.052952833,0.052486053,0.052016534,0.051548573,0.051085166,0.050628399,0.050179726,0.049740144,0.049310321,0.048890682,0.048481475,0.048082813,0.047694709,0.047317103,0.046949878,0.046592875,0.046245904,0.045908752,0.045581191,0.045262982
