date,Durable manufacturing,Mining,Nondurable manufacturing,Electric and gas utilities
1989-01-01,2.01797,-0.11911,0.474939,0.165016
1989-04-01,0.719439,-0.0464619,0.242899,0.294527
1989-07-01,0.216342,-0.0589728,-0.0688551,0.135766
1989-10-01,-0.762649,-0.0802508,0.164862,0.734539
1990-01-01,-0.606284,0.184323,0.404286,0.243118
1990-04-01,0.464344,0.00351706,0.487296,0.341304
1990-07-01,0.909076,0.0783641,0.890055,0.413566
1990-10-01,-0.177445,0.166265,0.516691,-0.139959
1991-01-01,-1.79209,-0.0551455,-0.421847,0.217292
1991-04-01,-2.15794,-0.108395,-0.23861,0.340662
1991-07-01,-1.28058,-0.201094,0.0321099,0.201416
1991-10-01,0.288821,-0.244136,0.135959,0.293646
1992-01-01,1.63269,-0.254829,0.852968,0.0944315
1992-04-01,2.6697,-0.133374,1.08084,-0.10801
1992-07-01,2.15466,-0.0857156,0.963603,-0.202984
1992-10-01,2.55116,-0.0274953,0.902793,0.247425
1993-01-01,3.30437,-0.0244666,0.869213,0.427696
1993-04-01,2.25878,-0.0585701,0.493294,0.273611
1993-07-01,1.79616,-0.0404688,0.287963,0.576301
1993-10-01,2.50482,0.0590451,0.369367,0.141974
1994-01-01,2.54875,0.115214,0.493094,0.368975
1994-04-01,3.56413,0.143268,1.19675,0.281783
1994-07-01,4.54704,0.131458,1.37057,0.0925095
1994-10-01,4.75116,0.030087,1.81277,0.0879845
1995-01-01,4.75645,0.0220242,1.64778,-0.00109061
1995-04-01,3.77679,-0.0233778,0.730391,0.325994
1995-07-01,3.48188,0.0045998,0.381518,0.555294
1995-10-01,2.94457,-0.0266818,-0.183858,0.545244
1996-01-01,2.85992,-0.0152888,-0.527647,0.70086
1996-04-01,4.31092,0.146067,-0.0758203,0.461789
1996-07-01,4.88749,0.164216,0.310612,-0.112873
1996-10-01,4.64007,0.15248,0.716826,0.102786
1997-01-01,5.44476,0.208866,1.35319,-0.203217
1997-04-01,4.94095,0.103174,1.18621,-0.238626
1997-07-01,5.31265,0.078286,1.31008,0.183667
1997-10-01,6.59897,0.0634669,1.26666,0.202824
1998-01-01,6.27143,0.0849686,1.03743,0.0427284
1998-04-01,5.17966,-0.014718,0.968152,0.390832
1998-07-01,4.32681,-0.174806,0.347557,0.465131
1998-10-01,4.24583,-0.215015,-0.149388,0.095455
1999-01-01,3.82781,-0.368296,0.0334976,0.464239
1999-04-01,4.47562,-0.35568,0.0178056,0.226136
1999-07-01,4.58474,-0.180764,-0.0899226,0.186973
1999-10-01,3.56049,-0.00858188,0.852647,0.193248
2000-01-01,3.98735,0.159105,0.343241,0.113295
2000-04-01,4.00332,0.217936,0.407236,0.281065
2000-07-01,3.28208,0.184173,0.395714,0.07734
2000-10-01,2.04779,0.0425011,-0.493402,0.541375
2001-01-01,0.173256,0.0672421,-0.735662,0.423619
2001-04-01,-1.35679,0.129042,-1.20831,-0.0232319
2001-07-01,-2.5414,0.000413064,-1.13344,-0.0301807
2001-10-01,-3.12248,-0.0944846,-0.885573,-0.476997
2002-01-01,-2.00229,-0.282907,-0.204776,-0.245993
2002-04-01,-0.418502,-0.29958,0.497858,0.331511
2002-07-01,1.18566,-0.292389,0.805956,0.402631
2002-10-01,2.12607,-0.299516,0.562319,0.679953
2003-01-01,1.69798,-0.0345409,0.553918,0.600375
2003-04-01,0.581751,-0.0716082,0.0144411,-0.035432
2003-07-01,0.795977,0.0407146,-0.222395,0.0833883
2003-10-01,1.57906,0.165278,-0.0309484,0.0383957
2004-01-01,1.89989,0.0187248,-0.233867,0.122969
2004-04-01,2.26897,0.00497591,0.379179,0.323031
2004-07-01,1.95835,-0.0473483,0.803292,-0.0424525
2004-10-01,1.8049,-0.039378,1.21718,0.166565
2005-01-01,2.20776,0.117399,1.58876,-0.00860131
2005-04-01,2.27756,0.197628,1.31581,0.0806991
2005-07-01,2.10554,-0.31469,0.628879,0.553245
2005-10-01,2.80331,-0.537853,0.0836618,0.193249
2006-01-01,2.2532,-0.219005,0.0516387,-0.104583
2006-04-01,2.18862,-0.035523,-0.170747,0.113532
2006-07-01,2.09109,0.689808,0.368212,-0.0435299
2006-10-01,0.975359,0.904814,0.575452,-0.0700221
2007-01-01,1.20912,0.191022,0.458701,0.511173
2007-04-01,2.06348,0.135486,0.641512,0.189878
2007-07-01,2.19743,0.00534615,0.441332,0.217662
2007-10-01,2.48065,0.0930942,0.0909701,0.289464
2008-01-01,1.98466,0.378497,-0.671547,0.109156
2008-04-01,0.0841988,0.431868,-1.35782,0.0842869
2008-07-01,-1.79397,0.163058,-2.35583,-0.237964
2008-10-01,-5.11376,0.043604,-3.2377,-0.0782229
2009-01-01,-8.16261,-0.466594,-3.94569,-0.30257
