date,RPC3M,RPC12M,label
2022-05-01,1.9839020692479226,2.1859553479461002,
2022-06-01,1.6021941789991834,1.335370774380995,
2022-07-01,0.42165338580479883,1.5693098577398867,Jul
2022-08-01,0.33708169643467123,1.467214024089225,
2022-09-01,0.9873495594658221,1.4664786407873942,
2022-10-01,2.2636642201703694,0.9561060081289874,
2022-11-01,1.6933831041399117,0.4412113555954278,
2022-12-01,0.5992989807041216,0.8317628772058772,
2023-01-01,0.47572089959637687,1.8391369759703569,Jan\\2023
2023-02-01,1.96388176570097,1.8058247737454458,
2023-03-01,3.3384309579873372,1.2357679685494283,
2023-04-01,2.3137422839335953,1.054286508762492,
2023-05-01,0.8445371509993249,1.3331219056215815,
2023-06-01,0.3478206044045695,1.5469971724949572,
2023-07-01,1.463155651509629,1.9989487139450146,Jul
2023-08-01,2.217283914272228,1.4901993012481851,
2023-09-01,2.514954591164753,1.5891266016143213,
2023-10-01,1.8509658686123087,1.4915440447359263,
2023-11-01,1.9828084943449786,2.1729554093103065,
