date,govjobs,fedjobs,stjobs,locjobs
1989-01-01,7.21637,1.28217,1.67519,4.25902
1989-02-01,7.22731,1.28178,1.6782,4.26733
1989-03-01,7.22633,1.27805,1.68068,4.2676
1989-04-01,7.22812,1.27302,1.68426,4.27083
1989-05-01,7.23695,1.27242,1.68738,4.27715
1989-06-01,7.24513,1.26887,1.69156,4.28471
1989-07-01,7.23557,1.26688,1.6912,4.27749
1989-08-01,7.26256,1.26486,1.69523,4.30247
1989-09-01,7.27065,1.26118,1.70201,4.30746
1989-10-01,7.26627,1.25879,1.69841,4.30907
1989-11-01,7.26991,1.25654,1.70102,4.31234
1989-12-01,7.27162,1.24633,1.69892,4.32636
1990-01-01,7.29709,1.24747,1.70779,4.34183
1990-02-01,7.30235,1.249,1.71059,4.34276
1990-03-01,7.34268,1.28198,1.71305,4.34765
1990-04-01,7.36742,1.30655,1.71266,4.34821
1990-05-01,7.44833,1.37561,1.71641,4.35631
1990-06-01,7.4227,1.33285,1.73167,4.35817
1990-07-01,7.41555,1.30811,1.72603,4.38141
1990-08-01,7.36527,1.26659,1.7243,4.37439
1990-09-01,7.34823,1.24988,1.72456,4.37378
1990-10-01,7.34193,1.23964,1.72651,4.37578
1990-11-01,7.33639,1.23585,1.72694,4.3736
1990-12-01,7.33562,1.23531,1.72706,4.37325
1991-01-01,7.3306,1.22931,1.72928,4.37201
1991-02-01,7.32677,1.22734,1.72723,4.3722
1991-03-01,7.32178,1.22571,1.72629,4.36978
1991-04-01,7.31274,1.22083,1.72206,4.36984
1991-05-01,7.30973,1.22343,1.72094,4.36537
1991-06-01,7.32623,1.22479,1.72844,4.373
1991-07-01,7.33215,1.23517,1.71496,4.38202
1991-08-01,7.31082,1.2289,1.71125,4.37066
1991-09-01,7.29235,1.22739,1.70639,4.35858
1991-10-01,7.30352,1.22989,1.70676,4.36687
1991-11-01,7.30926,1.22743,1.71009,4.37175
1991-12-01,7.30765,1.22349,1.70921,4.37494
1992-01-01,7.31913,1.2286,1.71033,4.3802
1992-02-01,7.3125,1.22116,1.71104,4.3803
1992-03-01,7.31489,1.21986,1.71039,4.38463
1992-04-01,7.31595,1.21692,1.71157,4.38746
1992-05-01,7.31291,1.21628,1.71465,4.38197
1992-06-01,7.30773,1.21406,1.71612,4.37755
1992-07-01,7.32,1.21254,1.71787,4.38959
1992-08-01,7.33634,1.20789,1.71957,4.40887
1992-09-01,7.30644,1.20565,1.72058,4.38022
1992-10-01,7.29756,1.19766,1.71897,4.38094
1992-11-01,7.2948,1.19367,1.71752,4.38361
1992-12-01,7.3016,1.1994,1.71846,4.38375
1993-01-01,7.30335,1.19475,1.72025,4.38835
1993-02-01,7.29706,1.18864,1.71984,4.38858
1993-03-01,7.29203,1.18442,1.72051,4.3871
1993-04-01,7.29656,1.18244,1.72339,4.39073
1993-05-01,7.29384,1.17965,1.72464,4.38954
1993-06-01,7.29271,1.17912,1.72235,4.39124
1993-07-01,7.3192,1.17929,1.72305,4.41686
1993-08-01,7.29833,1.17522,1.72371,4.39941
1993-09-01,7.29498,1.1712,1.72672,4.39707
1993-10-01,7.28758,1.16306,1.72603,4.39849
1993-11-01,7.29038,1.16077,1.72548,4.40413
1993-12-01,7.29919,1.16006,1.7273,4.41183
1994-01-01,7.30743,1.16517,1.72429,4.41797
1994-02-01,7.30255,1.16154,1.72363,4.41738
1994-03-01,7.31073,1.15928,1.72692,4.42453
1994-04-01,7.31597,1.15469,1.73052,4.43076
1994-05-01,7.32432,1.15089,1.73223,4.44121
1994-06-01,7.32033,1.14587,1.73304,4.44142
1994-07-01,7.32263,1.14159,1.74141,4.43964
1994-08-01,7.31645,1.13768,1.74517,4.43361
1994-09-01,7.32021,1.13644,1.74327,4.44051
1994-10-01,7.31536,1.13338,1.74564,4.43633
1994-11-01,7.31711,1.12739,1.74852,4.4412
1994-12-01,7.31833,1.12598,1.74956,4.44278
1995-01-01,7.31529,1.12122,1.75142,4.44265
1995-02-01,7.31283,1.11914,1.75256,4.44113
1995-03-01,7.31369,1.11624,1.75209,4.44536
1995-04-01,7.30939,1.1148,1.74855,4.44604
1995-05-01,7.29632,1.11185,1.74386,4.44062
1995-06-01,7.29879,1.11068,1.74127,4.44684
1995-07-01,7.28796,1.10574,1.73566,4.44657
1995-08-01,7.27683,1.10226,1.73072,4.44385
1995-09-01,7.26888,1.09576,1.72874,4.44438
1995-10-01,7.27395,1.09647,1.72917,4.44831
1995-11-01,7.26695,1.08763,1.72647,4.45284
1995-12-01,7.26216,1.08302,1.7247,4.45444
1996-01-01,7.25048,1.08105,1.71924,4.45019
1996-02-01,7.25752,1.08202,1.72303,4.45247
1996-03-01,7.26842,1.07917,1.72147,4.46778
1996-04-01,7.25519,1.07592,1.71797,4.4613
1996-05-01,7.25319,1.07225,1.7159,4.46505
1996-06-01,7.24529,1.07002,1.71189,4.46337
1996-07-01,7.24441,1.06626,1.70853,4.46961
1996-08-01,7.22023,1.06356,1.70177,4.45489
1996-09-01,7.23543,1.05978,1.69876,4.47689
1996-10-01,7.22269,1.05086,1.6932,4.47863
1996-11-01,7.2195,1.04981,1.69076,4.47893
1996-12-01,7.2153,1.04666,1.68779,4.48085
1997-01-01,7.21732,1.04799,1.68599,4.48334
1997-02-01,7.21302,1.04452,1.68456,4.48394
1997-03-01,7.2101,1.04283,1.68008,4.48719
1997-04-01,7.20135,1.03448,1.68067,4.48619
1997-05-01,7.1935,1.03236,1.67974,4.4814
1997-06-01,7.20762,1.03202,1.67872,4.49688
1997-07-01,7.20903,1.01731,1.68819,4.50354
1997-08-01,7.17533,1.01575,1.6756,4.48399
1997-09-01,7.18991,1.01278,1.67189,4.50525
1997-10-01,7.20394,1.01865,1.67342,4.51186
1997-11-01,7.2055,1.01951,1.6722,4.51378
1997-12-01,7.20075,1.01603,1.66777,4.51696
1998-01-01,7.1961,1.00898,1.66781,4.51931
1998-02-01,7.1964,1.00675,1.66362,4.52603
1998-03-01,7.19251,1.00372,1.66367,4.52512
1998-04-01,7.19446,0.99915,1.66501,4.5303
1998-05-01,7.20892,1.00181,1.66884,4.53827
1998-06-01,7.20316,1.00081,1.6679,4.53445
1998-07-01,7.21406,1.00302,1.67411,4.53693
1998-08-01,7.21672,1.00374,1.67446,4.53852
1998-09-01,7.21848,1.00123,1.67558,4.54166
1998-10-01,7.21693,1.00238,1.67208,4.54247
1998-11-01,7.22561,1.00576,1.67158,4.54827
1998-12-01,7.23156,1.00303,1.67508,4.55344
1999-01-01,7.22729,0.994994,1.67584,4.55646
1999-02-01,7.24357,0.997141,1.68,4.56643
1999-03-01,7.24623,0.994165,1.68077,4.57129
1999-04-01,7.26424,1.00257,1.68244,4.57923
1999-05-01,7.2542,0.991182,1.68221,4.58081
1999-06-01,7.2621,0.990872,1.67904,4.59219
1999-07-01,7.27828,0.989451,1.68368,4.60515
1999-08-01,7.28324,0.991235,1.68471,4.6073
1999-09-01,7.28576,0.98767,1.69039,4.6077
1999-10-01,7.29729,0.98667,1.69439,4.61623
1999-11-01,7.3045,0.986122,1.69604,4.62234
1999-12-01,7.31362,0.986662,1.69595,4.63101
2000-01-01,7.31848,0.984763,1.69523,4.63849
2000-02-01,7.32281,0.99396,1.69393,4.63493
2000-03-01,7.36438,1.0244,1.69573,4.64425
2000-04-01,7.3828,1.03314,1.69753,4.65214
2000-05-01,7.49904,1.15037,1.6947,4.65397
2000-06-01,7.40026,1.06432,1.69213,4.6438
2000-07-01,7.38644,1.0414,1.69272,4.65232
2000-08-01,7.36891,1.01426,1.69538,4.65928
2000-09-01,7.326,0.969852,1.69733,4.65882
2000-10-01,7.32231,0.965812,1.69582,4.66068
2000-11-01,7.32216,0.965354,1.69616,4.66064
2000-12-01,7.33186,0.967408,1.69658,4.66787
2001-01-01,7.3373,0.969503,1.69214,4.67566
2001-02-01,7.35697,0.968448,1.70288,4.68564
2001-03-01,7.36515,0.968774,1.70617,4.6902
2001-04-01,7.37591,0.968018,1.70624,4.70165
2001-05-01,7.3829,0.968283,1.71152,4.70309
2001-06-01,7.41451,0.975179,1.71954,4.71979
2001-07-01,7.42489,0.975382,1.72471,4.7248
2001-08-01,7.42969,0.973444,1.72769,4.72856
2001-09-01,7.43138,0.969067,1.73348,4.72884
2001-10-01,7.43658,0.965794,1.73444,4.73634
2001-11-01,7.44844,0.963624,1.7383,4.74652
2001-12-01,7.45289,0.960099,1.74256,4.75024
2002-01-01,7.45521,0.961153,1.74549,4.74857
2002-02-01,7.45465,0.960845,1.74151,4.7523
2002-03-01,7.46384,0.959492,1.7452,4.75915
2002-04-01,7.46251,0.958784,1.74565,4.75808
2002-05-01,7.48128,0.962545,1.75192,4.76682
2002-06-01,7.48728,0.961752,1.75916,4.76637
2002-07-01,7.47923,0.957122,1.75906,4.76305
2002-08-01,7.4883,0.95802,1.75822,4.77206
2002-09-01,7.46689,0.959266,1.7404,4.76722
2002-10-01,7.46518,0.962624,1.73584,4.76672
2002-11-01,7.46716,0.962244,1.73799,4.76693
2002-12-01,7.46437,0.961226,1.73781,4.76533
2003-01-01,7.47239,0.963678,1.73939,4.76933
2003-02-01,7.4667,0.963033,1.73753,4.76613
2003-03-01,7.45664,0.963048,1.73287,4.76072
2003-04-01,7.44594,0.954749,1.72986,4.76133
2003-05-01,7.43049,0.948493,1.72575,4.75624
2003-06-01,7.43793,0.951171,1.72023,4.76653
2003-07-01,7.44103,0.949347,1.7133,4.77838
2003-08-01,7.40822,0.945445,1.70977,4.753
2003-09-01,7.38406,0.943953,1.71004,4.73007
2003-10-01,7.39648,0.940771,1.71102,4.74468
2003-11-01,7.38317,0.935281,1.71011,4.73778
2003-12-01,7.3821,0.938781,1.70659,4.73673
2004-01-01,7.37487,0.935469,1.70007,4.73932
2004-02-01,7.37433,0.934538,1.69969,4.7401
2004-03-01,7.38218,0.933886,1.70055,4.74774
2004-04-01,7.38559,0.940711,1.69929,4.74558
2004-05-01,7.38002,0.932148,1.69733,4.75054
2004-06-01,7.36976,0.931413,1.69838,4.73997
2004-07-01,7.36526,0.930288,1.69831,4.73666
2004-08-01,7.36573,0.929486,1.69787,4.73837
2004-09-01,7.36242,0.928683,1.6964,4.73734
2004-10-01,7.36338,0.926203,1.6977,4.73948
2004-11-01,7.36978,0.926489,1.69805,4.74524
2004-12-01,7.36452,0.926124,1.69574,4.74265
2005-01-01,7.3736,0.925134,1.7027,4.74577
2005-02-01,7.37197,0.924887,1.70026,4.74683
2005-03-01,7.36577,0.925973,1.69846,4.74133
2005-04-01,7.36527,0.922606,1.69929,4.74338
2005-05-01,7.36885,0.924955,1.69902,4.74488
2005-06-01,7.35674,0.92386,1.7,4.73288
2005-07-01,7.3822,0.921382,1.70226,4.75856
2005-08-01,7.37772,0.921583,1.70009,4.75606
2005-09-01,7.36499,0.921087,1.69922,4.74468
2005-10-01,7.35337,0.921319,1.69678,4.73528
2005-11-01,7.35773,0.921946,1.69814,4.73764
2005-12-01,7.35896,0.919239,1.70226,4.73746
2006-01-01,7.34289,0.916559,1.69162,4.73471
2006-02-01,7.34817,0.917933,1.69581,4.73443
2006-03-01,7.35123,0.917268,1.69794,4.73603
2006-04-01,7.35118,0.916591,1.69836,4.73622
2006-05-01,7.34783,0.916217,1.69973,4.73189
2006-06-01,7.34029,0.916113,1.69729,4.72689
2006-07-01,7.35104,0.916664,1.69784,4.73654
2006-08-01,7.35716,0.913503,1.69932,4.74433
2006-09-01,7.37414,0.912333,1.70278,4.75903
2006-10-01,7.36312,0.911214,1.70064,4.75126
2006-11-01,7.36223,0.909818,1.70028,4.75213
2006-12-01,7.3583,0.90946,1.69833,4.75051
2007-01-01,7.35524,0.909127,1.69342,4.75269
2007-02-01,7.36208,0.908825,1.70122,4.75204
2007-03-01,7.3628,0.907843,1.70133,4.75363
2007-04-01,7.36601,0.907506,1.70107,4.75743
2007-05-01,7.36629,0.907136,1.69976,4.75939
2007-06-01,7.36482,0.905057,1.70167,4.7581
2007-07-01,7.3465,0.903608,1.69621,4.74668
2007-08-01,7.35804,0.90643,1.69169,4.75992
2007-09-01,7.369,0.90529,1.69911,4.7646
2007-10-01,7.36872,0.903533,1.69602,4.76916
2007-11-01,7.375,0.906107,1.69631,4.77258
2007-12-01,7.38331,0.909385,1.69569,4.77823
2008-01-01,7.38196,0.902796,1.69744,4.78172
2008-02-01,7.38631,0.905125,1.69526,4.78593
2008-03-01,7.38969,0.906137,1.6967,4.78685
2008-04-01,7.38667,0.906471,1.69679,4.7834
2008-05-01,7.39191,0.90644,1.69715,4.78832
2008-06-01,7.39727,0.906385,1.7014,4.78948
2008-07-01,7.40794,0.908267,1.70394,4.79573
2008-08-01,7.40137,0.907174,1.71005,4.78414
2008-09-01,7.38535,0.907071,1.69879,4.77949
2008-10-01,7.38336,0.907653,1.69677,4.77893
2008-11-01,7.38172,0.908972,1.6995,4.77325
2008-12-01,7.37541,0.907376,1.69736,4.77067
2009-01-01,7.37791,0.910353,1.70111,4.76645
2009-02-01,7.37207,0.912692,1.69477,4.76461
2009-03-01,7.36201,0.912746,1.69039,4.75887
2009-04-01,7.3952,0.952893,1.6899,4.7524
2009-05-01,7.37039,0.932012,1.69033,4.74805
2009-06-01,7.35159,0.916344,1.6855,4.74975
2009-07-01,7.32814,0.919557,1.66666,4.74193
2009-08-01,7.32744,0.91849,1.68092,4.72803
2009-09-01,7.29341,0.918051,1.67107,4.70428
2009-10-01,7.3113,0.922839,1.67429,4.71417
2009-11-01,7.30905,0.921862,1.67116,4.71603
2009-12-01,7.28764,0.917681,1.66939,4.70056
2010-01-01,7.28557,0.926448,1.66663,4.69249
2010-02-01,7.27605,0.929739,1.66621,4.68009
