date,Age2554,Age16plus
2010-12-01,5.14909,3.8277
2011-01-01,5.415,3.91107
2011-02-01,5.4571,3.91942
2011-03-01,5.54524,3.92178
2011-04-01,5.64947,3.9675
2011-05-01,5.77235,4.04181
2011-06-01,5.82012,4.10059
2011-07-01,5.9216,4.19499
2011-08-01,5.91371,4.21428
2011-09-01,5.9397,4.18785
2011-10-01,6.05431,4.1904
2011-11-01,6.13897,4.21582
2011-12-01,6.04355,4.18197
2012-01-01,5.94814,4.20788
2012-02-01,5.92274,4.23057
2012-03-01,6.01751,4.32447
2012-04-01,5.99446,4.35651
2012-05-01,5.95805,4.37925
2012-06-01,6.05634,4.41118
2012-07-01,5.99993,4.41559
2012-08-01,6.07446,4.46206
2012-09-01,5.86567,4.45957
2012-10-01,5.84566,4.47134
2012-11-01,5.78103,4.4725
2012-12-01,5.64304,4.42013
2013-01-01,5.74489,4.4508
2013-02-01,5.81032,4.45127
2013-03-01,5.71639,4.37159
2013-04-01,5.70186,4.34435
2013-05-01,5.74847,4.28376
2013-06-01,5.73855,4.23693
2013-07-01,5.71445,4.17794
2013-08-01,5.69494,4.14026
2013-09-01,5.90312,4.16544
2013-10-01,5.88185,4.10916
2013-11-01,5.87788,4.08353
2013-12-01,5.96657,4.06606
2014-01-01,6.02115,4.05992
2014-02-01,5.96638,4.02507
2014-03-01,5.95285,4.02691
2014-04-01,5.8915,3.9772
2014-05-01,5.85045,3.93958
2014-06-01,5.7851,3.90652
2014-07-01,5.92425,3.96931
2014-08-01,5.94647,3.99742
2014-09-01,6.0599,4.08784
2014-10-01,6.23576,4.16888
2014-11-01,6.33317,4.2341
2014-12-01,6.60417,4.43633
2015-01-01,6.67816,4.54811
2015-02-01,6.67533,4.61553
2015-03-01,6.86486,4.80589
2015-04-01,7.15021,4.96214
2015-05-01,7.31054,5.05605
2015-06-01,7.43466,5.15764
2015-07-01,7.5105,5.20913
2015-08-01,7.65119,5.28128
2015-09-01,7.69252,5.24785
2015-10-01,7.52081,5.20365
2015-11-01,7.39414,5.1417
2015-12-01,7.24136,5.09737
2016-01-01,7.22416,5.07541
2016-02-01,7.33171,5.10896
2016-03-01,7.27247,5.00794
2016-04-01,7.18332,4.9519
2016-05-01,7.08647,4.95264
2016-06-01,7.13291,4.98117
2016-07-01,7.04707,4.97756
2016-08-01,7.0582,4.94953
2016-09-01,7.05925,4.9381
2016-10-01,7.19159,4.97686
2016-11-01,7.30205,4.99155
2016-12-01,7.44381,4.97095
2017-01-01,7.62781,5.03036
2017-02-01,7.76198,5.11945
2017-03-01,8.00665,5.24841
2017-04-01,8.14322,5.36662
2017-05-01,8.27402,5.40469
2017-06-01,8.32298,5.43846
2017-07-01,8.21417,5.38675
2017-08-01,8.06868,5.36721
2017-09-01,8.1452,5.43317
2017-10-01,8.28896,5.55653
2017-11-01,8.47845,5.70228
2017-12-01,8.3644,5.74135
2018-01-01,8.20988,5.69337
2018-02-01,8.18242,5.66198
2018-03-01,8.00373,5.58525
2018-04-01,7.98835,5.50904
2018-05-01,8.07842,5.54793
2018-06-01,8.1157,5.57402
2018-07-01,8.23908,5.63834
2018-08-01,8.42711,5.70286
2018-09-01,8.38752,5.74844
2018-10-01,8.21359,5.66149
2018-11-01,7.93666,5.51198
2018-12-01,7.97274,5.51161
2019-01-01,8.10343,5.56216
2019-02-01,7.94968,5.50267
2019-03-01,7.80631,5.40074
2019-04-01,7.79848,5.42844
2019-05-01,7.66687,5.39864
2019-06-01,7.72218,5.38326
2019-07-01,7.79521,5.41743
2019-08-01,7.8768,5.42542
2019-09-01,7.98559,5.4251
2019-10-01,8.12252,5.39946
2019-11-01,8.4005,5.543
2019-12-01,8.48557,5.53808
2020-01-01,8.57681,5.5247
2020-02-01,8.83,5.60844
2020-03-01,9.18777,5.73948
2020-04-01,9.08737,5.66643
2020-05-01,8.95972,5.58186
2020-06-01,8.64844,5.47793
2020-07-01,8.55584,5.43838
2020-08-01,8.32514,5.35041
2020-09-01,8.14466,5.21868
2020-10-01,7.93798,5.19213
2020-11-01,7.6632,5.05207
2020-12-01,7.73694,5.08125
2021-01-01,7.37252,4.90087
2021-02-01,7.13963,4.74462
2021-03-01,6.90714,4.63127
2021-04-01,7.10994,4.7537
2021-05-01,7.35602,4.88318
2021-06-01,7.66899,4.98254
2021-07-01,7.60892,4.92486
2021-08-01,7.60674,4.95037
2021-09-01,7.77558,5.09528
2021-10-01,8.04673,5.27114
2021-11-01,8.28005,5.43668
2021-12-01,8.48783,5.53556
2022-01-01,8.84427,5.73413
2022-02-01,9.17723,5.96602
2022-03-01,9.39582,6.13996
2022-04-01,9.47891,6.28031
2022-05-01,9.48644,6.32357
2022-06-01,9.4367,6.36015
2022-07-01,9.48787,6.40098
2022-08-01,9.6301,6.44725
2022-09-01,9.58049,6.39554
2022-10-01,9.64822,6.41553
2022-11-01,9.7743,6.39655
2022-12-01,9.52943,6.36666
2023-01-01,9.48525,6.39946
2023-02-01,9.28421,6.29928
2023-03-01,9.20306,6.27308
2023-04-01,9.21468,6.16512
2023-05-01,9.24218,6.18431
2023-06-01,9.48691,6.25363
2023-07-01,9.70732,6.27057
2023-08-01,9.73127,6.26846
2023-09-01,9.43241,6.17452
2023-10-01,9.3074,6.06867
2023-11-01,9.2918,6.10128
2023-12-01,9.56078,6.13933
2024-01-01,9.47033,5.98894
2024-02-01,9.66898,6.04046
2024-03-01,9.63396,5.972
2024-04-01,9.5358,5.9472
2024-05-01,9.59467,5.91083
2024-06-01,9.35052,5.81061
2024-07-01,9.39052,5.85603
2024-08-01,9.38352,5.84581
2024-09-01,9.61466,5.8401
2024-10-01,9.49687,5.72781
2024-11-01,9.12058,5.55689
2024-12-01,8.83276,5.42007
2025-01-01,8.78877,5.51678
2025-02-01,8.6592,5.5694
2025-03-01,8.8492,5.72568
2025-04-01,8.57839,5.73889
2025-05-01,8.32811,5.79409
2025-06-01,8.23762,5.88647
2025-07-01,8.13131,5.92439
