date,Age2554,Age16plus
1997-12-01,8.31381,5.82491
1998-01-01,8.28715,5.82802
1998-02-01,8.30196,5.83806
1998-03-01,8.18435,5.84528
1998-04-01,8.1949,5.83108
1998-05-01,8.33642,5.90205
1998-06-01,8.60905,6.02357
1998-07-01,8.68489,6.08739
1998-08-01,8.95597,6.27676
1998-09-01,9.09844,6.38884
1998-10-01,9.11585,6.40468
1998-11-01,8.87437,6.27046
1998-12-01,8.65464,6.19384
1999-01-01,8.41419,6.0594
1999-02-01,8.31438,5.99324
1999-03-01,8.29415,5.88383
1999-04-01,8.22334,5.86114
1999-05-01,8.39261,5.95409
1999-06-01,8.07617,5.81225
1999-07-01,7.93886,5.67072
1999-08-01,7.79736,5.57709
1999-09-01,7.81783,5.59235
1999-10-01,7.85356,5.58273
1999-11-01,8.00823,5.62998
1999-12-01,8.05546,5.63696
2000-01-01,8.12972,5.6321
2000-02-01,8.06612,5.66008
2000-03-01,8.17985,5.84761
2000-04-01,8.15391,5.91582
2000-05-01,7.8615,5.83121
2000-06-01,7.841,5.84871
2000-07-01,7.82475,5.87704
2000-08-01,7.90401,5.94806
2000-09-01,8.00425,5.97032
2000-10-01,8.07635,6.00952
2000-11-01,8.02588,6.05311
2000-12-01,8.23279,6.14491
2001-01-01,8.24787,6.15915
2001-02-01,8.35429,6.14257
2001-03-01,8.27717,6.04911
2001-04-01,8.37501,6.02049
2001-05-01,8.52814,5.97448
2001-06-01,8.50935,5.89366
2001-07-01,8.54323,5.96698
2001-08-01,8.45738,5.86754
2001-09-01,8.32061,5.77858
2001-10-01,8.20434,5.73717
2001-11-01,8.35452,5.75864
2001-12-01,8.4873,5.80441
2002-01-01,8.47577,5.80014
2002-02-01,8.60507,5.89433
2002-03-01,8.489,5.85425
2002-04-01,8.41167,5.79612
2002-05-01,8.30468,5.82731
2002-06-01,8.49104,5.93227
2002-07-01,8.57122,5.9681
2002-08-01,8.70111,6.07508
2002-09-01,8.61606,6.09179
2002-10-01,8.60559,6.12509
2002-11-01,8.25655,5.9957
2002-12-01,7.94795,5.92095
2003-01-01,7.92096,5.9118
2003-02-01,7.82073,5.8538
2003-03-01,7.94061,5.84331
2003-04-01,7.9041,5.86898
2003-05-01,7.99198,5.9481
2003-06-01,7.86856,5.96039
2003-07-01,7.67264,5.80122
2003-08-01,7.5736,5.75763
2003-09-01,7.57372,5.681
2003-10-01,7.45505,5.5818
2003-11-01,7.53405,5.64866
2003-12-01,7.58406,5.65526
2004-01-01,7.47906,5.60032
2004-02-01,7.36307,5.5578
2004-03-01,7.22336,5.551
2004-04-01,7.30123,5.53829
2004-05-01,7.31208,5.49076
2004-06-01,7.46488,5.53443
2004-07-01,7.61934,5.59741
2004-08-01,7.85296,5.64522
2004-09-01,7.94637,5.73474
2004-10-01,8.07876,5.79855
2004-11-01,8.18196,5.80575
2004-12-01,8.13251,5.81704
2005-01-01,8.2141,5.87335
2005-02-01,8.30055,5.91713
2005-03-01,8.23629,5.88012
2005-04-01,8.18463,5.88536
2005-05-01,7.90415,5.70985
2005-06-01,7.56097,5.49991
2005-07-01,7.44918,5.47529
2005-08-01,7.28821,5.47349
2005-09-01,7.11482,5.34811
2005-10-01,7.03182,5.34959
2005-11-01,6.86685,5.24472
2005-12-01,6.92244,5.23495
2006-01-01,6.97745,5.2831
2006-02-01,7.09528,5.28664
2006-03-01,7.25967,5.29567
2006-04-01,7.32726,5.33416
2006-05-01,7.48267,5.45428
2006-06-01,7.6961,5.57758
2006-07-01,7.81232,5.71232
2006-08-01,7.74004,5.65821
2006-09-01,7.85882,5.73616
2006-10-01,7.88642,5.71878
2006-11-01,8.0319,5.84411
2006-12-01,8.01487,5.82195
2007-01-01,8.3054,5.9384
2007-02-01,8.45316,6.11135
2007-03-01,8.47101,6.24677
2007-04-01,8.32147,6.16261
2007-05-01,8.18717,6.07737
2007-06-01,8.09559,6.00215
2007-07-01,8.10153,5.99282
2007-08-01,8.11847,5.97789
2007-09-01,8.07404,5.89476
2007-10-01,8.26525,5.92904
2007-11-01,8.15292,5.79803
2007-12-01,8.14627,5.80063
2008-01-01,7.95112,5.70488
2008-02-01,7.73061,5.54171
2008-03-01,7.70496,5.46257
2008-04-01,7.6342,5.42049
2008-05-01,7.65062,5.43727
2008-06-01,7.79311,5.57895
2008-07-01,7.95855,5.57003
2008-08-01,8.01593,5.53866
2008-09-01,7.87458,5.51448
2008-10-01,7.59176,5.43151
2008-11-01,7.75231,5.4817
2008-12-01,7.62686,5.35409
2009-01-01,7.60284,5.32468
2009-02-01,7.66508,5.31125
2009-03-01,7.49589,5.21021
2009-04-01,7.56038,5.1908
2009-05-01,7.55251,5.15249
2009-06-01,7.35145,4.98966
2009-07-01,6.95856,4.80045
2009-08-01,6.88268,4.83645
2009-09-01,6.96828,4.89077
2009-10-01,6.9117,4.80544
2009-11-01,6.60371,4.70341
2009-12-01,6.47692,4.72087
2010-01-01,5.97308,4.48319
2010-02-01,5.66865,4.32105
2010-03-01,5.57178,4.2563
2010-04-01,5.41591,4.17774
2010-05-01,5.34837,4.12755
2010-06-01,5.29576,4.06411
2010-07-01,5.34964,4.04656
2010-08-01,5.20076,3.90692
2010-09-01,5.08689,3.82077
2010-10-01,4.95,3.8295
2010-11-01,4.98038,3.82846
