date,PR4,PR3,PR2,PR,LT
1989-07-01,14.3,,,,
1990-07-01,14.8,,,,
1991-07-01,15.2,,,,
1992-07-01,15.8,,,,
1993-07-01,16.8,,,,
1994-07-01,15.7,,,,
1995-07-01,14.2,,,,
1996-07-01,14.1,,,,
1997-07-01,13.6,,,,
1998-07-01,13.0,,,,
1999-07-01,12.4,,,,
2000-07-01,12.4,,,,
2001-07-01,13.2,,,,
2002-07-01,13.6,,,,
2003-07-01,13.8,,,,
2004-07-01,13.7,,,,
2005-07-01,13.7,,,,
2006-07-01,13.8,,,,
2007-07-01,14.4,,,,
2008-07-01,14.8,,,,
2009-07-01,15.1,,,,
2010-07-01,16.0,,,,
2011-07-01,16.1,,,,
2012-07-01,16.0,,,,
2013-07-01,15.5,15.8,,,
2014-07-01,,15.3,,,
2015-07-01,,14.3,14.5,,
2016-07-01,,,14.0,,
2017-07-01,,,13.9,13.0,
2018-07-01,,,,12.8,
2019-07-01,,,,11.7,11.8
2020-07-01,,,,,9.2
2021-07-01,,,,,7.8
