date,Man,Min,Uti,Who,Inf,Fin,Pro,Edu,Con,Lei,Tra,Ret
2021-01-01,10.0504,0.450387,0.447253,4.62901,2.26431,7.2029,17.1576,19.2842,6.07115,10.622,4.85123,12.5741
2021-02-01,10.0244,0.444547,0.444629,4.61147,2.2621,7.15539,17.1437,19.2369,5.994,10.884,4.87664,12.5429
2021-03-01,10.0088,0.449532,0.44276,4.59771,2.25826,7.12479,17.1499,19.2059,6.04379,10.9511,4.89166,12.5058
2021-04-01,9.96873,0.451199,0.442403,4.59921,2.27065,7.12389,17.0568,19.2061,6.02114,11.1016,4.88484,12.4925
2021-05-01,9.96062,0.454675,0.440304,4.59189,2.27581,7.10186,17.069,19.1775,5.99277,11.2288,4.89311,12.4334
2021-06-01,9.93588,0.457659,0.437848,4.5892,2.28021,7.07107,17.0482,19.1149,5.96573,11.3638,4.90123,12.4376
2021-07-01,9.93476,0.457723,0.435681,4.58029,2.2854,7.0565,17.0749,19.0643,5.94879,11.464,4.90817,12.3868
2021-08-01,9.92805,0.459906,0.432504,4.56637,2.29633,7.03561,17.0734,19.0116,5.9267,11.5802,4.91419,12.3668
2021-09-01,9.91319,0.460001,0.431012,4.55521,2.29522,7.02301,17.0768,18.9567,5.9313,11.6494,4.92721,12.3734
2021-10-01,9.90064,0.459054,0.428477,4.53995,2.2921,7.00257,17.1701,18.9062,5.92085,11.6972,4.94016,12.3397
2021-11-01,9.88952,0.459941,0.425722,4.52923,2.29496,6.99316,17.1727,18.8671,5.92865,11.7901,4.94508,12.2943
2021-12-01,9.87813,0.464205,0.423371,4.5238,2.29191,6.9733,17.1685,18.8349,5.9371,11.8844,4.94079,12.27
2022-01-01,9.86041,0.462415,0.422208,4.51623,2.287,6.94798,17.1713,18.7882,5.91891,11.9468,4.96359,12.3179
2022-02-01,9.84528,0.467672,0.41997,4.5121,2.27445,6.93246,17.1449,18.7638,5.92852,11.9779,4.99388,12.337
2022-03-01,9.8609,0.470159,0.418325,4.51873,2.28163,6.92027,17.1666,18.7473,5.92788,12.0228,4.98182,12.2823
2022-04-01,9.88004,0.475017,0.417829,4.5277,2.2914,6.92456,17.1487,18.7419,5.9071,12.0343,5.00558,12.2476
2022-05-01,9.86945,0.479212,0.417224,4.52624,2.30563,6.91457,17.1581,18.7542,5.91904,12.0568,5.02222,12.1825
2022-06-01,9.8624,0.484101,0.416265,4.52187,2.31952,6.89998,17.1817,18.7766,5.91097,12.0578,5.02108,12.1672
2022-07-01,9.85392,0.486936,0.415508,4.5169,2.32331,6.88469,17.1833,18.7985,5.90774,12.0866,5.02158,12.145
2022-08-01,9.84752,0.49115,0.414987,4.51781,2.32319,6.88147,17.1949,18.8062,5.90606,12.0818,5.01341,12.15
