date,RUT,MA
2018-01-02,1550.01001,1423.6577085889328
2018-01-03,1552.579956,1424.4302380395256
2018-01-04,1555.719971,1425.1821351976284
2018-01-05,1560.01001,1425.8622144822134
2018-01-08,1561.810059,1426.6126892569168
2018-01-09,1560.099976,1427.3748234347827
2018-01-10,1559.800049,1428.174467936759
2018-01-11,1586.790039,1429.0277881541501
2018-01-12,1591.969971,1429.892096146245
2018-01-16,1572.969971,1430.729645652174
2018-01-17,1586.660034,1431.5779064624505
2018-01-18,1576.72998,1432.464902644269
2018-01-19,1597.630005,1433.4098431422926
2018-01-22,1605.170044,1434.435258375494
2018-01-23,1610.709961,1435.4584203715415
2018-01-24,1601.77002,1436.4620964743083
2018-01-25,1601.670044,1437.3809110316206
2018-01-26,1608.060059,1438.2726901541503
2018-01-29,1598.109985,1439.1521763557312
2018-01-30,1582.819946,1439.9905953083005
2018-01-31,1574.97998,1440.8706349288536
2018-02-01,1579.869995,1441.7324928300395
2018-02-02,1547.27002,1442.4678289565218
2018-02-05,1491.089966,1442.9961290039525
2018-02-06,1507.170044,1443.5073150830037
2018-02-07,1507.969971,1444.0658523833993
2018-02-08,1463.790039,1444.4718997351779
2018-02-09,1477.839966,1444.9426506284585
2018-02-12,1490.97998,1445.3871168379446
2018-02-13,1494.949951,1445.8065238932807
2018-02-14,1522.099976,1446.3192510513836
2018-02-15,1537.199951,1446.8747843596839
2018-02-16,1543.550049,1447.4255356956521
2018-02-20,1529.98999,1447.9427688379446
2018-02-21,1531.839966,1448.4644288418972
2018-02-22,1529.98999,1448.9373538379448
2018-02-23,1549.189941,1449.511780541502
2018-02-26,1559.329956,1450.162808055336
2018-02-27,1536.469971,1450.723875055336
2018-02-28,1512.449951,1451.1368394031622
2018-03-01,1507.390015,1451.6139538735179
2018-03-02,1533.170044,1452.0864045810276
2018-03-05,1546.050049,1452.680791952569
2018-03-06,1562.199951,1453.3451000395255
2018-03-07,1574.530029,1454.0971950158103
2018-03-08,1571.969971,1454.8762067391303
2018-03-09,1597.140015,1455.7896453794465
2018-03-12,1601.060059,1456.7419776482216
2018-03-13,1592.050049,1457.6383809644267
2018-03-14,1584.310059,1458.4843494624506
2018-03-15,1576.619995,1459.331147841897
2018-03-16,1586.050049,1460.1343893162054
2018-03-19,1570.560059,1460.8637570237156
2018-03-20,1570.410034,1461.5708321778657
2018-03-21,1579.300049,1462.3423739683792
2018-03-22,1543.869995,1463.1222947035574
2018-03-23,1510.079956,1463.772413201581
2018-03-26,1543.719971,1464.5245472608697
2018-03-27,1513.569946,1465.1527288063241
2018-03-28,1513.030029,1465.7681836798417
2018-03-29,1529.430054,1466.4091719960477
2018-04-02,1492.530029,1466.8869981383398
2018-04-03,1512.150024,1467.400041806324
2018-04-04,1531.660034,1467.9760891976287
2018-04-05,1542.930054,1468.6609113715415
2018-04-06,1513.300049,1469.2345081897233
2018-04-09,1514.459961,1469.8760890039523
2018-04-10,1543.430054,1470.5835988853753
2018-04-11,1546.800049,1471.3039150513832
2018-04-12,1557.329956,1472.0558517707511
2018-04-13,1549.51001,1472.7379073399209
2018-04-16,1563.030029,1473.5435598221345
2018-04-17,1579.800049,1474.470674679842
2018-04-18,1583.560059,1475.3496470316204
2018-04-19,1573.819946,1476.1873147430829
2018-04-20,1564.119995,1476.9659313043478
