date,5_year_breakeven,5_year_5_year_forward
2018-01-07,1.91,2.09
2018-01-14,1.922,2.114
2018-01-21,1.9575,2.1325000000000003
2018-01-28,1.9439999999999997,2.196
2018-02-04,1.9460000000000002,2.274
2018-02-11,1.89,2.286
2018-02-18,1.9259999999999997,2.2380000000000004
2018-02-25,2.05,2.1750000000000003
2018-03-04,2.052,2.1879999999999997
2018-03-11,2.058,2.186
2018-03-18,2.0460000000000003,2.122
2018-03-25,2.018,2.1420000000000003
2018-04-01,1.9449999999999998,2.18
2018-04-08,1.9920000000000002,2.152
2018-04-15,2.028,2.18
2018-04-22,2.07,2.234
2018-04-29,2.098,2.25
2018-05-06,2.0919999999999996,2.2359999999999998
2018-05-13,2.118,2.214
2018-05-20,2.146,2.178
2018-05-27,2.1100000000000003,2.154
2018-06-03,2.0175,2.1125
2018-06-10,2.0620000000000003,2.1900000000000004
2018-06-17,2.0780000000000003,2.17
2018-06-24,2.066,2.17
2018-07-01,2.066,2.15
2018-07-08,2.0825,2.1725000000000003
2018-07-15,2.0780000000000003,2.154
2018-07-22,2.0279999999999996,2.164
2018-07-29,2.004,2.228
2018-08-05,2.0,2.248
2018-08-12,1.982,2.2380000000000004
2018-08-19,1.9759999999999998,2.196
2018-08-26,1.972,2.192
2018-09-02,1.9920000000000002,2.216
2018-09-09,1.98,2.205
2018-09-16,1.998,2.218
2018-09-23,2.012,2.26
2018-09-30,2.038,2.262
2018-10-07,2.05,2.246
2018-10-14,2.0175,2.2675
2018-10-21,1.996,2.2439999999999998
2018-10-28,1.938,2.214
2018-11-04,1.904,2.192
2018-11-11,1.916,2.208
2018-11-18,1.865,2.1550000000000002
2018-11-25,1.8125,2.1325
2018-12-02,1.762,2.1420000000000003
2018-12-09,1.7175,2.1275
2018-12-16,1.6219999999999999,2.0460000000000003
2018-12-23,1.56,2.02
2018-12-30,1.5350000000000001,1.96
2019-01-06,1.5175,1.9075
2019-01-13,1.652,1.9759999999999998
2019-01-20,1.6439999999999997,1.98
2019-01-27,1.6324999999999998,1.9425
2019-02-03,1.668,1.984
2019-02-10,1.706,1.998
2019-02-17,1.73,1.9579999999999997
2019-02-24,1.7925,1.9975
2019-03-03,1.834,2.038
2019-03-10,1.816,2.016
2019-03-17,1.8359999999999999,2.008
2019-03-24,1.8539999999999999,2.038
2019-03-31,1.752,1.964
2019-04-07,1.8080000000000003,1.996
2019-04-14,1.8240000000000003,2.036
2019-04-21,1.8525,2.0425
2019-04-28,1.866,2.058
2019-05-05,1.8240000000000003,2.032
2019-05-12,1.7600000000000002,1.9919999999999998
2019-05-19,1.736,1.94
2019-05-26,1.67,1.8980000000000001
2019-06-02,1.585,1.895
2019-06-09,1.586,1.89
2019-06-16,1.538,1.85
2019-06-23,1.53,1.826
2019-06-30,1.542,1.8380000000000003
2019-07-07,1.5225,1.8175000000000001
2019-07-14,1.59,1.886
2019-07-21,1.608,1.956
2019-07-28,1.592,1.996
2019-08-04,1.526,1.9420000000000002
2019-08-11,1.408,1.8519999999999999
2019-08-18,1.374,1.782
2019-08-25,1.348,1.7399999999999998
2019-09-01,1.36,1.752
2019-09-08,1.3250000000000002,1.73
2019-09-15,1.414,1.814
2019-09-22,1.434,1.8219999999999998
2019-09-29,1.396,1.7600000000000002
2019-10-06,1.298,1.714
2019-10-13,1.278,1.746
2019-10-20,1.4300000000000002,1.73
2019-10-27,1.53,1.7100000000000002
2019-11-03,1.49,1.69
2019-11-10,1.59,1.762
2019-11-17,1.56,1.745
2019-11-24,1.528,1.716
2019-12-01,1.5225,1.7175
2019-12-08,1.546,1.7740000000000002
2019-12-15,1.6039999999999999,1.8
2019-12-22,1.6640000000000001,1.848
2019-12-29,1.66,1.8250000000000002
2020-01-05,1.6875,1.8575
2020-01-12,1.6759999999999997,1.8199999999999998
2020-01-19,1.686,1.826
2020-01-26,1.64,1.78
2020-02-02,1.584,1.7
2020-02-09,1.594,1.7100000000000002
2020-02-16,1.6300000000000001,1.69
2020-02-23,1.63,1.64
2020-03-01,1.48,1.56
2020-03-08,1.284,1.528
2020-03-15,0.6839999999999999,1.224
2020-03-22,0.21400000000000002,1.082
2020-03-29,0.5740000000000001,1.366
2020-04-05,0.626,1.31
2020-04-12,0.87,1.495
2020-04-19,0.8240000000000001,1.488
2020-04-26,0.6439999999999999,1.404
2020-05-03,0.744,1.488
2020-05-10,0.71,1.478
2020-05-17,0.728,1.448
2020-05-24,0.82,1.476
2020-05-31,0.8325,1.4675
2020-06-07,0.8779999999999999,1.546
2020-06-14,0.9719999999999999,1.52
2020-06-21,1.038,1.498
2020-06-28,1.114,1.566
2020-07-05,1.17,1.56
2020-07-12,1.252,1.588
2020-07-19,1.294,1.55
2020-07-26,1.3780000000000001,1.59
2020-08-02,1.378,1.674
2020-08-09,1.492,1.7079999999999997
2020-08-16,1.528,1.764
2020-08-23,1.528,1.78
2020-08-30,1.626,1.81
2020-09-06,1.61,1.846
2020-09-13,1.5475,1.8175000000000001
2020-09-20,1.56,1.7719999999999998
2020-09-27,1.472,1.7280000000000002
2020-10-04,1.486,1.7740000000000002
2020-10-11,1.538,1.862
2020-10-18,1.5225,1.8725
2020-10-25,1.592,1.8800000000000001
2020-11-01,1.616,1.8
2020-11-08,1.574,1.778
2020-11-15,1.6475,1.8125
2020-11-22,1.626,1.778
2020-11-29,1.6524999999999999,1.8225
2020-12-06,1.754,1.918
2020-12-13,1.834,1.938
2020-12-20,1.884,1.956
2020-12-27,1.9175,1.9975
2021-01-03,1.9224999999999999,2.0175
2021-01-10,2.038,2.062
2021-01-17,2.064,2.092
2021-01-24,2.1525,2.0525
2021-01-31,2.168,2.032
2021-02-07,2.242,2.09
2021-02-14,2.32,2.104
2021-02-21,2.325,2.05
2021-02-28,2.362,1.95
2021-03-07,2.428,1.968
2021-03-14,2.464,2.024
2021-03-21,2.5439999999999996,2.036
2021-03-28,2.526,2.1100000000000003
2021-04-04,2.55,2.166
2021-04-11,2.532,2.128
2021-04-18,2.548,2.124
2021-04-25,2.4939999999999998,2.1700000000000004
2021-05-02,2.5300000000000002,2.266
2021-05-09,2.6420000000000003,2.258
2021-05-16,2.688,2.364
2021-05-23,2.662,2.29
2021-05-30,2.606,2.234
2021-06-06,2.5725,2.2874999999999996
2021-06-13,2.458,2.238
2021-06-20,2.398,2.2299999999999995
2021-06-27,2.4539999999999997,2.162
2021-07-04,2.4720000000000004,2.1879999999999997
2021-07-11,2.4325,2.1125
2021-07-18,2.524,2.148
2021-07-25,2.45,2.114
2021-08-01,2.57,2.238
2021-08-08,2.496,2.224
2021-08-15,2.53,2.258
2021-08-22,2.464,2.16
2021-08-29,2.484,2.1719999999999997
2021-09-05,2.484,2.196
2021-09-12,2.5349999999999997,2.225
2021-09-19,2.5140000000000002,2.178
2021-09-26,2.446,2.158
2021-10-03,2.5140000000000002,2.226
2021-10-10,2.588,2.3
2021-10-17,2.68,2.365
2021-10-24,2.808,2.364
2021-10-31,2.938,2.294
