date,JSRate
1994-01-01,3.58497
1994-04-01,3.43122
1994-07-01,3.36815
1994-10-01,3.02456
1995-01-01,3.09622
1995-04-01,3.13699
1995-07-01,3.127
1995-10-01,3.07237
1996-01-01,2.95876
1996-04-01,3.035
1996-07-01,2.98095
1996-10-01,2.80065
1997-01-01,2.99724
1997-04-01,2.91287
1997-07-01,2.96666
1997-10-01,3.06902
1998-01-01,2.88539
1998-04-01,3.04373
1998-07-01,2.9161
1998-10-01,2.89782
1999-01-01,2.83401
1999-04-01,3.03271
1999-07-01,3.03256
1999-10-01,3.0481
2000-01-01,3.10071
2000-04-01,3.19972
2000-07-01,2.96683
2000-10-01,2.89754
2001-01-01,2.98821
2001-04-01,2.74516
2001-07-01,2.88124
2001-10-01,2.64605
2002-01-01,2.67048
2002-04-01,2.6915
2002-07-01,2.58908
2002-10-01,2.47809
2003-01-01,2.47412
2003-04-01,2.47453
2003-07-01,2.42729
2003-10-01,2.37947
2004-01-01,2.43615
2004-04-01,2.60473
2004-07-01,2.56123
2004-10-01,2.57837
2005-01-01,2.5957
2005-04-01,2.63979
2005-07-01,2.54024
2005-10-01,2.55845
2006-01-01,2.57573
2006-04-01,2.5355
2006-07-01,2.60066
2006-10-01,2.46529
2007-01-01,2.3496
2007-04-01,2.33439
2007-07-01,2.28098
2007-10-01,2.23918
2008-01-01,2.26778
2008-04-01,2.19728
2008-07-01,2.22159
2008-10-01,2.14126
2009-01-01,2.01518
2009-04-01,2.02404
2009-07-01,1.8446
2009-10-01,1.91317
2010-01-01,1.95321
2010-04-01,1.89008
2010-07-01,2.01601
2010-10-01,1.94407
2011-01-01,1.86656
2011-04-01,2.02973
2011-07-01,1.95526
2011-10-01,1.97477
2012-01-01,2.06572
2012-04-01,1.94974
2012-07-01,2.01684
2012-10-01,2.07303
2013-01-01,2.03814
2013-04-01,2.0346
2013-07-01,2.02197
2013-10-01,2.03575
2014-01-01,2.09715
2014-04-01,2.079
2014-07-01,2.23784
2014-10-01,2.16229
2015-01-01,2.24912
2015-04-01,2.13467
2015-07-01,2.28487
2015-10-01,2.39808
2016-01-01,2.13706
2016-04-01,2.21864
2016-07-01,2.33301
2016-10-01,2.21297
2017-01-01,2.22836
2017-04-01,2.20897
2017-07-01,2.28124
2017-10-01,2.14736
2018-01-01,2.13137
2018-04-01,2.10581
2018-07-01,2.20903
2018-10-01,2.12712
2019-01-01,2.24823
2019-04-01,2.12538
2019-07-01,2.2241
2019-10-01,2.20336
2020-01-01,2.19154
2020-04-01,2.07619
2020-07-01,2.08773
2020-10-01,2.34746
2021-01-01,2.14285
2021-04-01,2.23288
2021-07-01,2.46343
2021-10-01,2.37415
2022-01-01,2.46311
2022-04-01,2.5796
2022-07-01,2.3559
2022-10-01,2.37691
2023-01-01,2.32886
2023-04-01,2.22907
2023-07-01,2.1837
2023-10-01,2.12003
2024-01-01,2.1371
2024-04-01,2.18697
2024-07-01,2.14974
2024-10-01,2.0208
2025-01-01,2.09281
2025-04-01,2.16467
2025-07-01,2.06266
2025-10-01,2.25837
2026-03-01,2.16515
